project,cve_id,commit,function,basic_blocks,binary_file
imagemagick,CVE-2022-32547,eac8ce4d873f,GetEXIFProperty,340,CVE-2022-32547-patch-eac8ce4d873f-magickcore
imagemagick,CVE-2019-13133,fe3066122ef7,ReadBMPImage,824,CVE-2019-13133-patch-fe3066122ef7-magickcore
imagemagick,CVE-2019-13133,fe3066122ef7,ReadVIFFImage,589,CVE-2019-13133-patch-fe3066122ef7-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,FormatMagickCaption,53,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,ShearRotateImage,105,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,WritePS2Image,611,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,WritePS3Image,546,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,SVGStartElement,911,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,ReadPCLImage,207,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,AnnotateImage,378,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,WritePDFImage,1530,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,ReadLABELImage,207,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,RenderMVGContent,1362,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,WritePSImage,665,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,ShadowImage,65,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,ReadCAPTIONImage,218,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2023-34151,3d6d98d8a2be,ParseMetaGeometry,229,CVE-2023-34151-patch-3d6d98d8a2be-magickcore
imagemagick,CVE-2018-16644,16916c8979c3,ReadDCMImage,1633,CVE-2018-16644-patch-16916c8979c3-magickcore
imagemagick,CVE-2017-9098,1c358ffe0049,ReadRLEImage,395,CVE-2017-9098-patch-1c358ffe0049-magickcore
imagemagick,CVE-2019-10650,b0fe1aa7c2ed,WriteTIFFImage,513,CVE-2019-10650-patch-b0fe1aa7c2ed-magickcore
imagemagick,CVE-2022-1115,c8718305f120,ReadTIFFImage,854,CVE-2022-1115-patch-c8718305f120-magickcore
