project,cve_id,commit,file_path,file_added_lines,file_removed_lines,file_total_lines,is_added_file,is_removed_file,is_modified_file
imagemagick,CVE-2015-8958,1aa0c6dab6dc,coders/sun.c,17,26,43,False,False,True
imagemagick,CVE-2015-8900,97aa7d7cfd20,coders/hdr.c,20,16,36,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,MagickCore/memory.c,23,8,31,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,MagickCore/studio.h,3,3,6,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,MagickCore/version.c,11,2,13,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,MagickCore/version.h,3,3,6,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,MagickWand/studio.h,3,3,6,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,coders/icon.c,4,2,6,False,False,True
imagemagick,CVE-2015-8895,0f6fc2d5bf8f,coders/pict.c,3,3,6,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,MagickCore/memory.c,23,8,31,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,MagickCore/studio.h,3,3,6,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,MagickCore/version.c,11,2,13,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,MagickCore/version.h,3,3,6,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,MagickWand/studio.h,3,3,6,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,coders/icon.c,4,2,6,False,False,True
imagemagick,CVE-2015-8896,0f6fc2d5bf8f,coders/pict.c,3,3,6,False,False,True
imagemagick,CVE-2016-7515,2ad6d3349375,coders/rle.c,6,2,8,False,False,True
imagemagick,CVE-2016-7514,198fffab4daf,coders/psd.c,2,0,2,False,False,True
imagemagick,CVE-2016-7534,430403b0029b,MagickCore/quantum-import.c,1,1,2,False,False,True
