Version,Release Time
0.5,2009-03-10 00:06
0.5.1,2010-03-02 18:54
0.5.2,2010-05-25 01:18
0.5.3,2010-10-18 22:53
0.5.4,2011-03-17 15:53
0.5.5,2011-11-06 22:56
0.5.6,2011-11-21 23:42
0.5.7,2011-12-26 00:19
0.5.8,2012-01-13 00:09
0.5.9,2012-05-12 00:28
0.5.10,2012-06-09 23:58
0.5.11,2013-02-17 22:40
0.5.12,2013-02-28 06:00
0.5.13,2013-09-25 04:11
0.5.14,2014-07-20 19:53
0.5.15,2014-11-29 14:50
0.6,2010-06-15 23:09
0.6.1,2010-10-18 14:51
0.6.2,2011-03-23 23:54
0.6.3,2011-04-26 16:32
0.6.4,2011-12-26 00:21
0.6.5,2012-01-13 00:12
0.6.6,2012-06-09 23:58
0.6.7,2013-09-23 03:48
0.7,2011-06-21 23:59
0.7.1,2011-06-23 04:00
0.7.2,2011-07-28 21:02
0.7.3,2011-08-10 16:03
0.7.4,2011-09-07 18:23
0.7.5,2011-09-22 04:22
0.7.6,2011-10-02 23:36
0.7.7,2011-11-05 00:18
0.7.8,2011-11-21 22:42
0.7.9,2011-12-26 00:22
0.7.10,2012-01-02 22:15
0.7.11,2012-01-13 00:15
0.7.12,2012-04-09 20:57
0.7.13,2012-06-09 23:57
0.7.14,2013-02-18 19:05
0.7.15,2013-02-21 05:11
0.7.16,2013-10-06 20:16
0.7.17,2015-03-12 02:23
0.8,2011-06-22 00:00
0.8.1,2011-07-28 21:03
0.8.2,2011-08-10 16:05
0.8.3,2011-09-07 18:25
0.8.4,2011-09-22 04:24
0.8.5,2011-10-02 23:33
0.8.6,2011-11-05 00:20
0.8.7,2011-11-21 22:24
0.8.8,2011-12-26 00:24
0.8.9,2012-01-02 22:14
0.8.10,2012-01-13 00:16
0.8.11,2012-04-09 20:56
0.8.12,2012-06-09 23:56
0.8.13,2013-02-18 01:28
0.8.14,2013-02-21 04:24
0.8.15,2013-10-06 19:42
0.9,2011-12-11 23:29
0.9.1,2012-01-05 05:08
0.9.2,2012-05-03 04:20
0.9.3,2013-09-23 02:15
0.9.4,2014-03-21 07:20
0.10,2012-01-27 01:00
0.10.1,2012-03-17 02:45
0.10.2,2012-03-17 10:39
0.10.3,2012-05-06 03:12
0.10.4,2012-06-09 23:59
0.10.5,2012-09-19 05:41
0.10.6,2012-10-26 01:16
0.10.7,2013-04-10 05:43
0.10.8,2013-07-31 04:27
0.10.9,2013-09-27 04:24
0.10.10,2013-11-06 04:00
0.10.11,2014-01-17 07:07
0.10.12,2014-03-10 21:23
0.10.13,2014-06-09 04:17
0.10.14,2014-06-29 05:08
0.10.15,2014-08-13 07:09
0.10.16,2015-03-12 22:07
0.11,2012-05-25 21:17
0.11.1,2012-06-08 00:34
0.11.2,2012-09-19 05:45
0.11.3,2013-03-22 05:16
0.11.4,2013-08-28 05:17
0.11.5,2014-03-10 17:34
1.0,2012-09-28 04:58
1.0.1,2012-12-03 23:32
1.0.2,2013-01-21 00:37
1.0.3,2013-01-22 03:56
1.0.4,2013-02-07 03:13
1.0.5,2013-03-04 03:54
1.0.6,2013-03-21 02:36
1.0.7,2013-05-14 05:21
1.0.8,2013-09-06 05:39
1.0.9,2014-03-10 16:01
1.0.10,2014-07-20 20:49
1.1,2013-01-07 00:12
1.1.1,2013-01-20 03:31
1.1.2,2013-02-06 05:41
1.1.3,2013-02-23 04:28
1.1.4,2013-03-18 04:47
1.1.5,2013-05-13 04:40
1.1.6,2013-08-31 06:53
1.1.7,2013-10-11 21:55
1.1.8,2014-01-13 16:51
1.1.9,2014-03-07 05:45
1.1.10,2014-04-22 02:32
1.1.11,2014-05-11 00:19
1.1.12,2014-06-26 01:36
1.1.13,2014-08-09 00:55
1.1.14,2014-08-31 00:25
1.1.15,2014-12-21 13:01
1.1.16,2015-03-13 19:53
1.2,2013-03-15 02:10
1.2.1,2013-05-10 03:41
1.2.2,2013-07-28 03:59
1.2.3,2013-08-27 03:41
1.2.4,2013-10-03 02:54
1.2.5,2014-01-16 17:02
1.2.6,2014-03-05 05:26
1.2.7,2014-06-23 20:12
1.2.8,2014-08-19 04:47
1.2.9,2014-10-07 21:11
1.2.10,2014-11-03 03:51
1.2.11,2014-12-19 01:32
1.2.12,2015-02-12 17:04
2.0,2013-07-10 04:09
2.0.1,2013-08-11 03:45
2.0.2,2013-10-08 22:28
2.0.3,2013-12-24 05:39
2.0.4,2014-03-04 02:41
2.0.5,2014-06-25 23:25
2.0.6,2014-11-14 23:47
2.0.7,2015-06-10 04:55
2.1,2013-10-28 03:11
2.1.1,2013-11-20 05:07
2.1.2,2014-01-13 18:54
2.1.3,2014-01-15 21:03
2.1.4,2014-02-24 01:00
2.1.5,2014-06-23 19:14
2.1.6,2014-11-28 21:34
2.1.7,2014-12-31 23:58
2.1.8,2015-06-04 21:30
2.2,2014-03-24 00:30
2.2.1,2014-04-10 06:55
2.2.2,2014-05-05 07:58
2.2.3,2014-06-03 01:01
2.2.4,2014-06-23 17:46
2.2.5,2014-07-15 03:58
2.2.6,2014-08-06 00:08
2.2.7,2014-08-12 06:34
2.2.8,2014-09-21 02:31
