version,date
2.0,2000-11-09
2.0.1,2000-12-02
2.0.2,2001-03-24
2.0.2-TEST,2001-02-16
2.0.3,2001-05-29
2.0.4,2001-06-27
2.0.5,2001-10-17
2.0.6,2002-01-07
2.0.7,2002-02-01
2.0.8,2002-02-08
2.0.9,2002-03-08
2.1.0,2002-04-17
2.1.1,2002-06-11
2.1.2,2002-06-23
2.1.3,2002-11-13
2.1.4,2003-03-27
2.1.5,2003-09-11
2.1.6,2003-11-08
2.1.7,2003-11-09
2.1.8,2004-04-21
2.1.9,2004-06-24
2.1.10,2005-06-08
2.2.0,2006-08-15
2.2.0-RC1,2006-02-21
2.2.0-RC2,2006-02-23
2.2.0-RC3,2006-02-24
2.2.0-RC4,2006-08-15
2.2.1,2006-08-15
2.3.0,2007-01-13
2.3.1,2007-01-30
2.3.2,2007-03-09
2.3.3,2007-04-05
2.3.4,2007-04-10
2.3.5,2007-07-02
2.3.6,2008-06-10
2.3.7,2008-06-29
2.3.8,2009-01-14
2.3.9,2009-03-12
2.3.10,2009-10-06
2.3.11,2009-10-10
2.3.12,2010-02-13
2.4.0,2010-07-12
2.4.1,2010-07-18
2.4.2,2010-08-06
2.4.3,2010-10-03
2.4.4,2010-11-28
2.4.5,2011-06-25
2.4.6,2011-07-29
2.4.7,2011-10-18
2.4.8,2011-11-14
2.4.9,2012-03-08
2.4.10,2012-06-15
2.4.11,2012-12-20
2.4.12,2013-05-08
2.5.0,2013-06-19
2.5.0-1,2013-06-19
2.5.1,2013-11-25
2.5.2,2013-12-08
2.5.3,2014-03-06
2.5.4,2014-12-06
2.5.5,2014-12-30
2.6,2015-06-07
2.6.1,2015-10-04
2.6.2,2015-11-28
2.6.3,2016-02-08
2.6.4,2016-07-05
2.6.5,2016-07-12
2.7,2016-09-08
2.7.1,2016-12-30
2.8,2017-05-13
2.8.1,2017-09-16
2.9,2018-01-08
2.9.1,2018-05-01
2.10.0,2019-03-15
2.10.1,2019-07-01
2.10.2,2020-05-09
2.10.3,2020-10-10
2.10.4,2020-10-20
2.11.0,2021-07-19
2.11.1,2021-12-02
2.12.0,2022-03-31
2.12.1,2022-05-01
2.13.0,2023-02-09
2.13.1,2023-06-24
2.13.2,2023-08-25
2.13.3,2024-08-12
