version,date
7.0.1-0 , 2016-04-30
7.0.1-1 , 2016-05-03
7.0.1-2 , 2016-05-07
7.0.1-3 , 2016-05-09
7.0.1-4 , 2016-05-16
7.0.1-5 , 2016-05-18
7.0.1-6 , 2016-05-21
7.0.1-7 , 2016-05-30
7.0.1-8 , 2016-05-31
7.0.1-9 , 2016-06-03
7.0.1-10 , 2016-06-07
7.0.2-0 , 2016-06-12
7.0.2-1 , 2016-06-22
7.0.2-2 , 2016-06-27
7.0.2-3 , 2016-07-09
7.0.2-4 , 2016-07-10
7.0.2-5 , 2016-07-21
7.0.2-6 , 2016-07-29
7.0.2-7 , 2016-08-06
7.0.2-8 , 2016-08-14
7.0.2-9 , 2016-08-14
7.0.2-10 , 2016-08-27
7.0.3-0 , 2016-09-05
7.0.3-1 , 2016-09-20
7.0.3-2 , 2016-10-02
7.0.3-3 , 2016-10-08
7.0.3-4 , 2016-10-10
7.0.3-5 , 2016-10-30
7.0.3-6 , 2016-11-08
7.0.3-7 , 2016-11-15
7.0.3-8 , 2016-11-25
7.0.3-9 , 2016-12-05
7.0.3-10 , 2016-12-10
7.0.4-0 , 2016-12-18
7.0.4-1 , 2016-12-31
7.0.4-2 , 2017-01-03
7.0.4-3 , 2017-01-07
7.0.4-4 , 2017-01-14
7.0.4-5 , 2017-01-21
7.0.4-6 , 2017-01-27
7.0.4-7 , 2017-02-04
7.0.4-8 , 2017-02-13
7.0.4-9 , 2017-02-14
7.0.4-10 , 2017-02-18
7.0.5-0 , 2017-02-20
7.0.5-1 , 2017-03-03
7.0.5-2 , 2017-03-11
7.0.5-3 , 2017-03-17
7.0.5-4 , 2017-03-24
7.0.5-5 , 2017-04-24
7.0.5-6 , 2017-05-12
7.0.5-7 , 2017-05-19
7.0.5-8 , 2017-05-27
7.0.5-9 , 2017-05-28
7.0.5-10 , 2017-06-02
7.0.6-0 , 2017-06-11
7.0.6-1 , 2017-07-15
7.0.6-2 , 2017-07-21
7.0.6-3 , 2017-07-24
7.0.6-4 , 2017-07-28
7.0.6-5 , 2017-08-02
7.0.6-6 , 2017-08-10
7.0.6-7 , 2017-08-12
7.0.6-8 , 2017-08-18
7.0.6-9 , 2017-08-20
7.0.7-0 , 2017-09-03
7.0.7-1 , 2017-09-09
7.0.7-2 , 2017-09-12
7.0.7-3 , 2017-09-17
7.0.7-4 , 2017-09-23
7.0.7-5 , 2017-10-01
7.0.7-6 , 2017-10-04
