tag,date,commit_sha
2.7.4,2009-09-10,293416828e1467f877d9dd928f174dcf81b103bc
2.7.5,2009-09-24,7a896ce260d2447d405b4ae683bf9d643eef6cda
2.7.6,2009-10-06,96bb740e2102f103777f0a630d29ba88996dd80c
2.7.7,2010-03-15,bb5055f3875c5a3c45f4daa8058e35aab8c5ac3f
2.7.8,2010-11-04,4c2e7c651f6c2f0d1a74f350cbda95f7df3e7017
2.8.0-rc1,2012-05-15,9d9685ad88c17d35b6688695af3ceba7c7309b13
2.8.0-rc2,2012-05-21,ee8f1d4cda8dc1a6f2c515fe234f7bc89cdc9f80
2.8.0,2012-05-23,c943f708f1853de4eb15e5a94cf0b35d108da87a
2.9.0-rc2,2012-09-07,f933c898132f20a50ba39ac6116378b71a01c700
2.9.0,2012-09-11,38bbd3412d1c2a2016cf5a1a221ad4010216d28e
2.9.1,2013-04-19,f4e5a6994ed230dfa3fb5b5c3fd94c4993ef1ba7
2.9.2-rc1,2014-10-10,f985ada79027570d5e3f0d1b29c8ecf23921044a
2.9.2-rc2,2014-10-13,af62eb4fabda119f12c53da2e68cf0decb68b0d8
2.9.2,2014-10-16,726f67e2f140f8d936dfe993bf9ded3180d750d2
2.9.3,2015-11-20,6657afe83a38278f124ace71dc85f60420beb2d5
2.9.4-rc1,2016-05-01,a1dca81df7c352cd9a14ab678750b1623f8f8ed7
2.9.4-rc2,2016-05-09,8effcb578e0590cc01bbcab0f9dccefc6bdbcdbd
2.9.4,2016-05-23,bdec2183f34b37ee89ae1d330c6ad2bb4d76605f
2.9.5-rc1,2017-08-29,e29e50e54f471c7019059e5358b2739442266246
2.9.5-rc2,2017-08-31,69936b129fedcda3514fee1a0d6b39521923cbac
2.9.5,2017-09-04,2960178fe8f9fe690b7f8c1c49093ff54bb56934
2.9.6-rc1,2017-09-28,0f3b843b3534784ef57a4f9b874238aa1fda5a73
2.9.6,2017-10-06,4b4d3d85165e6bfca23893cf98834c4bc747a96c
2.9.7-rc1,2017-10-30,09f51ecbc5b8ea418bacca4ad43a4d2d1e3ccdfb
2.9.7,2017-11-02,bc5a5d658320c37e206fe4e7b525b4a24466d0c6
2.9.8-rc1,2018-01-23,ab362ab0ad3af54406ae8237a525405c6e2a705b
2.9.8,2018-03-05,18890f471c420411aa3c989e104d090966ec9dbf
2.9.9-rc1,2018-11-22,c8e5f9588b986c6e81c9028825aeff8151375d28
2.9.9-rc2,2018-11-29,a71b98ec9dee2d44e16a74ab8472868891bbc7b4
2.9.9,2019-01-03,f8a8c1f59db355b46962577e7b74f1a1e8149dc6
2.9.10-rc1,2019-10-23,9acef289285008f81b4b66b4880baf600773cf67
2.9.10,2019-10-30,41a34e1f4ffae2ce401600dbb5fe43f8fe402641
2.9.11,2021-05-13,e1bcffea180d6cc0651757bb64284a763e0e2239
2.9.12,2021-05-13,b48e77cf4f6fa0792c5f4b639707a2b0675e461b
2.9.13,2022-02-20,a075d256fd9ff15590b86d981b75a50ead124fca
2.9.14,2022-05-02,7846b0a677f8d3ce72486125fa281e92ac9970e8
2.10.0,2022-08-17,ae383bdb74523ddaf831d7db0690173c25e483b3
2.10.1,2022-08-25,d85c4a01407b75eb4005256df106d121e766a1d8
2.10.2,2022-08-29,21b24b51608d471bb9f7c4225e23d0db2acecc52
2.10.3,2022-10-14,f507d167f1755b7eaea09fb1a44d29aab828b6d1
2.10.4,2023-04-11,223cb03a5d27b1b2393b266a8657443d046139d6
2.11.0,2023-04-28,f296934ade688baab79caf1c62a82149ad78accf
2.11.1,2023-04-30,ab9fea4ac0d494bcf68864e9be0574137e48a80e
2.11.2,2023-05-05,838bf42d54f94c8ff99b6e5022899a32875ed5d7
2.11.3,2023-05-11,787ae0390a3b90a76c2c54d6a18d7f1abe888c64
2.11.4,2023-05-18,2e9f7860a9cb8be29eca90b7409ef0278d30ef10
2.11.5,2023-08-09,2b998a4ffbdfea04fc6a620721abc690a15743af
2.11.6,2023-11-16,93f0179d9d0bcd0d053d2df3e2fd382e6dac6954
2.11.7,2024-02-04,8711320065405c4bb08aaccd4bd2881450b5ce41
2.11.8,2024-05-13,58a973c40ba927e5ad941789723da7c47a2d60e3
2.11.9,2024-07-24,954e851e1d8d1f4c1dfbdf043623b3c11a1c723c
2.12.0,2023-11-16,5e9b167dce73bd6a804ab107ae4c4b95e6849597
2.12.1,2023-11-23,f4ac9926a463ecb628f73049e4fd7ecced8fb7cf
2.12.2,2023-12-05,4d8fa5b292fc902268217fa0f7031e77e5437b5a
2.12.3,2023-12-12,30d22bec03893ad646907050959bdfe9e8000146
2.12.4,2024-01-15,8292f361458fcffe0bff515a385be02e9d35582c
2.12.5,2024-02-04,e189e9945317ad4c8603fa2300d11d11f5e2e335
2.12.6,2024-03-15,505e2e872e767405be565aa9d47ae9d6d5677f79
2.12.7,2024-05-13,0b6d8130737125ba45981d54be7f15fe398ad2e0
2.12.8,2024-06-12,83fce0a3f9ef22c90a980b03bb90cbd364d5c9ab
2.12.9,2024-07-24,00301f0fe8bccdb9945fb684e9bbd72449b961a5
2.12.10,2025-02-18,02d577715e1951cf114ca4e9adaf5605156c4f4c
2.13.0,2024-06-12,cdd2575f7fbab1d8162600f4048bc37503c80e28
2.13.1,2024-06-19,48dba1e21f8f1a7d8a817eaf65831396e74b78d2
2.13.2,2024-07-04,4b3f860e5420ade19a825dc7f4d75789489535ba
2.13.3,2024-07-24,3b1742b8391e966be780bdc43fdf959f7b3a118c
2.13.4,2024-09-18,60d3056c97067e6cb2125284878ed7c99c90ed81
2.13.5,2024-11-12,de918d45e1b2276a28a4cd32bcf556bef65284e4
2.13.6,2025-02-18,66453240c94b5cbd3e9ae9b32016fdafb13cdf18
2.13.7,2025-03-27,9b8fbe99ad14fe32c5dd5913743046d80cf347fe
2.13.8,2025-04-17,eb0a2f2b91566384f378d870ffcd69c0a24162cc
2.14.0,2025-03-27,a372cbf5821302ebaf757235b29ba812df78204d
2.14.1,2025-04-03,0f10a05d2e1043dcc178736b82277223a76eacc9
2.14.2,2025-04-17,0e145ae4881c2a05ae00128a3bd90d76d4dadc4b
2.14.3,2025-05-13,8d509f483dd5ce268b2fded9c738132c47d820d8
