tag,date,commit_sha
AFTER_COMPAQ_PATCH,2002-05-22,a13ec6774df5f00731e5ee210d741e39ec28bcd0
BEFORE_COMPAQ_PATCH,2002-05-21,fe8767737bbbaf83102920ac5f6ec77f0b3e76d2
BEFORE_engine,2000-10-26,1df586bec20de86c3086181c565aaee7629bb0a2
BEN_FIPS_TEST_1,2003-10-08,f25b0dddbb5ccba4ec0dc8fb4536860b14bd46e0
BEN_FIPS_TEST_2,2003-10-22,fdf12fd4556cca445044192ba8788bee3579e966
BEN_FIPS_TEST_3,2003-10-28,ffe8370a18f8123bb2b65a78c80977a51f3438ac
BEN_FIPS_TEST_4,2004-01-06,c7f38650d634a1d5abd43850fe31d6a69ac05c6a
BEN_FIPS_TEST_5,2004-02-02,e6738d4be8d4ef42f213921351e7e9df79be7d1a
BEN_FIPS_TEST_6,2004-12-13,543e15a3c0139e6026ce194f8c8465fb9a559986
BEN_FIPS_TEST_7,2004-12-20,fe707c3260cb44f5e7d701cf87e1197712ec7d43
BEN_FIPS_TEST_8,2005-05-24,20a413620c599325eeb568d7d9c9e04d86eb29c2
FIPS_TEST_9,2005-06-07,3da3c85a3f02b244dfaeadfeb7d8d0554f9d0f45
FIPS_TEST_10,2005-06-27,bb67f28a1ea032b8cc338b4a510b2c885d32d876
FIPS_098_TEST_1,2007-07-02,a334b0436df5b012be242414ebbc3d2ee6118ed7
FIPS_098_TEST_2,2007-07-19,0712210f03e5aa6ea37b37028aed8d24eb7a00f0
FIPS_098_TEST_3,2007-08-19,03b7b4690c772a1f92f57969e08ff4ac1fb7570d
FIPS_098_TEST_4,2007-08-21,4d27e3d339ea3e6bff22f96ef2f7b67dc25899d7
FIPS_098_TEST_5,2007-08-29,7c78f06301b310630a5e7f470aa7c69f05f053cc
FIPS_098_TEST_6,2007-09-07,437bafa5ccab79141595cfd3b624997eb95c1f76
FIPS_098_TEST_7,2007-09-22,e6e5592a509eb5d3da6270e808acc06c668d1fa7
FIPS_098_TEST_8,2007-10-05,2f9048b8a13c25625168cf5944cb5c6d1e532583
LEVITTE_after_const,2004-03-15,828f94d8521cc9ebf4f28b203510bfdc5eb7a178
LEVITTE_before_const,2004-03-15,3e35b3a1a317d910e87dab1c832d0678a790a8f5
OpenSSL_FIPS_1_0,2006-02-07,bf059c2efc4db5c09970fd3d2c392432b0ac6a12
OpenSSL_0_9_1c,1998-12-23,320a14cb5b12cbdd2ff4d81c1e9a2ea7a139a038
OpenSSL_0_9_2b,1999-03-22,8af354d44907dc89fbc41a03af4e5d71b8bcd7b9
OpenSSL_0_9_3a,1999-05-29,033d858cc22eaca6ee6a6414e378be359ab112ca
OpenSSL_0_9_3beta1,1999-05-20,35b351549024d86e56af3ea8456b9ccd1d67add0
OpenSSL_0_9_3beta2,1999-05-23,24abc46963e72f625edd0e60f50f98ce3b5cb3a4
OpenSSL_0_9_3,1999-05-24,09befa19058989c75fbdf580a263d7aa6be8ec8b
OpenSSL_0_9_4,1999-08-09,2c720c746b18fa2eef4be4ad21c9352a5417b583
OpenSSL_0_9_5a,2000-04-01,5e61580bbd2ee37a30e8d0afdcc45be1555592d8
