Version,Date
4.99.5,2024-08-30
4.99.4,2023-04-07
4.99.3,2023-01-12
4.99.2,2022-12-31
4.99.1,2021-06-09
4.99.0,2020-12-30
4.99.0-bp,2020-12-29
4.99-bp,2020-12-29
4.9.3,2019-09-30
4.9.2,2017-09-03
4.9.1,2017-07-22
4.9.0,2017-01-18
4.9.0-bp,2017-01-18
4.8.1,2016-10-26
4.8.0,2016-07-21
4.8.0-bp,2016-10-26
4.7.4,2015-04-22
4.7.3,2015-03-11
4.7.2,2015-03-09
4.7.0-bp,2014-11-12
4.6.1,2014-07-19
4.6.0,2014-07-02
4.6.0-bp,2014-07-02
4.5.1,2013-11-20
4.5.0,2013-11-07
4.4.0,2013-03-24
4.3.0,2012-06-10
4.2.1,2012-01-02
4.1.1,2010-04-07
4.1.0,2010-03-12
4.0.0,2008-10-28
3.9.8,2007-09-21
3.9.7,2007-07-24
3.9.6,2006-09-20
3.9.5,2005-10-03
3.9.3,2005-07-13
3.9.2,2005-07-12
3.9.1,2005-07-10
3.8.3,2004-03-30
3.8.2,2004-03-30
3.8.1,2003-12-27
3.8-bp,2003-11-13
3.7.2,2003-02-26
3.7.1,2002-01-21
3.6.3,2001-07-09
3.6.2,2001-01-18
3.6.1,2001-01-11
3.5.1,2001-01-10
3.5.2,2000-07-13
