cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2014-8484,0,0,0,0,0,0,,,,
CVE-2014-8485,0,0,0,0,0,0,,,,
CVE-2014-8738,0,0,0,0,0,0,,,,
CVE-2017-7299,0,4,0,0,0,0,,2.28;2.29;2.30;2.29.1,,
CVE-2017-7303,0,4,0,0,0,0,,2.28;2.29;2.30;2.29.1,,
CVE-2017-7304,0,4,0,0,0,0,,2.28;2.29;2.30;2.29.1,,
CVE-2017-6965,0,3,0,0,0,3,,2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-6966,0,3,0,0,0,3,,2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-7209,0,3,0,0,0,0,,2.29;2.30;2.29.1,,
CVE-2017-6969,0,3,0,0,0,3,,2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-9038,0,3,0,0,0,0,,2.29;2.30;2.29.1,,
CVE-2017-9039,0,3,0,0,0,3,,2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-9040,0,3,0,0,0,3,,2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-9043,0,3,0,0,0,0,,2.29;2.30;2.29.1,,
CVE-2017-8392,0,4,0,0,0,0,,2.28;2.29;2.30;2.29.1,,
CVE-2017-8394,1,4,0,1,0,3,,,,2.29;2.30;2.29.1
CVE-2017-8395,0,4,0,0,0,0,,2.28;2.29;2.30;2.29.1,,
CVE-2017-8397,0,4,0,0,0,0,,2.28;2.29;2.30;2.29.1,,
CVE-2017-8398,0,4,0,0,0,3,,2.28;2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-8396,0,4,0,0,0,3,,2.28;2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-8421,1,4,0,1,0,3,,,,2.29;2.30;2.29.1
CVE-2017-9954,0,4,0,0,0,3,,2.28;2.29;2.30;2.29.1,,2.29;2.30;2.29.1
CVE-2017-9955,0,4,0,0,1,0,,2.28;2.29;2.30;2.29.1,2.28,
CVE-2017-13710,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-12967,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-13757,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14129,3,4,3,0,1,0,,,2.29,
CVE-2017-12799,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14128,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14130,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-12448,2,5,0,2,0,3,,,,2.31;2.30;2.29.1
CVE-2017-14529,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14745,0,2,0,0,0,0,,2.31;2.30,,
CVE-2017-14729,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14974,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14930,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14938,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14939,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-14940,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-15021,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-15024,0,4,0,0,0,3,,2.31;2.29;2.30;2.29.1,,2.31;2.30;2.29.1
CVE-2017-15025,0,4,0,0,0,0,,2.31;2.29;2.30;2.29.1,,
CVE-2017-15020,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-15022,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-15023,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-14932,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-14933,0,4,0,0,1,0,,2.31.1;2.31;2.30,2.29,
CVE-2017-15938,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-15939,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-14934,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-15225,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-16829,0,4,0,0,1,3,,,2.29.1,2.31.1;2.31;2.30
CVE-2017-15996,0,4,0,0,0,0,,2.31.1;2.31;2.29;2.30,,
CVE-2017-16830,0,4,0,0,0,0,,2.31.1;2.31;2.30;2.29.1,,
