cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-2629,3,6,3,0,2,0,,7.51.0,7.52.0;7.52.1,
CVE-2013-1944,0,4,0,0,0,0,,7.31.0;7.32.0;7.29.0;7.30.0,,
CVE-2018-16840,0,6,0,0,0,0,,7.61.1;7.61.0;7.62.0;7.64.0;7.63.0;7.60.0,,
CVE-2018-1000301,0,6,0,0,0,0,,7.58.0;7.61.1;7.61.0;7.60.0;7.59.0;7.57.0,,
CVE-2016-9586,0,6,0,0,0,0,,7.52.1;7.53.0;7.50.2;7.50.3;7.51.0;7.52.0,,
CVE-2017-9502,0,6,0,0,0,0,,7.53.0;7.54.1;7.54.0;7.55.1;7.55.0;7.53.1,,
CVE-2017-7407,0,4,0,0,0,0,,7.55.0;7.53.1;7.54.1;7.54.0,,
CVE-2018-16839,3,6,3,0,3,0,,,7.61.1;7.60.0;7.61.0,
CVE-2018-1000300,0,6,0,0,0,0,,7.58.0;7.61.1;7.61.0;7.60.0;7.59.0;7.57.0,,
CVE-2023-46219,3,6,0,3,0,3,,,,8.7.1;8.6.0;8.5.0
CVE-2016-8621,0,6,0,0,0,0,,7.52.1;7.50.1;7.50.2;7.50.3;7.51.0;7.52.0,,
CVE-2018-0500,3,6,3,0,3,0,,,7.59.0;7.58.0;7.60.0,
CVE-2013-0249,0,3,0,0,0,0,,7.31.0;7.32.0;7.30.0,,
CVE-2014-0015,0,6,0,0,0,0,,7.37.0;7.32.0;7.34.0;7.35.0;7.36.0;7.33.0,,
CVE-2020-8169,0,6,0,0,0,0,,7.69.0;7.70.0;7.71.0;7.71.1;7.72.0;7.69.1,,
CVE-2017-8817,0,6,0,0,0,0,,7.58.0;7.56.1;7.56.0;7.55.1;7.59.0;7.57.0,,
CVE-2021-22898,0,6,0,0,0,0,,7.76.1;7.76.0;7.79.0;7.78.0;7.77.0;7.75.0,,
CVE-2019-5482,0,6,0,0,0,0,,7.68.0;7.67.0;7.65.3;7.65.1;7.65.2;7.66.0,,
CVE-2016-8624,0,6,0,0,0,0,,7.52.1;7.50.1;7.50.2;7.50.3;7.51.0;7.52.0,,
CVE-2016-8618,0,6,0,0,0,0,,7.52.1;7.50.1;7.50.2;7.50.3;7.51.0;7.52.0,,
CVE-2023-46218,0,6,0,0,0,0,,8.2.1;8.2.0;8.7.1;8.5.0;8.4.0;8.6.0,,
CVE-2016-8617,6,6,3,3,0,0,,,,
CVE-2017-1000101,0,6,0,0,0,0,,7.56.1;7.54.1;7.56.0;7.54.0;7.55.1;7.55.0,,
CVE-2016-9594,0,4,0,0,0,0,,7.53.0;7.53.1;7.52.0;7.52.1,,
CVE-2018-1000122,0,6,0,0,0,0,,7.58.0;7.61.0;7.56.1;7.60.0;7.59.0;7.57.0,,
CVE-2018-16842,0,6,0,0,0,0,,7.61.1;7.61.0;7.62.0;7.64.0;7.63.0;7.60.0,,
CVE-2022-42916,0,6,0,0,0,0,,7.86.0;7.88.0;7.83.1;7.84.0;7.85.0;7.87.0,,
CVE-2022-42915,0,6,0,0,0,0,,7.86.0;7.88.0;7.83.1;7.84.0;7.85.0;7.87.0,,
CVE-2020-8284,0,6,0,0,0,0,,7.76.0;7.74.0;7.73.0;7.72.0;7.71.1;7.75.0,,
CVE-2020-8177,0,6,0,0,0,0,,7.69.0;7.70.0;7.71.0;7.71.1;7.72.0;7.69.1,,
CVE-2019-5435,0,6,0,0,0,0,,7.64.1;7.65.0;7.64.0;7.63.0;7.65.1;7.65.2,,
CVE-2018-1000007,0,6,0,0,0,3,,7.58.0;7.56.1;7.56.0;7.60.0;7.59.0;7.57.0,,7.59.0;7.58.0;7.60.0
CVE-2018-1000120,0,6,0,0,0,0,,7.58.0;7.61.0;7.56.1;7.60.0;7.59.0;7.57.0,,
CVE-2017-8818,2,5,0,2,0,3,,,,7.59.0;7.58.0;7.57.0
CVE-2017-8816,0,6,0,0,0,0,,7.58.0;7.56.1;7.56.0;7.55.1;7.59.0;7.57.0,,
CVE-2016-8625,0,6,0,0,0,3,,7.52.1;7.50.1;7.50.2;7.50.3;7.51.0;7.52.0,,7.51.0;7.52.0;7.52.1
CVE-2016-8623,0,6,0,0,0,0,,7.52.1;7.50.1;7.50.2;7.50.3;7.51.0;7.52.0,,
