cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2015-8958,0,3,0,0,0,0,,7.0.1-3;7.0.1-2;7.0.1-1,,
CVE-2015-8900,0,6,0,0,0,0,,7.0.1-0;7.0.1-1;7.1.0-2;7.1.0-1;7.0.1-2;7.1.0-0,,
CVE-2015-8895,0,6,0,0,0,3,,7.0.5-3;7.0.1-0;7.0.1-1;7.0.5-1;7.0.5-2;7.0.1-2,,7.0.5-1;7.0.5-3;7.0.5-2
CVE-2015-8896,0,6,0,0,0,3,,7.0.1-0;7.0.1-1;7.1.0-2;7.1.0-1;7.0.1-2;7.1.0-0,,7.1.0-0;7.1.0-2;7.1.0-1
CVE-2016-7515,0,3,0,0,0,0,,7.0.1-3;7.0.1-2;7.0.1-1,,
CVE-2016-7514,0,3,0,0,0,0,,7.0.1-3;7.0.1-2;7.0.1-1,,
CVE-2016-7534,0,3,0,0,0,3,,7.0.1-3;7.0.1-2;7.0.1-1,,7.0.1-3;7.0.1-2;7.0.1-1
CVE-2016-10065,0,3,0,0,0,3,,7.0.1-3;7.0.1-2;7.0.1-1,,7.0.1-3;7.0.1-2;7.0.1-1
CVE-2016-5689,0,6,0,0,0,0,,7.0.1-8;7.0.1-4;7.0.1-5;7.0.1-9;7.0.1-6;7.0.1-10,,
CVE-2016-5690,0,6,0,0,0,0,,7.0.1-8;7.0.1-4;7.0.1-5;7.0.1-9;7.0.1-6;7.0.1-10,,
CVE-2016-5691,0,6,0,0,0,0,,7.0.1-8;7.0.1-4;7.0.1-5;7.0.1-9;7.0.1-6;7.0.1-10,,
CVE-2016-10060,3,6,0,3,0,3,,,,7.0.11-1;7.0.11-0;7.0.11-2
CVE-2016-6491,0,6,0,0,0,0,,7.0.2-8;7.0.2-3;7.0.2-7;7.0.2-6;7.0.2-5;7.0.2-4,,
CVE-2016-7101,0,6,0,0,0,0,,7.1.0-2;7.1.0-1;7.0.2-0;7.1.0-0;7.0.1-10;7.0.2-1,,
CVE-2016-9556,0,4,0,0,0,0,,7.0.3-8;7.0.4-0;7.0.3-9;7.0.3-10,,
CVE-2017-9098,0,6,0,0,0,0,,7.0.4-10;7.1.0-2;7.1.0-1;7.0.5-1;7.1.0-0;7.0.5-0,,
CVE-2017-9499,0,4,0,0,0,0,,7.0.5-8;7.0.5-10;7.0.5-7;7.0.5-9,,
CVE-2017-11523,0,6,0,0,0,0,,7.0.6-2;7.0.5-8;7.0.6-4;7.0.6-1;7.0.6-3;7.0.5-7,,
CVE-2017-15277,0,4,0,0,0,0,,7.0.6-1;7.0.6-3;7.0.6-5;7.0.6-4,,
CVE-2017-14174,0,4,0,0,0,0,,7.0.7-3;7.0.7-1;7.0.7-0;7.0.7-2,,
