cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2018-20847,0,6,0,0,0,0,,2.4.0;2.3.1;2.0.1;2.1;2.0;2.5.0,,
CVE-2015-8871,0,0,0,0,0,0,,,,
CVE-2016-4797,0,3,0,0,0,0,,2.2.0;2.1.1;2.1.2,,
CVE-2016-7163,0,6,0,0,0,0,,2.1.1;2.3.1;2.2.0;2.3.0;2.0;2.1.2,,
CVE-2016-10506,0,0,0,0,0,0,,,,
CVE-2016-10504,0,0,0,0,0,0,,,,
CVE-2017-14151,0,0,0,0,0,0,,,,
CVE-2017-14152,0,3,0,0,0,0,,2.3.1;2.4.0;2.3.0,,
CVE-2017-14039,0,6,0,0,0,3,,2.4.0;2.1.1;2.3.1;2.2.0;2.3.0;2.1.2,,2.3.1;2.4.0;2.3.0
CVE-2017-14164,0,6,0,0,0,0,,2.4.0;2.1.1;2.3.1;2.2.0;2.3.0;2.1.2,,
