cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-12893,0,0,0,0,0,0,,,,
CVE-2017-12894,3,6,0,3,0,3,,4.99-bp;4.99.0-bp,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12895,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12896,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12897,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12898,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12899,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12901,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12902,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12985,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12987,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12988,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12989,0,5,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2017-12990,0,6,0,0,0,3,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12991,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12992,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12993,0,4,0,0,0,0,,4.9.3;4.8.1;4.9.0;4.9.1,,
CVE-2017-12994,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-12995,0,4,0,0,0,0,,4.9.3;4.8.1;4.9.0;4.9.1,,
CVE-2017-12996,0,0,0,0,0,0,,,,
CVE-2017-12997,0,0,0,0,0,0,,,,
CVE-2017-12998,0,0,0,0,0,0,,,,
CVE-2017-12999,0,0,0,0,0,0,,,,
CVE-2017-13000,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13001,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13002,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13003,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13004,0,4,0,0,0,0,,4.9.3;4.8.1;4.9.0;4.9.1,,
CVE-2017-13005,0,0,0,0,0,0,,,,
CVE-2017-13006,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13007,2,6,2,0,0,0,,4.9.3;4.8.1;4.9.0;4.9.1,,
CVE-2017-13008,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13009,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13011,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13012,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13013,0,6,0,0,0,3,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13014,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13015,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13016,0,2,0,0,0,0,,4.99-bp;4.99.0-bp,,
CVE-2017-13017,0,0,0,0,0,0,,,,
CVE-2017-13018,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13019,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13020,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13021,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13022,0,0,0,0,0,0,,,,
CVE-2017-13023,0,0,0,0,0,0,,,,
CVE-2017-13024,0,0,0,0,0,0,,,,
CVE-2017-13025,0,0,0,0,0,0,,,,
CVE-2017-13026,0,0,0,0,0,0,,,,
CVE-2017-13027,0,0,0,0,0,0,,,,
CVE-2017-13028,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13029,0,6,0,0,0,3,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13030,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13031,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13032,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13033,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13034,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13035,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13036,0,0,0,0,0,0,,,,
CVE-2017-13037,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13038,0,0,0,0,0,0,,,,
CVE-2017-13039,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13040,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13041,0,0,0,0,0,0,,,,
CVE-2017-13042,0,0,0,0,0,0,,,,
CVE-2017-13043,0,0,0,0,0,0,,,,
CVE-2017-13044,0,0,0,0,0,0,,,,
CVE-2017-13045,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13046,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13047,0,2,0,0,0,0,,4.99-bp;4.99.0-bp,,
CVE-2017-13048,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13049,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13050,0,6,0,0,0,3,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13051,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13052,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13053,0,0,0,0,0,0,,,,
CVE-2017-13054,0,0,0,0,0,0,,,,
CVE-2017-13055,0,0,0,0,0,0,,,,
CVE-2017-13687,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13688,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13689,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2017-13690,0,6,0,0,0,3,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13725,0,6,0,0,0,0,,4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp;4.8.1,,
CVE-2018-14461,0,0,0,0,0,0,,,,
CVE-2018-14462,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14463,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14464,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14465,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14466,0,0,0,0,0,0,,,,
CVE-2018-14467,0,0,0,0,0,0,,,,
CVE-2018-14468,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14469,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14470,0,0,0,0,0,0,,,,
CVE-2018-14881,0,0,0,0,0,0,,,,
CVE-2019-15166,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2019-15167,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-14880,1,4,1,0,3,0,,,4.9.1;4.9.2;4.9.0,
CVE-2018-14882,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-16227,0,2,0,0,0,0,,4.99-bp;4.99.0-bp,,
CVE-2018-16228,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-16229,0,0,0,0,0,0,,,,
CVE-2018-16230,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-16300,0,6,0,0,0,0,,4.9.2;4.99-bp;4.9.3;4.9.1;4.9.0;4.99.0-bp,,
CVE-2018-16451,0,3,0,0,0,0,,4.9.1;4.9.2;4.9.0,,
CVE-2018-16452,0,3,0,0,0,0,,4.9.1;4.9.2;4.9.0,,
