CVE,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2017-2629,6,6,100.00%,,,
CVE-2013-1944,4,4,100.00%,,,
CVE-2018-16840,6,6,100.00%,,,
CVE-2018-1000301,6,6,100.00%,,,
CVE-2016-9586,6,6,100.00%,,,
CVE-2017-9502,6,6,100.00%,,,
CVE-2017-7407,3,4,75.00%,,7.53.1,
CVE-2018-16839,6,6,100.00%,,,
CVE-2018-1000300,6,6,100.00%,,,
CVE-2023-46219,3,6,50.00%,,,8.5.0;8.7.1;8.6.0
CVE-2016-8621,6,6,100.00%,,,
CVE-2018-0500,5,6,83.33%,,,7.62.0
CVE-2013-0249,3,3,100.00%,,,
CVE-2014-0015,5,6,83.33%,,,7.36.0
CVE-2020-8169,6,6,100.00%,,,
CVE-2017-8817,5,6,83.33%,7.59.0,,
CVE-2021-22898,6,6,100.00%,,,
CVE-2019-5482,3,6,50.00%,,7.65.3;7.65.2;7.65.1,
CVE-2016-8624,6,6,100.00%,,,
CVE-2016-8618,6,6,100.00%,,,
CVE-2023-46218,6,6,100.00%,,,
CVE-2016-8617,6,6,100.00%,,,
CVE-2017-1000101,5,6,83.33%,,7.55.0,
CVE-2016-9594,4,6,66.67%,7.51.0;7.50.3,,
CVE-2018-1000122,6,6,100.00%,,,
CVE-2018-16842,6,6,100.00%,,,
CVE-2022-42916,4,6,66.67%,,,7.88.0;7.87.0
CVE-2022-42915,4,6,66.67%,7.88.0;7.87.0,,
CVE-2020-8284,1,6,16.67%,7.73.0;7.75.0;7.76.0;7.71.1;7.72.0,,
CVE-2020-8177,5,6,83.33%,,,7.72.0
CVE-2019-5435,6,6,100.00%,,,
CVE-2018-1000007,0,6,0.00%,7.56.0;7.56.1;7.58.0;7.57.0,,7.60.0;7.59.0
CVE-2018-1000120,1,6,16.67%,7.60.0;7.58.0;7.56.1;7.61.0;7.57.0,,
CVE-2017-8818,5,5,100.00%,,,
CVE-2017-8816,6,6,100.00%,,,
CVE-2016-8625,0,6,0.00%,7.52.0;7.51.0;7.50.2;7.50.3;7.52.1;7.50.1,,
CVE-2016-8623,0,6,0.00%,7.52.0;7.51.0;7.50.2;7.50.3;7.52.1;7.50.1,,
