cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2014-8484,4,4,3,1,0,0,,,,
CVE-2014-8485,3,4,2,1,0,1,,,,2.26
CVE-2014-8738,4,4,3,1,0,0,,,,
CVE-2017-7299,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-7303,3,4,3,0,1,0,,,2.28,
CVE-2017-7304,3,4,3,0,1,0,,,2.28,
CVE-2017-6965,4,4,3,1,0,0,,,,
CVE-2017-6966,4,4,3,1,0,0,,,,
CVE-2017-7209,4,4,3,1,0,0,,,,
CVE-2017-6969,4,4,3,1,0,0,,,,
CVE-2017-9038,4,4,3,1,0,0,,,,
CVE-2017-9039,3,4,3,0,1,0,,,2.28,
CVE-2017-9040,3,4,2,1,0,1,,,,2.30
CVE-2017-9043,4,4,3,0,0,0,,,,
CVE-2017-8392,3,4,3,0,1,0,,,2.28,
CVE-2017-8394,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8395,4,4,3,1,0,0,,,,
CVE-2017-8397,3,4,2,1,0,1,,,,2.30
CVE-2017-8398,4,4,3,1,0,0,,,,
CVE-2017-8396,4,4,0,0,0,0,,,,
CVE-2017-8421,4,4,3,1,0,0,,,,
CVE-2017-9954,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9955,0,4,0,0,1,3,,2.28;2.29;2.29.1;2.30,2.28,2.29;2.29.1;2.30
CVE-2017-13710,4,4,3,1,0,0,,,,
CVE-2017-12967,4,4,3,1,0,0,,,,
CVE-2017-13757,3,4,2,1,0,1,,,,2.29.1
CVE-2017-14129,4,4,3,1,0,0,,,,
CVE-2017-12799,4,4,3,1,0,0,,,,
CVE-2017-14128,1,4,0,1,0,3,,,,2.30;2.29.1;2.31
CVE-2017-14130,4,4,3,1,0,0,,,,
CVE-2017-12448,6,6,3,3,0,0,,,,
CVE-2017-14529,4,4,3,1,0,0,,,,
CVE-2017-14745,4,4,2,0,0,0,,,,
CVE-2017-14729,1,4,1,0,1,2,,,2.29,2.30;2.31
CVE-2017-14974,0,4,0,0,0,0,,2.30;2.29;2.29.1;2.31,,
CVE-2017-14930,3,3,2,1,0,0,,,,
CVE-2017-14938,3,3,2,1,0,0,,,,
CVE-2017-14939,3,3,2,1,0,0,,,,
CVE-2017-14940,2,3,1,1,0,1,,,,2.30
CVE-2017-15021,2,3,1,1,0,0,,2.31,,
CVE-2017-15024,3,3,2,1,0,0,,,,
CVE-2017-15025,3,4,3,0,1,0,,,2.29,
CVE-2017-15020,4,4,3,1,0,0,,,,
CVE-2017-15022,4,4,3,1,0,0,,,,
CVE-2017-15023,4,4,3,1,0,0,,,,
CVE-2017-14932,4,4,3,1,0,0,,,,
CVE-2017-14933,4,4,3,1,0,0,,,,
CVE-2017-15938,4,4,3,1,0,0,,,,
CVE-2017-15939,4,4,3,1,0,0,,,,
CVE-2017-14934,1,4,0,1,0,3,,,,2.31.1;2.31;2.30
CVE-2017-15225,4,4,3,1,0,0,,,,
CVE-2017-16829,4,4,3,1,0,0,,,,
CVE-2017-15996,4,4,3,1,0,0,,,,
CVE-2017-16830,4,4,3,1,0,0,,,,
CVE-2017-16828,4,4,0,0,0,0,,,,
CVE-2017-16831,4,4,3,1,0,0,,,,
CVE-2017-17080,4,4,3,1,0,0,,,,
CVE-2017-17124,4,4,3,1,0,0,,,,
CVE-2017-17122,4,4,3,1,0,0,,,,
CVE-2017-17126,1,4,0,1,0,3,,,,2.31.1;2.31;2.30
CVE-2018-7208,4,4,3,1,0,0,,,,
CVE-2018-6543,3,4,2,1,0,1,,,,2.32
CVE-2018-6759,4,4,3,1,0,0,,,,
CVE-2018-6872,4,4,3,1,0,0,,,,
CVE-2018-7570,4,4,3,1,0,0,,,,
CVE-2018-7568,4,4,3,1,0,0,,,,
CVE-2018-7569,4,4,3,1,0,0,,,,
CVE-2018-7643,4,4,3,1,0,0,,,,
CVE-2018-10372,4,4,3,1,0,0,,,,
CVE-2018-10373,4,4,3,1,0,0,,,,
CVE-2018-8945,4,4,3,1,0,0,,,,
CVE-2018-17360,4,4,3,1,0,0,,,,
CVE-2018-18605,4,4,3,1,0,0,,,,
CVE-2018-18606,4,4,3,1,0,0,,,,
CVE-2018-18607,4,4,3,1,0,0,,,,
CVE-2018-19932,3,6,0,3,0,3,,,,2.32;2.34;2.33.1
CVE-2018-20002,4,4,3,1,0,0,,,,
CVE-2018-1000876,6,6,3,3,0,0,,,,
CVE-2018-20651,4,4,3,1,0,0,,,,
CVE-2018-20671,6,6,3,3,0,0,,,,
CVE-2019-17451,0,4,0,0,0,0,,2.35;2.32;2.34;2.33.1,,
CVE-2020-19724,6,6,3,3,0,0,,,,
CVE-2020-16590,0,4,0,0,0,0,,2.35;2.35.2;2.35.1;2.36.1,,
CVE-2020-16591,3,4,3,0,1,0,,,2.35,
CVE-2020-16593,1,4,0,1,0,3,,,,2.35.2;2.35.1;2.36.1
CVE-2020-16599,3,4,3,0,1,0,,,2.35,
CVE-2020-35448,3,3,2,1,0,0,,,,
CVE-2021-20294,5,5,3,2,0,0,,,,
CVE-2021-45078,6,6,2,3,0,0,,,,
CVE-2022-38533,6,6,0,0,0,0,,,,
CVE-2023-25586,4,4,3,0,0,0,,,,
CVE-2022-48063,6,6,2,3,0,0,,,,
