cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2020-20446,4,4,3,1,0,0,,,,
CVE-2020-20448,1,4,0,1,0,3,,,,4.0.5;3.4.7;4.2.2
CVE-2020-20453,0,4,0,0,0,0,,4.1.7;3.4.9;4.2;4.2.5,,
CVE-2020-20896,0,4,0,0,0,0,,4.1.9;4.2.6;4.3;4.2.1,,
CVE-2020-20898,1,2,0,1,0,0,,4.3,,
CVE-2020-21697,0,3,0,0,0,0,,4.3.3;4.4;4.2,,
CVE-2020-22015,0,2,0,0,0,0,,4.2;4.2.5,,
CVE-2020-22017,1,3,0,1,0,0,,4.3;4.1.8,,
CVE-2020-22019,4,4,3,1,0,0,,,,
CVE-2020-22021,3,4,2,1,0,0,,3.4.9,,
CVE-2020-22024,1,2,0,1,0,0,,4.3,,
CVE-2020-22029,1,3,0,1,0,0,,4.3;4.1.8,,
CVE-2020-22037,0,4,0,0,0,0,,4.1.7;3.4.9;4.2;4.2.5,,
CVE-2020-22038,1,2,1,0,0,0,,4.2,,
CVE-2020-22039,1,2,0,1,0,0,,4.3,,
CVE-2020-22041,1,4,0,1,0,3,,,,4.1.10;4.2.7;4.3
CVE-2020-22042,0,3,0,0,1,1,,4.3.3,4.2,4.4
CVE-2020-22043,1,2,0,1,0,0,,4.3,,
CVE-2020-22044,1,4,0,1,0,3,,,,4.1.10;4.2.7;4.3
CVE-2020-22046,2,4,1,1,0,0,,4.1.10;4.3,,
CVE-2020-24020,0,1,0,0,0,0,,4.2.3,,
CVE-2021-38291,5,6,2,3,0,0,,3.2.16,,
CVE-2022-1475,4,6,3,1,2,0,,,4.2.6;4.3.4,
CVE-2020-22020,1,4,0,1,0,3,,,,4.2.7;4.1.8;4.3
CVE-2020-22022,1,4,0,1,0,3,,,,4.2.7;4.1.8;4.3
CVE-2020-22023,1,4,0,1,0,3,,,,4.2.7;4.1.8;4.3
CVE-2020-22026,1,4,0,1,0,3,,,,4.2.7;4.1.8;4.3
CVE-2020-22027,1,4,0,1,0,3,,,,4.2.6;4.3;4.1.8
CVE-2020-22030,1,3,0,1,0,2,,,,4.3;4.1.8
CVE-2020-22031,1,4,0,1,0,3,,,,4.2.7;4.1.8;4.3
CVE-2020-22034,1,3,0,1,0,2,,,,4.3;4.1.8
CVE-2020-22035,1,3,0,1,0,2,,,,4.3;4.1.8
CVE-2020-22036,1,4,0,1,0,3,,,,4.2.7;4.1.8;4.3
CVE-2020-22048,1,4,0,1,0,3,,,,4.2.7;4.1.10;3.4.11
CVE-2020-23906,1,4,0,1,0,3,,,,4.3.1;4.4;4.2.5
CVE-2020-35965,2,5,0,2,0,3,,,,4.3.2;4.4;4.2.5
