cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2018-20847,0,6,0,0,0,0,,2.3.1;2.0;2.5.0;2.4.0;2.1;2.0.1,,
CVE-2015-8871,6,6,3,3,0,0,,,,
CVE-2016-4797,6,6,3,0,0,0,,,,
CVE-2016-7163,4,6,3,1,2,0,,,2.1.2;2.0,
CVE-2016-10506,3,6,0,3,0,3,,,,2.3.1;2.2.0;2.3.0
CVE-2016-10504,4,6,1,2,0,0,,2.3.1;2.3.0,,
CVE-2017-14151,3,4,2,1,0,0,,2.4.0,,
CVE-2017-14152,4,4,3,1,0,0,,,,
CVE-2017-14039,1,6,0,1,0,3,,2.1.1;2.1.2,,2.3.1;2.4.0;2.3.0
CVE-2017-14164,6,6,3,3,0,0,,,,
