cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2018-20847,opj_get_all_encoding_parameters,0,0,0,,,,,2.0;2.1;2.0.1;2.3.1;2.4.0;2.5.0,,,6
CVE-2018-20847,opj_tcd_init_tile,0,0,0,,,,2.3.1;2.4.0;2.5.0,,,2.0;2.1;2.0.1,6
CVE-2015-8871,opj_j2k_write_mco,6,3,3,,,,,,,,6
CVE-2016-4797,opj_tcd_init_tile,3,3,0,,,,,,,2.0;2.1;2.0.1,6
CVE-2016-7163,opj_pi_create_decode,4,3,1,2.1.2;2.0,,,,,,,6
CVE-2016-10506,opj_pi_next_pcrl,3,0,3,,2.2.0;2.3.0;2.3.1,,,,,,6
CVE-2016-10506,opj_pi_next_cprl,3,0,3,,2.2.0;2.3.0;2.3.1,,,,,,6
CVE-2016-10506,opj_pi_next_rpcl,6,3,3,,,,,,,,6
CVE-2016-10504,opj_tcd_code_block_enc_allocate_data,3,1,2,,,,,2.3.0;2.3.1,,2.0,6
CVE-2017-14151,opj_tcd_code_block_enc_allocate_data,3,2,1,,,,,2.4.0,,,4
CVE-2017-14152,opj_j2k_set_cinema_parameters,4,3,1,,,,,,,,4
CVE-2017-14039,opj_j2k_write_sot,3,0,3,,2.3.0;2.3.1;2.4.0,,,,2.2.0;2.1.2;2.1.1;2.3.0;2.3.1;2.4.0,,6
CVE-2017-14039,opj_j2k_write_sod,3,0,3,,2.3.0;2.3.1;2.4.0,,,,,,6
CVE-2017-14039,opj_t2_encode_packet,2,1,1,,2.3.1;2.4.0,,2.1.2;2.1.1,,,,6
CVE-2017-14164,opj_j2k_write_sot,6,3,3,,,,,,,,6
CVE-2017-14164,opj_j2k_write_first_tile_part,6,3,3,,,,,,,,6
CVE-2017-14164,opj_j2k_write_tlm,0,0,0,,,,,2.2.0;2.1.2;2.1.1;2.3.0;2.3.1;2.4.0,,,6
CVE-2017-14164,opj_j2k_write_all_tile_parts,6,3,3,,,,,,,,6
