cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2012-5134,0,0,0,0,0,0,,,,
CVE-2013-0338,0,6,0,0,0,0,,2.9.2-rc2;2.8.0-rc2;2.8.0;2.9.2-rc1;2.9.1;2.9.0,,
CVE-2013-0339,0,6,0,0,0,0,,2.9.2-rc2;2.8.0;2.9.2-rc1;2.9.2;2.9.0-rc2;2.9.0,,
CVE-2013-1969,0,4,0,0,0,0,,2.9.2-rc2;2.9.2-rc1;2.9.1;2.9.0,,
CVE-2014-3660,0,6,0,0,0,0,,2.9.5-rc1;2.9.4;2.9.0-rc2;2.9.1;2.9.3;2.9.0,,
CVE-2015-5312,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.2;2.9.1;2.9.0,,
CVE-2015-7497,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.2;2.9.1;2.9.0,,
CVE-2015-7498,0,6,0,0,0,0,,2.9.5-rc1;2.9.4;2.9.2;2.9.1;2.9.3;2.9.0,,
CVE-2015-7499,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.2;2.9.1;2.9.0,,
CVE-2015-7500,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.2;2.9.1;2.9.0,,
CVE-2015-7941,0,4,0,0,0,0,,2.9.5-rc1;2.9.2;2.9.4;2.9.3,,
CVE-2015-8241,0,6,0,0,0,0,,2.9.5-rc1;2.9.4;2.9.2;2.9.1;2.9.3;2.9.0,,
CVE-2015-8242,0,0,0,0,0,0,,,,
CVE-2015-8317,0,6,0,0,0,0,,2.9.5-rc1;2.9.4;2.9.2;2.9.1;2.9.3;2.9.0,,
CVE-2015-8710,0,6,0,0,0,0,,2.9.5-rc1;2.9.2-rc2;2.9.4;2.9.2-rc1;2.9.2;2.9.3,,
CVE-2016-1762,0,6,0,0,0,0,,2.9.5-rc1;2.9.2-rc2;2.9.5-rc2;2.9.4;2.9.2;2.9.3,,
CVE-2016-1833,0,6,0,0,0,0,,2.9.5-rc1;2.9.2-rc2;2.9.5-rc2;2.9.5;2.9.2;2.9.3,,
CVE-2016-1834,0,6,0,0,3,0,,2.9.5-rc1;2.9.2-rc2;2.9.5-rc2;2.9.4;2.9.2;2.9.3,2.9.2-rc2;2.9.3;2.9.2,
CVE-2016-1836,0,0,0,0,0,0,,,,
CVE-2016-1837,0,6,0,0,0,0,,2.9.5-rc1;2.9.2-rc2;2.9.5-rc2;2.9.5;2.9.2;2.9.3,,
CVE-2016-1838,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.5;2.9.2;2.9.3,,
CVE-2016-1840,0,0,0,0,0,0,,,,
CVE-2016-4449,0,6,0,0,0,0,,2.9.5-rc1;2.9.2-rc2;2.9.5-rc2;2.9.5;2.9.2;2.9.3,,
CVE-2016-4483,0,6,0,0,0,0,,2.9.5-rc1;2.9.2-rc2;2.9.5-rc2;2.9.5;2.9.2;2.9.3,,
CVE-2016-4658,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.5;2.9.2;2.9.3,,
CVE-2017-16931,0,0,0,0,0,0,,,,
CVE-2017-16932,0,6,0,0,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.5;2.9.2;2.9.3,,2.9.5-rc1;2.9.5-rc2;2.9.5
CVE-2017-5130,0,6,0,0,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.5;2.9.2;2.9.3,,2.9.5-rc1;2.9.5-rc2;2.9.5
CVE-2017-7375,0,6,0,0,0,0,,2.9.5-rc1;2.9.5-rc2;2.9.4;2.9.5;2.9.2;2.9.3,,
CVE-2018-14404,0,0,0,0,0,0,,,,
CVE-2019-19956,0,6,0,0,0,0,,2.9.11;2.9.10-rc1;2.9.9-rc2;2.9.10;2.9.9;2.9.9-rc1,,
CVE-2020-7595,4,4,0,0,0,0,,,,
CVE-2022-23308,1,6,0,0,0,0,,2.9.12;2.9.11;2.9.13;2.9.14;2.9.10,,
CVE-2022-29824,0,6,0,0,0,0,,2.9.12;2.9.11;2.10.1;2.10.0;2.10.2;2.9.13,,
CVE-2022-40303,0,6,0,0,0,0,,2.10.2;2.10.1;2.10.0;2.11.0;2.11.1;2.10.4,,
CVE-2022-40304,0,6,0,0,0,0,,2.10.2;2.10.1;2.10.0;2.11.0;2.11.1;2.10.4,,
CVE-2023-28484,0,6,0,0,0,0,,2.10.2;2.10.1;2.11.0;2.10.3;2.11.2;2.11.1,,
