cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2014-3572,0,5,0,0,0,0,,OpenSSL_0_9_8zc;OpenSSL_1_0_1k;OpenSSL_1_0_0o;OpenSSL_1_0_1j;OpenSSL_0_9_8zd,,
CVE-2015-0205,1,3,0,1,0,0,,OpenSSL_0_9_8ze;OpenSSL_1_0_1j,,
CVE-2015-0206,0,3,0,0,0,1,,OpenSSL_0_9_8ze;OpenSSL_1_0_0o;OpenSSL_1_0_1j,,OpenSSL_0_9_8ze
CVE-2015-0209,2,2,1,1,0,0,,,,
CVE-2015-0288,2,2,1,1,0,0,,,,
CVE-2015-1791,1,3,0,1,0,2,,,,OpenSSL_1_0_1n;OpenSSL_1_0_0s
CVE-2015-1788,0,2,0,0,0,0,,OpenSSL_0_9_8zf;OpenSSL_1_0_2d,,
CVE-2015-1789,1,2,1,0,0,0,,OpenSSL_0_9_8zf,,
CVE-2015-1790,0,2,0,0,0,0,,OpenSSL_0_9_8zf;OpenSSL_1_0_2d,,
CVE-2015-3196,1,5,1,0,0,0,,OpenSSL_1_0_1n;OpenSSL_1_0_1p;OpenSSL_1_0_0s;OpenSSL_1_0_2e,,
CVE-2015-1793,0,4,0,0,0,0,,OpenSSL_1_0_2d;OpenSSL_1_0_1n;OpenSSL_1_0_1p;OpenSSL_1_0_2e,,
CVE-2015-3194,3,3,1,2,0,0,,,,
CVE-2015-3195,1,4,1,0,0,0,,OpenSSL_1_0_2d;OpenSSL_1_0_1r;OpenSSL_1_0_1p,,
CVE-2015-3197,3,3,0,3,0,0,,,,
CVE-2016-0705,6,6,3,3,0,0,,,,
CVE-2016-0798,3,6,0,3,0,3,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_2h
CVE-2016-0799,1,6,0,1,0,3,,OpenSSL_1_0_1s;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_2h
CVE-2016-2842,1,6,0,1,0,3,,OpenSSL_1_0_1s;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_2h
CVE-2016-0797,6,6,3,3,0,0,,,,
CVE-2016-0702,3,6,0,0,0,0,,OpenSSL_1_0_1t;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,
CVE-2016-2109,3,6,0,3,0,3,,,,OpenSSL_1_0_2h;OpenSSL_1_0_2i;OpenSSL_1_0_1t
CVE-2016-2105,6,6,3,3,0,0,,,,
CVE-2016-2106,3,6,0,3,0,3,,,,OpenSSL_1_0_2j;OpenSSL_1_0_2i;OpenSSL_1_0_1u
CVE-2016-2107,6,6,3,3,0,0,,,,
CVE-2016-2108,2,6,0,2,1,3,,,OpenSSL_0_9_8zh,OpenSSL_1_0_2j;OpenSSL_1_0_2i;OpenSSL_1_0_1u
CVE-2016-2176,3,6,3,0,0,0,,OpenSSL_1_0_1s;OpenSSL_1_0_2f;OpenSSL_1_0_2g,,
CVE-2016-2177,2,6,0,2,0,0,,OpenSSL_1_0_2j;OpenSSL_1_0_2i;OpenSSL_1_0_1t;OpenSSL_1_0_1u,,
CVE-2016-6304,3,6,1,2,0,0,,OpenSSL_1_0_2h;OpenSSL_1_0_2j;OpenSSL_1_0_2i,,
CVE-2016-6306,5,6,2,3,0,1,,,,OpenSSL_1_0_2j
CVE-2016-7052,1,1,0,1,0,0,,,,
CVE-2018-0737,3,6,1,2,0,1,,OpenSSL_1_0_2n;OpenSSL_1_1_1,,OpenSSL_1_0_2p
CVE-2018-0732,3,3,1,2,0,0,,,,
CVE-2019-1559,4,4,1,3,0,0,,,,
CVE-2019-1543,5,5,2,3,0,0,,,,
CVE-2019-1547,6,6,0,0,0,0,,,,
CVE-2019-1563,2,6,0,2,0,3,,OpenSSL_1_0_2s;OpenSSL_1_0_2u,,OpenSSL_1_1_1f;OpenSSL_1_1_1e;OpenSSL_1_0_2u
CVE-2020-1967,6,6,3,3,0,0,,,,
CVE-2021-23840,6,6,3,3,0,0,,,,
CVE-2021-4044,3,6,0,3,0,3,,,,openssl-3.0.3;OpenSSL_1_1_1n;openssl-3.0.2
CVE-2022-1473,5,5,2,3,0,0,,,,
CVE-2022-1343,5,5,2,3,0,0,,,,
CVE-2022-2274,2,2,1,1,0,0,,,,
CVE-2022-3358,0,5,0,0,0,0,,openssl-3.0.6;openssl-3.0.5;openssl-3.0.3;openssl-3.0.7;openssl-3.0.4,,
CVE-2022-3602,6,6,3,3,0,0,,,,
CVE-2022-3786,3,6,0,3,0,3,,,,openssl-3.0.8;openssl-3.1.0-beta1;openssl-3.1.0-alpha1
CVE-2022-3996,5,5,2,3,0,0,,,,
CVE-2022-4203,3,6,0,3,0,3,,,,openssl-3.0.8;openssl-3.1.0;OpenSSL_1_1_1t
CVE-2023-0215,3,6,2,1,0,0,,OpenSSL_1_1_1r;OpenSSL_1_1_1s;OpenSSL_1_1_1t,,
CVE-2023-0216,3,6,0,3,0,3,,,,openssl-3.0.8;openssl-3.1.0;OpenSSL_1_1_1t
CVE-2023-0401,1,6,1,0,0,0,,openssl-3.1.0;openssl-3.0.6;openssl-3.0.5;openssl-3.0.7;OpenSSL_1_1_1t,,
CVE-2023-2650,2,4,0,2,0,2,,,,openssl-3.0.9;openssl-3.1.1
CVE-2023-2975,5,5,2,3,0,0,,,,
CVE-2023-5363,0,6,0,0,0,0,,openssl-3.1.3;openssl-3.0.10;openssl-3.0.11;openssl-3.2.0-beta1;openssl-3.0.13;openssl-3.2.0,,
CVE-2023-5678,1,6,0,1,0,0,,openssl-3.1.5;openssl-3.2.1;openssl-3.1.3;openssl-3.1.4;openssl-3.2.0,,
CVE-2024-0727,2,6,1,1,0,0,,openssl-3.1.4;openssl-3.1.5;openssl-3.0.12;openssl-3.0.13,,
