cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2016-6153,0,5,0,0,0,0,,3.12.2;3.14.1;3.14.2;3.13.0;3.12.1,,
CVE-2018-20346,6,6,3,3,0,0,,,,
CVE-2019-19242,0,4,0,0,0,0,,3.30.1;3.32.0;3.31.0;3.31.1,,
CVE-2019-19244,0,4,0,0,0,0,,3.30.1;3.32.0;3.31.0;3.31.1,,
CVE-2019-19317,2,4,2,0,0,1,,3.30.1,,3.32.0
CVE-2019-19645,6,6,3,3,0,0,,,,
CVE-2019-19646,0,6,0,0,0,0,,3.30.1;3.31.0;3.32.0;3.31.1;3.29.0;3.30.0,,
CVE-2019-19880,1,4,0,1,0,3,,,,3.32.0;3.31.0;3.31.1
CVE-2019-19923,2,4,1,1,0,2,,,,3.31.0;3.31.1
CVE-2019-19924,3,4,3,0,0,0,,3.30.1,,
CVE-2019-19925,2,4,1,1,0,2,,,,3.32.0;3.31.0
CVE-2019-19926,0,4,0,0,0,0,,3.30.1;3.32.0;3.31.0;3.31.1,,
CVE-2019-19959,0,4,0,0,0,1,,3.30.1;3.32.0;3.31.0;3.31.1,,3.31.0
CVE-2019-20218,4,4,3,1,0,0,,,,
CVE-2019-8457,6,6,3,3,0,0,,,,
CVE-2020-11655,6,6,3,3,0,0,,,,
CVE-2020-11656,1,6,0,0,2,3,,,3.30.1;3.31.0,3.32.2;3.32.0;3.32.1
CVE-2020-13434,3,6,0,3,0,3,,,,3.32.2;3.32.3;3.32.1
CVE-2020-13630,3,6,1,2,0,2,,3.30.1,,3.32.0;3.32.1
CVE-2020-13632,6,6,3,3,0,0,,,,
CVE-2020-15358,0,6,0,0,2,1,,3.33.0;3.34.0;3.32.0;3.32.2;3.32.1;3.32.3,3.32.0;3.32.1,3.32.3
CVE-2020-35525,4,4,3,1,0,0,,,,
CVE-2020-35527,4,4,3,1,0,0,,,,
CVE-2021-31239,3,3,2,1,0,0,,,,
CVE-2021-36690,1,4,0,1,0,3,,,,3.37.0;3.37.2;3.37.1
CVE-2022-46908,3,6,0,3,0,3,,,,3.41.0;3.40.1;3.41.1
CVE-2023-7104,6,6,3,3,0,0,,,,
