cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2015-8958,3,3,100.00%,,,
CVE-2015-8900,3,6,50.00%,,7.0.1-2;7.0.1-1;7.0.1-0,
CVE-2015-8895,0,6,0.00%,,7.0.1-2;7.0.1-1;7.0.1-0,7.0.5-2;7.0.5-3;7.0.5-1
CVE-2015-8896,0,6,0.00%,,7.0.1-2;7.0.1-1;7.0.1-0,7.1.0-1;7.1.0-0;7.1.0-2
CVE-2016-7515,3,3,100.00%,,,
CVE-2016-7514,3,4,75.00%,5.3.8.2,,
CVE-2016-7534,0,3,0.00%,,,7.0.1-1;7.0.1-2;7.0.1-3
CVE-2016-10065,0,3,0.00%,,,7.0.1-1;7.0.1-2;7.0.1-3
CVE-2016-5689,6,6,100.00%,,,
CVE-2016-5690,6,6,100.00%,,,
CVE-2016-5691,6,6,100.00%,,,
CVE-2016-10060,0,6,0.00%,7.0.11-1;7.0.10-0;7.0.1-1;7.0.1-0;7.0.11-2;7.0.11-0,,
CVE-2016-6491,6,6,100.00%,,,
CVE-2016-7101,3,6,50.00%,,,7.1.0-1;7.1.0-0;7.1.0-2
CVE-2016-9556,3,4,75.00%,,7.0.3-8,
CVE-2017-9098,6,6,100.00%,,,
CVE-2017-9499,3,4,75.00%,,7.0.5-7,
CVE-2017-11523,6,6,100.00%,,,
CVE-2017-15277,4,4,100.00%,,,
CVE-2017-14174,0,4,0.00%,7.0.7-3;7.0.7-1;7.0.7-2,7.0.7-0,
CVE-2017-15032,4,4,100.00%,,,
CVE-2017-15033,4,4,100.00%,,,
CVE-2019-12974,3,4,75.00%,,7.0.8-34,
CVE-2019-12979,3,4,75.00%,,7.0.8-34,
CVE-2019-10131,6,6,100.00%,,,
CVE-2018-16643,1,4,25.00%,,,7.0.8-6;7.0.8-7;7.0.8-8
CVE-2018-16644,0,4,0.00%,,7.0.8-11,7.0.8-12;7.0.8-14;7.0.8-13
CVE-2018-16645,1,4,25.00%,,7.0.8-11,7.0.8-14;7.0.8-13
CVE-2018-20467,6,6,100.00%,,,
CVE-2019-12978,1,4,25.00%,,,7.0.8-37;7.0.8-36;7.0.8-35
CVE-2019-7175,0,6,0.00%,7.1.0-1;7.0.8-24;7.0.8-23;7.1.0-0;7.1.0-2;7.0.8-22,,
CVE-2019-7395,6,6,100.00%,,,
CVE-2019-7396,6,6,100.00%,,,
CVE-2019-7398,6,6,100.00%,,,
CVE-2019-11470,3,3,100.00%,,,
CVE-2019-10714,6,6,100.00%,,,
CVE-2019-12975,4,4,100.00%,,,
CVE-2019-12976,4,4,100.00%,,,
CVE-2019-10649,3,3,100.00%,,,
CVE-2019-10650,3,3,100.00%,,,
CVE-2019-16711,0,4,0.00%,7.0.8-42;7.0.8-43;7.0.8-41,7.0.8-40,
CVE-2019-11472,0,3,0.00%,,,7.0.8-42;7.0.8-43;7.0.8-41
CVE-2019-14981,0,6,0.00%,7.1.0-1;7.0.8-39;7.0.8-38;7.1.0-0;7.1.0-2;7.0.8-40,,
CVE-2019-15139,0,3,0.00%,7.0.8-44,,7.0.8-42;7.0.8-43
CVE-2019-19949,6,6,100.00%,,,
CVE-2019-13133,6,6,100.00%,,,
CVE-2019-13134,6,6,100.00%,,,
CVE-2019-13136,6,6,100.00%,,,
CVE-2019-13137,6,6,100.00%,,,
CVE-2019-13307,0,3,0.00%,7.0.8-51;7.0.8-50;7.0.8-53,,
CVE-2019-17541,1,6,16.67%,7.1.0-1;7.1.0-0;7.1.0-2;7.0.8-52;7.0.8-53,,
CVE-2019-17547,6,6,100.00%,,,
CVE-2020-27750,0,6,0.00%,7.1.0-1;7.1.0-0;7.0.8-66;7.0.8-65;7.1.0-2;7.0.8-67,,
CVE-2020-27762,6,6,100.00%,,,
CVE-2020-25664,6,6,100.00%,,,
CVE-2020-25665,6,6,100.00%,,,
CVE-2020-25674,3,6,50.00%,7.1.0-1;7.1.0-0;7.1.0-2,,
CVE-2020-27760,2,6,33.33%,7.1.0-1;7.1.0-0;7.0.8-66;7.1.0-2,,
CVE-2020-27763,3,6,50.00%,7.1.0-1;7.1.0-0;7.1.0-2,,
CVE-2020-27758,6,6,100.00%,,,
CVE-2020-27770,3,6,50.00%,,,7.1.0-1;7.1.0-0;7.1.0-2
CVE-2020-25663,0,6,0.00%,7.1.0-1;7.0.8-54;7.1.0-0;7.0.8-55;7.1.0-2;7.0.8-53,,
CVE-2020-27756,6,6,100.00%,,,
CVE-2020-27751,6,6,100.00%,,,
CVE-2020-27761,1,6,16.67%,7.1.0-1;7.1.0-0;7.0.8-66;7.1.0-2;7.0.8-67,,
CVE-2020-25675,0,6,0.00%,7.1.0-1;7.0.8-68;7.1.0-0;7.0.8-66;7.1.0-2;7.0.8-67,,
CVE-2020-25676,0,6,0.00%,7.0.8-68;7.0.8-66;7.0.8-67,,7.1.0-1;7.1.0-0;7.1.0-2
CVE-2020-27765,0,6,0.00%,7.1.0-1;7.0.8-68;7.1.0-0;7.0.8-66;7.1.0-2;7.0.8-67,,
CVE-2020-27775,6,6,100.00%,,,
CVE-2020-27774,3,6,50.00%,,,7.1.0-1;7.1.0-0;7.1.0-2
CVE-2020-27769,0,6,0.00%,7.1.0-1;7.0.8-68;7.1.0-0;7.0.8-66;7.1.0-2;7.0.8-67,,
CVE-2020-25666,6,6,100.00%,,,
CVE-2020-25667,0,6,0.00%,7.1.0-1;7.0.8-68;7.1.0-0;7.0.8-66;7.1.0-2;7.0.8-67,,
CVE-2020-27772,3,6,50.00%,,,7.1.0-1;7.1.0-0;7.1.0-2
CVE-2020-27752,6,6,100.00%,,,
CVE-2020-27753,6,6,100.00%,,,
CVE-2020-27755,6,6,100.00%,,,
CVE-2019-18853,6,6,100.00%,,,
CVE-2020-19667,3,4,75.00%,,7.0.10-7,
CVE-2021-3596,6,6,100.00%,,,
CVE-2020-27560,4,4,100.00%,,,
CVE-2020-27829,6,6,100.00%,,,
CVE-2022-48541,4,4,100.00%,,,
CVE-2021-20176,6,6,100.00%,,,
CVE-2021-20244,6,6,100.00%,,,
CVE-2021-20246,6,6,100.00%,,,
CVE-2021-20311,0,6,0.00%,7.0.10-60;7.0.10-62;7.0.10-61,,7.0.11-3;7.0.11-4;7.0.11-2
CVE-2021-20312,0,6,0.00%,7.0.10-60;7.0.10-62;7.0.10-61,,7.0.11-3;7.0.11-4;7.0.11-2
CVE-2021-20313,0,6,0.00%,7.0.10-60;7.0.10-62;7.0.10-61,,7.0.11-3;7.0.11-4;7.0.11-2
CVE-2021-20309,4,6,66.67%,,7.0.10-60;7.0.10-61,
CVE-2021-20310,6,6,100.00%,,,
CVE-2021-3574,4,4,100.00%,,,
CVE-2021-3610,6,6,100.00%,,,
CVE-2023-34153,0,6,0.00%,7.1.1-13;7.1.1-12;7.1.1-11;7.1.0-0,7.1.0-1;7.1.0-2,
CVE-2023-3195,2,5,40.00%,,,7.1.1-2;7.1.1-4;7.1.1-3
CVE-2021-3962,3,4,75.00%,,7.1.0-14,
CVE-2022-0284,0,6,0.00%,7.1.0-21;7.1.0-19;7.1.0-17;7.1.0-18;7.1.0-22;7.1.0-20,,
CVE-2022-32545,4,6,66.67%,7.1.0-30;7.1.0-29,,
CVE-2022-1115,6,6,100.00%,,,
CVE-2022-32546,6,6,100.00%,,,
CVE-2022-28463,4,4,100.00%,,,
CVE-2022-32547,0,6,0.00%,7.1.0-32;7.1.0-30;7.1.0-29;7.1.0-31;7.1.0-27;7.1.0-28,,
CVE-2022-3213,6,6,100.00%,,,
CVE-2023-1289,3,6,50.00%,,,7.1.1-1;7.1.1-2;7.1.1-0
CVE-2023-1906,3,4,75.00%,,,7.1.1-6
CVE-2023-34474,1,6,16.67%,7.1.1-1;7.1.1-0;7.1.0-62,,7.1.1-12;7.1.1-11
CVE-2023-34475,1,6,16.67%,7.1.1-1;7.1.1-0;7.1.0-62,,7.1.1-12;7.1.1-11
CVE-2023-34151,0,6,0.00%,,7.1.1-1;7.1.1-0;7.1.1-10,7.1.1-13;7.1.1-12;7.1.1-11
CVE-2023-34152,3,6,50.00%,,,7.1.1-13;7.1.1-12;7.1.1-11
CVE-2023-3428,3,6,50.00%,,,7.1.1-13;7.1.1-15;7.1.1-14
CVE-2023-5341,0,6,0.00%,7.1.1-10;7.1.1-22;7.1.1-11;7.1.1-20;7.1.1-21;7.1.1-19,,
