CVE,funcname,succeed,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2012-5134,xmlParseAttValueComplex,3,,2.9.1;2.9.2-rc1;2.9.2-rc2,,,,,,6
CVE-2013-0338,xmlStringLenDecodeEntities__internal_alias,6,,,,,,,,6
CVE-2013-0338,xmlCtxtReset__internal_alias,6,,,,,,,,6
CVE-2013-0338,xmlParserEntityCheck,6,,,,,,,,6
CVE-2013-0338,xmlInitParserCtxt__internal_alias,6,,,,,,,,6
CVE-2013-0338,xmlParseReference__internal_alias,6,,,,,,,,6
CVE-2013-0338,xmlCreateEntityParserCtxtInternal,0,,,,,,2.9.0;2.8.0;2.8.0-rc2;2.9.1;2.9.2-rc1;2.9.2-rc2,,6
CVE-2013-0339,xmlParseReference__internal_alias,4,2.9.0-rc2;2.9.0,,,,,,,6
CVE-2013-1969,htmlParseChunk__internal_alias,3,2.9.0,,,,,,,4
CVE-2014-3660,xmlParseReference__internal_alias,3,,2.9.2;2.9.2-rc2;2.9.2-rc1,,,,,,6
CVE-2015-5312,xmlStringLenDecodeEntities__internal_alias,6,,,,,,,,6
CVE-2015-7497,xmlDictComputeFastQKey,6,,,,,,,,6
CVE-2015-7498,xmlParseXMLDecl__internal_alias,6,,,,,,,,6
CVE-2015-7498,xmlParseDocument__internal_alias,6,,,,,,,,6
CVE-2015-7498,xmlSwitchEncoding__internal_alias,6,,,,,,,,6
CVE-2015-7499,xmlCreatePushParserCtxt__internal_alias,0,,,,,,2.9.2;2.9.1;2.9.0;2.9.3;2.9.4-rc1;2.9.4-rc2,,6
CVE-2015-7500,xmlParseStartTag2,6,,,,,,,,6
CVE-2015-7941,xmlParseConditionalSections,4,,,,,,,,4
CVE-2015-8241,xmlParseMarkupDecl__internal_alias,6,,,,,,,,6
CVE-2015-8242,htmlParseTryOrFinish,6,,,,,,,,6
CVE-2015-8317,xmlParseEncodingDecl__internal_alias,6,,,,,,,,6
CVE-2015-8710,htmlParseComment,6,,,,,,,,6
CVE-2016-1762,xmlParseInternalSubset,6,,,,,,,,6
CVE-2016-1833,xmlNextChar__internal_alias,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-1834,xmlStrncatNew__internal_alias,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-1834,xmlStrncat__internal_alias,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-1836,spacePop,0,,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.4-rc2;2.9.4-rc1,,6
CVE-2016-1836,xmlParseNCNameComplex,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-1837,htmlNodeInfoPop,0,,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.4-rc2;2.9.4-rc1,,6
CVE-2016-1837,htmlParseAttValue,0,,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.4-rc2;2.9.4-rc1,,6
CVE-2016-1837,htmlParseSystemLiteral,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-1838,xmlParseEndTag2,5,2.9.4,,,,,,,6
CVE-2016-1840,xmlFAParseCharRange,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-4449,xmlStringLenDecodeEntities__internal_alias,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-4483,xmlBufAttrSerializeTxtContent,4,,2.9.4-rc2;2.9.4-rc1,,,,,,6
CVE-2016-4658,xmlXPtrNewCollapsedRange__internal_alias,6,,,,,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodeObject__internal_alias,6,,,,,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodes__internal_alias,6,,,,,,,,6
CVE-2016-4658,xmlXPtrNewRangePoints,0,,,2.9.4;2.9.4-rc2;2.9.4-rc1;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,6
CVE-2016-4658,xmlXPtrRangesEqual,0,,,,,,2.9.4;2.9.4-rc2;2.9.4-rc1;2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2016-4658,xmlXPtrNewRangePointNode__internal_alias,6,,,,,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodePoint__internal_alias,6,,,,,,,,6
CVE-2016-4658,xmlXPtrNewRange__internal_alias,6,,,,,,,,6
CVE-2017-16931,xmlGROW,0,,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2017-16931,xmlParseNameComplex,6,,,,,,,,6
CVE-2017-16932,xmlPushInput__internal_alias,6,,,,,,,,6
CVE-2017-16932,xmlParsePEReference__internal_alias,6,,,,,,,,6
CVE-2017-5130,xmlReallocLoc__internal_alias,6,,,,,,,,6
CVE-2017-5130,xmlMallocLoc__internal_alias,6,,,,,,,,6
CVE-2017-5130,xmlMemStrdupLoc__internal_alias,6,,,,,,,,6
CVE-2017-7375,xmlParsePEReference__internal_alias,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,,6
CVE-2018-14404,xmlXPathCompOpEval,6,,,,,,,,6
CVE-2019-19956,xmlParseBalancedChunkMemoryRecover__internal_alias,5,,2.9.11,,,,,,6
CVE-2020-7595,xmlStringLenDecodeEntities,0,,,2.9.10;2.9.11;2.9.12;2.9.13,,,,,4
CVE-2022-23308,xmlAddRef__internal_alias,5,,,,,,,2.10.0,6
CVE-2022-23308,xmlValidateAttributeValue2,0,,,,,,2.9.12;2.9.11;2.9.10;2.9.13;2.9.14;2.10.0,,6
CVE-2022-23308,xmlRemoveID__internal_alias,5,,,,,,,2.10.0,6
CVE-2022-23308,xmlAddID__internal_alias,5,,,,,,,2.10.0,6
CVE-2022-23308,xmlDumpNotationTable,5,,,,,,,2.10.0,6
CVE-2022-23308,xmlDumpNotationTable__internal_alias,0,,,,,,2.9.12;2.9.11;2.9.10;2.9.13;2.9.14,2.10.0,6
CVE-2022-23308,nodeVPop,0,,,,,,2.9.12;2.9.11;2.9.10;2.9.13;2.9.14;2.10.0,,6
CVE-2022-23308,xmlValidNormalizeAttributeValue__internal_alias,5,,,,,,,2.10.0,6
CVE-2022-29824,xmlBufAdd,6,,,,,,,,6
CVE-2022-29824,xmlBufIsEmpty,0,,,,,,2.9.13;2.9.12;2.9.11;2.9.14;2.10.0;2.10.1,,6
CVE-2022-29824,xmlBufferCat__internal_alias,0,,,,,,2.9.13;2.9.12;2.9.11;2.9.14,2.10.0;2.10.1,6
CVE-2022-29824,xmlBufferCreateSize__internal_alias,0,,,,,2.9.13;2.9.12;2.9.11;2.9.14,,2.10.0;2.10.1,6
CVE-2022-29824,xmlBufferCreateStatic__internal_alias,0,,,,,2.9.13;2.9.12;2.9.11;2.9.14,,2.10.0;2.10.1,6
CVE-2022-29824,xmlBufferResize__internal_alias,0,,,,,,2.9.13;2.9.12;2.9.11;2.9.14,2.10.0;2.10.1,6
CVE-2022-29824,xmlBufferAdd__internal_alias,0,,,,,2.9.13;2.9.12;2.9.11;2.9.14,,2.10.0;2.10.1,6
CVE-2022-29824,xmlBufferShrink__internal_alias,0,,,,,,2.9.13;2.9.12;2.9.11;2.9.14,2.10.0;2.10.1,6
CVE-2022-29824,xmlBufCreateSize,6,,,,,,,,6
CVE-2022-29824,xmlBufCat,0,,,,,,2.9.13;2.9.12;2.9.11;2.9.14;2.10.0;2.10.1,,6
CVE-2022-29824,xmlBufGrowInternal,6,,,,,,,,6
CVE-2022-29824,xmlBufResize,6,,,,,,,,6
CVE-2022-40303,xmlParseElementEnd,0,,,,,,2.10.2;2.10.1;2.10.0;2.10.3;2.10.4;2.11.0,,6
CVE-2022-40303,xmlParseCDSect,6,,,,,,,,6
CVE-2022-40303,xmlParseStringName,6,,,,,,,,6
CVE-2022-40303,xmlParseEntityValue,6,,,,,,,,6
CVE-2022-40303,xmlParseNCNameComplex,6,,,,,,,,6
CVE-2022-40303,xmlParseNameComplex,6,,,,,,,,6
CVE-2022-40303,xmlParseSystemLiteral,6,,,,,,,,6
CVE-2022-40303,xmlFatalErr,5,,,,,2.11.0,,,6
CVE-2022-40303,xmlParseAttValueInternal,6,,,,,,,,6
CVE-2022-40303,xmlParseAttValueComplex,6,,,,,,,,6
CVE-2022-40303,xmlParseNCName,6,,,,,,,,6
CVE-2022-40303,xmlParseName,6,,,,,,,,6
CVE-2022-40303,xmlParsePI,6,,,,,,,,6
CVE-2022-40303,xmlParseNmtoken,5,,2.11.0,,,,,,6
CVE-2022-40303,xmlParsePubidLiteral,5,,2.11.0,,,,,,6
CVE-2022-40303,xmlParseComment,6,,,,,,,,6
CVE-2022-40303,xmlParseCommentComplex,6,,,,,,,,6
CVE-2022-40304,xmlFreeEntity,6,,,,,,,,6
