cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2014-3572,2,6,33.33%,OpenSSL_1_0_1j;OpenSSL_1_0_0p;OpenSSL_1_0_0o;OpenSSL_1_0_1k,,
CVE-2015-0205,1,3,33.33%,OpenSSL_1_0_1j;OpenSSL_1_0_0o,,
CVE-2015-0206,0,3,0.00%,OpenSSL_1_0_1j;OpenSSL_1_0_0o,,OpenSSL_0_9_8ze
CVE-2015-0209,2,4,50.00%,OpenSSL_1_0_2;OpenSSL_1_0_0r,,
CVE-2015-0288,2,5,40.00%,OpenSSL_1_0_0q;OpenSSL_1_0_0r;OpenSSL_1_0_2,,
CVE-2015-1791,0,4,0.00%,OpenSSL_1_0_1n;OpenSSL_1_0_2b;OpenSSL_1_0_0s;OpenSSL_0_9_8zf,,
CVE-2015-1788,1,4,25.00%,OpenSSL_1_0_1o;OpenSSL_1_0_0r,,OpenSSL_1_0_2d
CVE-2015-1789,2,4,50.00%,OpenSSL_1_0_1o;OpenSSL_1_0_0r,,
CVE-2015-1790,1,4,25.00%,OpenSSL_1_0_1o;OpenSSL_1_0_0r,OpenSSL_0_9_8zf,
CVE-2015-3196,3,6,50.00%,OpenSSL_1_0_1o;OpenSSL_1_0_0s;OpenSSL_1_0_1n,,
CVE-2015-1793,0,5,0.00%,OpenSSL_1_0_1o;OpenSSL_1_0_2d;OpenSSL_1_0_2e;OpenSSL_1_0_1n;OpenSSL_1_0_1p,,
CVE-2015-3194,3,5,60.00%,,,OpenSSL-fips-2_0_12;OpenSSL_1_0_2f
CVE-2015-3195,4,6,66.67%,OpenSSL_1_0_1o,,OpenSSL-fips-2_0_12
CVE-2015-3197,3,6,50.00%,OpenSSL-fips-2_0_10;OpenSSL-fips-2_0_12;OpenSSL-fips-2_0_11,,
CVE-2016-0705,6,6,100.00%,,,
