CVE,funcname,succeed,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2016-0705,dsa_priv_decode,6,,,,,,,,6
CVE-2016-0798,init_ssl_connection,6,,,,,,,,6
CVE-2016-0798,sv_body,6,,,,,,,,6
CVE-2016-0798,rev_body,3,,,,,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s,6
CVE-2016-0798,SRP_VBASE_init,6,,,,,,,,6
CVE-2016-0798,www_body,6,,,,,,,,6
CVE-2016-0798,ssl_srp_server_param_cb,6,,,,,,,,6
CVE-2016-0798,SRP_VBASE_get_by_user,6,,,,,,,,6
CVE-2016-0798,SRP_user_pwd_free,0,,,,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6
CVE-2016-0798,srp_user_pwd_dup,0,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,,,,6
CVE-2016-0798,find_user,0,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,,,,6
CVE-2016-0799,fmtint,3,,,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s,,,6
CVE-2016-0799,BIO_vsnprintf,6,,,,,,,,6
CVE-2016-0799,BIO_vprintf,6,,,,,,,,6
CVE-2016-0799,fmtfp,6,,,,,,,,6
CVE-2016-0799,doapr_outch,6,,,,,,,,6
CVE-2016-0799,_dopr,6,,,,,,,,6
CVE-2016-2842,fmtint,3,,,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s,,,6
CVE-2016-2842,BIO_vsnprintf,6,,,,,,,,6
CVE-2016-2842,BIO_vprintf,6,,,,,,,,6
CVE-2016-2842,fmtfp,6,,,,,,,,6
CVE-2016-2842,doapr_outch,6,,,,,,,,6
CVE-2016-2842,_dopr,6,,,,,,,,6
CVE-2016-0797,BN_dec2bn,6,,,,,,,,6
CVE-2016-0797,BN_hex2bn,6,,,,,,,,6
CVE-2016-2109,asn1_d2i_read_bio,6,,,,,,,,6
CVE-2016-2105,EVP_EncodeUpdate,6,,,,,,,,6
CVE-2016-2106,EVP_EncryptUpdate,0,,,,,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2f;OpenSSL_1_0_2i;OpenSSL_1_0_1u;OpenSSL_1_0_2j,,6
CVE-2016-2107,aesni_cbc_hmac_sha256_cipher,4,,,,,,,OpenSSL_1_0_1s;OpenSSL_1_0_1u,6
CVE-2016-2107,aesni_cbc_hmac_sha1_cipher,6,,,,,,,,6
CVE-2016-2108,ASN1_TYPE_cmp,0,,,,,,OpenSSL_0_9_8zh;OpenSSL_1_0_0s;OpenSSL_1_0_2b;OpenSSL_1_0_2i;OpenSSL_1_0_1u;OpenSSL_1_0_2j,,6
CVE-2016-2108,asn1_ex_c2i,5,OpenSSL_0_9_8zh,,,,,,,6
CVE-2016-2108,asn1_ex_i2c,6,,,,,,,,6
CVE-2016-2176,X509_NAME_oneline,3,,,,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2f,,,6
CVE-2016-2177,tls1_process_ticket,6,,,,,,,,6
CVE-2016-2177,ssl_scan_clienthello_tlsext,4,,,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,6
CVE-2016-2177,ssl_scan_clienthello_custom_tlsext,4,,,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,6
CVE-2016-2177,ssl3_get_client_hello,6,,,,,,,,6
CVE-2016-2177,ssl_get_prev_session,6,,,,,,,,6
CVE-2016-2177,ssl_check_for_safari,6,,,,,,,,6
CVE-2016-2177,ssl_scan_serverhello_tlsext,4,,,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,6
CVE-2016-6304,ssl_parse_clienthello_tlsext,3,,,,,OpenSSL_1_0_2h;OpenSSL_1_0_2i;OpenSSL_1_0_2j,,,6
CVE-2016-6306,ssl3_get_server_certificate,6,,,,,,,,6
CVE-2016-6306,ssl3_get_certificate_request,4,,OpenSSL_1_0_2j,,,,,,5
CVE-2016-6306,ssl3_get_client_certificate,6,,,,,,,,6
CVE-2016-7052,get_crl_sk,1,,,,,,,,1
CVE-2018-0737,rsa_builtin_keygen,4,,OpenSSL_1_0_2p,,,,,,5
CVE-2018-0732,generate_key,4,,,,,,,OpenSSL_1_1_0i;OpenSSL_1_1_1,6
CVE-2019-1559,ssl3_read_bytes,4,,,,,,,OpenSSL_1_1_0k,5
CVE-2019-1559,ssl3_send_alert,4,,,,,,,OpenSSL_1_1_0k,5
CVE-2019-1559,dtls1_read_bytes,4,,,,,,,OpenSSL_1_1_0k,5
CVE-2019-1543,chacha20_poly1305_ctrl,5,,,,,,,OpenSSL_1_0_2s,6
CVE-2019-1563,pkcs7_decrypt_rinfo,6,,,,,,,,6
CVE-2019-1563,CMS_decrypt,6,,,,,,,,6
CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,6,,,,,,,,6
CVE-2019-1563,PKCS7_dataDecode,6,,,,,,,,6
CVE-2020-1967,tls1_check_sig_alg,6,,,,,,,,6
