CVE,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2016-6153,5,6,83.33%,3.9.3,,
CVE-2018-20346,6,6,100.00%,,,
CVE-2019-19242,3,4,75.00%,3.30.1,,
CVE-2019-19244,1,4,25.00%,,,3.31.0;3.31.1;3.32.0
CVE-2019-19317,3,4,75.00%,,,3.32.0
CVE-2019-19645,6,6,100.00%,,,
CVE-2019-19646,3,6,50.00%,3.32.0,,3.31.1;3.31.0
CVE-2019-19880,1,4,25.00%,,,3.31.0;3.31.1;3.32.0
CVE-2019-19923,2,4,50.00%,,,3.31.0;3.31.1
CVE-2019-19924,3,4,75.00%,3.30.1,,
CVE-2019-19925,2,4,50.00%,,,3.31.0;3.32.0
CVE-2019-19926,1,4,25.00%,,,3.31.0;3.31.1;3.32.0
CVE-2019-19959,1,4,25.00%,,,3.31.0;3.31.1;3.32.0
CVE-2019-20218,4,4,100.00%,,,
CVE-2019-8457,6,6,100.00%,,,
CVE-2020-11655,6,6,100.00%,,,
CVE-2020-11656,0,6,0.00%,3.31.1,3.31.0;3.30.1,3.32.2;3.32.0;3.32.1
CVE-2020-13434,0,6,0.00%,3.31.1;3.31.0;3.32.0,,3.32.2;3.32.3;3.32.1
CVE-2020-13630,4,6,66.67%,,,3.32.0;3.32.1
CVE-2020-13632,6,6,100.00%,,,
CVE-2020-15358,3,6,50.00%,,3.32.0;3.32.1,3.32.3
CVE-2020-35525,4,4,100.00%,,,
CVE-2020-35527,4,4,100.00%,,,
CVE-2021-31239,4,4,100.00%,,,
CVE-2021-36690,1,4,25.00%,,,3.37.1;3.37.0;3.37.2
CVE-2022-46908,0,6,0.00%,3.39.4;3.41.1;3.40.0;3.39.3;3.40.1;3.41.0,,
CVE-2023-7104,6,6,100.00%,,,
