CVE,succeed,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2017-13710,4,,,,4,
CVE-2017-13757,1,,,2.29.1;2.30;2.31,4,
CVE-2017-14128,2,,2.30;2.31,,4,
CVE-2017-14129,2,,2.30;2.31,,4,
CVE-2017-14130,3,,,2.29,4,
CVE-2017-14529,1,,2.29.1;2.30;2.31,,4,
CVE-2017-14729,2,,,2.29;2.29.1,4,
CVE-2017-14932,0,2.29,2.30;2.31;2.31.1,,4,
CVE-2017-14933,1,,2.30;2.31;2.31.1,,4,
CVE-2017-14934,3,2.29,,,4,
CVE-2017-14938,3,,2.29.1,,4,
CVE-2017-14939,2,2.29,2.29.1,,4,
CVE-2017-14940,3,,2.29.1,,4,
CVE-2017-14974,3,2.29,,,4,
CVE-2017-15020,3,,2.30,,4,
CVE-2017-15021,2,,2.29.1;2.31,,4,
CVE-2017-15022,3,2.29,,,4,
CVE-2017-15024,0,,,2.29;2.29.1;2.30;2.31,4,
CVE-2017-15025,3,2.29,,,4,
CVE-2017-15225,4,,,,4,
CVE-2017-15938,0,,,2.29;2.30;2.31;2.31.1,4,
CVE-2017-15939,4,,,,4,
CVE-2017-15996,3,,,2.29,4,
CVE-2017-16828,1,,2.30;2.31;2.31.1,,4,
CVE-2017-16829,4,,,,4,
CVE-2017-16830,1,,2.30;2.31;2.31.1,,4,
CVE-2017-16831,4,,,,4,
CVE-2017-17122,4,,,,4,
CVE-2017-17124,4,,,,4,
CVE-2017-17126,0,,,,4,true
CVE-2017-9043,0,,2.29;2.29.1;2.30,2.28,4,
CVE-2018-1000876,3,,2.32;2.33.1;2.34,,6,
CVE-2018-18605,4,,,,4,
CVE-2018-18606,4,,,,4,
CVE-2018-18607,3,2.31,,,4,
CVE-2018-19932,3,2.31;2.30;2.29.1,,,6,
CVE-2018-20002,4,,,,4,
CVE-2018-20651,4,,,,4,
CVE-2018-20671,3,2.31.1;2.31;2.30,,,6,
CVE-2018-6872,0,,,2.30;2.31;2.31.1;2.32,4,
CVE-2018-7570,3,2.30,,,4,
CVE-2019-17451,3,2.32,,,4,
CVE-2020-16590,0,,,2.35;2.35.1;2.35.2;2.36.1,4,
CVE-2020-16591,3,2.35,,,4,
CVE-2020-16593,3,2.35,,,4,
CVE-2020-16599,3,2.35,,,4,
CVE-2020-19724,4,,2.35;2.35.1,,6,
CVE-2020-35448,1,,2.35.2;2.36.1;2.37,,4,
CVE-2021-20294,5,,,,5,
CVE-2021-45078,6,,,,6,
CVE-2022-38533,6,,,,6,
CVE-2022-48063,6,,,,6,
CVE-2022-48064,3,,,2.39;2.38;2.37,6,
CVE-2022-48065,0,,,2.39;2.38;2.37;2.40;2.41;2.42,6,
CVE-2023-1579,4,,,,4,
CVE-2023-25586,3,2.40,,,4,
