CVE,funcname,succeed,false_positive,false_negative,failed_versions,func_not_found,targets,no_sig
CVE-2017-13710,setup_group,4,,,,,4,
CVE-2017-13757,elf_i386_get_synthetic_symtab,4,,,,,4,
CVE-2017-13757,elf_x86_64_get_synthetic_symtab,0,,,2.29;2.29.1;2.30;2.31,,4,
CVE-2017-14128,decode_line_info,2,,2.30;2.31,,,4,
CVE-2017-14129,read_section,2,,2.30;2.31,,,4,
CVE-2017-14130,_bfd_elf_parse_attributes,3,,,2.29,,4,
CVE-2017-14529,pe_print_idata,1,,2.29.1;2.30;2.31,,,4,
CVE-2017-14729,_bfd_x86_elf_get_synthetic_symtab,2,,,,2.29;2.29.1,4,
CVE-2017-14932,decode_line_info,0,2.29,2.30;2.31;2.31.1,,,4,
CVE-2017-14933,read_formatted_entries,1,,2.30;2.31;2.31.1,,,4,
CVE-2017-14934,process_debug_info,3,2.29,,,,4,
CVE-2017-14938,_bfd_elf_slurp_version_tables,3,,2.29.1,,,4,
CVE-2017-14939,decode_line_info,2,2.29,2.29.1,,,4,
CVE-2017-14940,scan_unit_for_symbols,3,,2.29.1,,,4,
CVE-2017-14974,elf_i386_get_synthetic_symtab,3,2.29,,,,4,
CVE-2017-14974,elf_x86_64_get_synthetic_symtab,3,2.29,,,,4,
CVE-2017-15020,parse_die,3,,2.30,,,4,
CVE-2017-15020,parse_line_table,4,,,,,4,
CVE-2017-15021,bfd_get_debug_link_info_1,2,,2.29.1;2.31,,,4,
CVE-2017-15022,scan_unit_for_symbols,3,2.29,,,,4,
CVE-2017-15022,parse_comp_unit,3,2.29,,,,4,
CVE-2017-15024,find_abstract_instance_name,0,,,2.29;2.29.1;2.30;2.31,,4,
CVE-2017-15024,scan_unit_for_symbols,2,,2.29.1;2.31,,,4,
CVE-2017-15025,decode_line_info,3,2.29,,,,4,
CVE-2017-15225,_bfd_dwarf2_cleanup_debug_info,4,,,,,4,
CVE-2017-15938,find_abstract_instance_name,0,,,2.29;2.30;2.31;2.31.1,,4,
CVE-2017-15938,parse_comp_unit,1,,2.30,2.31;2.31.1,,4,
CVE-2017-15939,concat_filename,4,,,,,4,
CVE-2017-15939,read_formatted_entries,3,2.29,,,,4,
CVE-2017-15939,decode_line_info,3,2.29,,,,4,
CVE-2017-15996,process_archive_index_and_symbols,3,,,2.29,,4,
CVE-2017-15996,setup_archive,3,,,2.29,,4,
CVE-2017-15996,get_archive_member_name,3,,,2.29,,4,
CVE-2017-16828,read_cie,2,,2.31;2.31.1,,,4,
CVE-2017-16828,display_debug_frames,1,,2.30;2.31;2.31.1,,,4,
CVE-2017-16829,_bfd_elf_parse_gnu_properties,4,,,,,4,
CVE-2017-16830,print_gnu_property_note,1,,2.30;2.31;2.31.1,,,4,
CVE-2017-16831,_bfd_coff_get_external_symbols,4,,,,,4,
CVE-2017-16831,coff_get_normalized_symtab,4,,,,,4,
CVE-2017-17122,dump_relocs_in_section,4,,,,,4,
CVE-2017-17124,_bfd_coff_read_string_table,4,,,,,4,
CVE-2017-17126,load_debug_section,0,,,,,4,true
CVE-2017-9043,print_gnu_build_attribute_name,0,,2.29;2.29.1;2.30,,2.28,4,
CVE-2018-1000876,_bfd_elf_get_dynamic_symtab_upper_bound,3,,2.32;2.33.1;2.34,,,6,
CVE-2018-1000876,_bfd_elf_get_dynamic_reloc_upper_bound,6,,,,,6,
CVE-2018-18605,_bfd_add_merge_section,4,,,,,4,
CVE-2018-18606,_bfd_add_merge_section,4,,,,,4,
CVE-2018-18607,elf_link_input_bfd,3,2.31,,,,4,
CVE-2018-19932,rewrite_elf_program_header,3,2.31;2.30;2.29.1,,,,6,
CVE-2018-20002,_bfd_generic_read_minisymbols,3,2.31,,,,4,
CVE-2018-20002,display_rel_file,4,,,,,4,
CVE-2018-20651,elf_link_add_object_symbols,4,,,,,4,
CVE-2018-20671,load_specific_debug_section,3,2.31.1;2.31;2.30,,,,6,
CVE-2018-6872,elf_parse_notes,0,,,2.30;2.31;2.31.1;2.32,,4,
CVE-2018-7570,assign_file_positions_for_non_load_sections,3,2.30,,,,4,
CVE-2019-17451,_bfd_dwarf2_slurp_debug_info,3,2.32,,,,4,
CVE-2020-16590,get_num_dynamic_syms,0,,,2.35;2.35.1;2.35.2;2.36.1,,4,
CVE-2020-16591,get_num_dynamic_syms,3,2.35,,,,4,
CVE-2020-16593,scan_unit_for_symbols,3,2.35,,,,4,
CVE-2020-16599,_bfd_elf_get_symbol_version_string,3,2.35,,,,4,
CVE-2020-19724,display_rel_file,4,,2.35;2.35.1,,,6,
CVE-2020-35448,_bfd_elf_slurp_secondary_reloc_section,1,,2.35.2;2.36.1;2.37,,,4,
CVE-2021-20294,print_dynamic_symbol,5,,,,,5,
CVE-2021-45078,stab_xcoff_builtin_type,6,,,,,6,
CVE-2022-38533,rewrite_elf_program_header,6,,,,,6,
CVE-2022-48063,load_specific_debug_section,6,,,,,6,
CVE-2022-48064,find_debug_info,3,,,2.39;2.38;2.37,,6,
CVE-2022-48065,find_abstract_instance,0,,,2.39;2.38;2.37;2.40;2.41;2.42,,6,
CVE-2022-48065,scan_unit_for_symbols,3,,,2.39;2.38;2.37,,6,
CVE-2023-1579,read_indexed_address,4,,,,,4,
CVE-2023-25586,bfd_init_section_decompress_status,3,2.40,,,,4,
