cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2017-7299,3,0,3,0,1,2.28,,,4,
CVE-2017-7303,3,0,3,0,1,2.28,,,4,
CVE-2017-7304,3,0,3,0,1,2.28,,,4,
CVE-2017-6965,0,0,0,3,0,,2.29;2.29.1;2.30,,3,
CVE-2017-6966,2,0,2,1,0,,2.30,,3,
CVE-2017-7209,3,0,3,0,0,,,,3,
CVE-2017-6969,2,0,2,0,0,,,2.30,3,
CVE-2017-9038,2,0,2,0,0,,,2.30,3,
CVE-2017-9039,0,0,0,0,0,,,2.29;2.29.1;2.30,3,
CVE-2017-9040,0,0,0,3,0,,2.29;2.29.1;2.30,,3,
CVE-2017-9043,0,0,0,0,0,,,2.29;2.29.1;2.30,3,
CVE-2017-8392,4,1,3,0,0,,,,4,
CVE-2017-8394,0,0,0,0,0,,,,4,true
CVE-2017-8395,4,1,3,0,0,,,,4,
CVE-2017-8397,1,1,0,3,0,,2.29;2.29.1;2.30,,4,
CVE-2017-8398,0,0,0,0,0,,,2.28;2.29;2.29.1;2.30,4,
CVE-2017-8396,4,1,3,0,0,,,,4,
CVE-2017-8421,1,1,0,3,0,,2.29;2.29.1;2.30,,4,
CVE-2017-9954,4,1,3,0,0,,,,4,
CVE-2017-9955,0,0,0,0,0,,,2.28;2.29;2.29.1;2.30,4,
CVE-2017-13710,1,1,0,3,0,,2.29.1;2.30;2.31,,4,
CVE-2017-12967,1,1,0,3,0,,2.29.1;2.30;2.31,,4,
CVE-2017-13757,0,0,0,0,0,,,2.29;2.29.1;2.30;2.31,4,
CVE-2017-14129,1,1,0,3,0,,2.29.1;2.30;2.31,,4,
CVE-2017-12799,4,1,3,0,0,,,,4,
CVE-2017-14128,2,1,1,2,0,,2.30;2.31,,4,
CVE-2017-14130,3,0,3,0,0,,,2.29,4,
CVE-2017-12448,5,2,3,0,0,,,,5,
CVE-2017-14529,1,1,0,3,0,,2.29.1;2.30;2.31,,4,
CVE-2017-14745,0,0,0,2,0,,2.30;2.31,2.29;2.29.1,4,
CVE-2017-14729,0,0,0,0,0,,,2.29;2.29.1;2.30;2.31,4,
CVE-2017-14974,3,0,3,0,1,2.29,,,4,
CVE-2017-14930,2,0,2,0,0,,,2.29;2.29.1,4,
CVE-2017-14938,3,1,2,0,0,,,,3,
CVE-2017-14939,2,0,2,0,1,2.29,,,3,
CVE-2017-14940,1,1,0,2,0,,2.30;2.31,,3,
CVE-2017-15021,3,1,2,0,0,,,,3,
CVE-2017-15024,0,0,0,0,0,,,2.29;2.29.1;2.30;2.31,4,
CVE-2017-15025,1,1,0,3,0,,2.29.1;2.30;2.31,,4,
CVE-2017-15020,1,1,0,3,0,,2.30;2.31;2.31.1,,4,
CVE-2017-15022,3,0,3,0,1,2.29,,,4,
CVE-2017-15023,4,1,3,0,0,,,,4,
CVE-2017-14932,1,1,0,3,0,,2.30;2.31;2.31.1,,4,
CVE-2017-14933,1,1,0,3,0,,2.30;2.31;2.31.1,,4,
CVE-2017-15938,0,0,0,0,0,,,2.29;2.30;2.31;2.31.1,4,
CVE-2017-15939,1,1,0,0,0,,,2.30;2.31;2.31.1,4,
CVE-2017-14934,3,0,3,0,1,2.29,,,4,
CVE-2017-15225,4,1,3,0,0,,,,4,
CVE-2017-16829,3,0,3,0,1,2.29.1,,,4,
CVE-2017-15996,3,0,3,0,0,,,2.29,4,
CVE-2017-16830,1,1,0,3,0,,2.30;2.31;2.31.1,,4,
CVE-2017-16828,1,1,0,0,0,,,2.30;2.31;2.31.1,4,
CVE-2017-16831,4,1,3,0,0,,,,4,
CVE-2017-17080,4,1,3,0,0,,,,4,
