cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2016-6153,0,0,0,0,0,,,,6,true
CVE-2018-20346,0,0,0,0,0,,,,6,true
CVE-2019-19242,0,0,0,0,0,,,3.30.1;3.31.0;3.31.1;3.32.0,4,
CVE-2019-19244,1,1,0,3,0,,3.31.0;3.31.1;3.32.0,,4,
CVE-2019-19317,3,1,2,1,0,,3.32.0,,4,
CVE-2019-19645,3,3,0,3,0,,3.31.0;3.31.1;3.32.0,,6,
CVE-2019-19646,3,0,3,0,0,,,3.30.1;3.30.0;3.29.0,6,
CVE-2019-19880,4,1,3,0,0,,,,4,
CVE-2019-19923,0,0,0,3,1,3.30.1,3.31.0;3.31.1;3.32.0,,4,
CVE-2019-19924,1,1,0,0,0,,,3.31.0;3.31.1;3.32.0,4,
CVE-2019-19925,0,0,0,0,0,,,,4,true
CVE-2019-19926,4,1,3,0,0,,,,4,
CVE-2019-19959,0,0,0,0,0,,,,4,true
CVE-2019-20218,3,0,3,0,0,,,3.30.1,4,
CVE-2019-8457,0,0,0,0,0,,,,6,true
CVE-2020-11655,0,0,0,0,0,,,,6,true
CVE-2020-11656,0,0,0,0,0,,,,6,true
CVE-2020-13434,0,0,0,0,0,,,,6,true
CVE-2020-13630,0,0,0,0,0,,,,6,true
CVE-2020-13632,0,0,0,0,0,,,,6,true
CVE-2020-15358,0,0,0,0,0,,,,6,true
CVE-2020-35525,0,0,0,0,0,,,,4,true
CVE-2020-35527,0,0,0,0,0,,,,4,true
CVE-2021-31239,0,0,0,0,0,,,,4,true
CVE-2021-36690,0,0,0,0,0,,,,4,true
CVE-2022-46908,0,0,0,0,0,,,,6,true
CVE-2023-7104,6,3,3,0,0,,,,6,
