cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2017-2629,0,0,0,0,0,,,7.52.1;7.52.0;7.51.0;7.53.0;7.53.1;7.54.0,6,
CVE-2013-1944,0,0,0,0,0,,,,4,true
CVE-2018-16840,3,3,0,3,0,,7.62.0;7.63.0;7.64.0,,6,
CVE-2018-1000301,6,3,3,0,0,,,,6,
CVE-2016-9586,3,3,0,3,0,,7.52.0;7.52.1;7.53.0,,6,
CVE-2017-9502,0,0,0,0,0,,,7.54.0;7.53.1;7.53.0;7.54.1;7.55.0;7.55.1,6,
CVE-2017-7407,1,1,0,3,0,,7.54.0;7.54.1;7.55.0,,4,
CVE-2018-16839,3,3,0,3,0,,7.62.0;7.63.0;7.64.0,,6,
CVE-2018-1000300,3,3,0,3,0,,7.60.0;7.61.0;7.61.1,,6,
CVE-2023-46219,3,3,0,3,0,,8.5.0;8.6.0;8.7.1,,6,
CVE-2016-8621,0,0,0,0,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,6,
CVE-2018-0500,1,0,1,0,0,,,7.60.0;7.59.0;7.58.0;7.61.1;7.62.0,6,
CVE-2013-0249,3,0,3,0,0,,,,3,
CVE-2014-0015,2,2,0,0,0,,,7.32.0;7.35.0;7.36.0;7.37.0,6,
CVE-2020-8169,0,0,0,0,0,,,7.70.0;7.69.1;7.69.0;7.71.0;7.71.1;7.72.0,6,
CVE-2017-8817,0,0,0,0,0,,,7.56.1;7.56.0;7.55.1;7.57.0;7.58.0;7.59.0,6,
CVE-2021-22898,4,3,1,0,0,,,7.78.0;7.79.0,6,
CVE-2019-5482,2,2,0,3,0,,7.66.0;7.67.0;7.68.0,7.65.1,6,
CVE-2016-8624,0,0,0,0,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,6,
CVE-2016-8618,6,3,3,0,0,,,,6,
CVE-2023-46218,3,0,3,0,0,,,8.4.0;8.2.1;8.2.0,6,
CVE-2016-8617,0,0,0,0,0,,,,6,true
CVE-2017-1000101,0,0,0,0,0,,,7.55.0;7.54.1;7.54.0;7.55.1;7.56.0;7.56.1,6,
CVE-2016-9594,0,0,0,0,0,,,7.52.0;7.51.0;7.50.3;7.52.1;7.53.0;7.53.1,6,
CVE-2018-1000122,0,0,0,0,0,,,7.58.0;7.57.0;7.56.1;7.59.0;7.60.0;7.61.0,6,
CVE-2018-16842,3,3,0,3,0,,7.62.0;7.63.0;7.64.0,,6,
CVE-2022-42916,0,0,0,0,0,,,7.85.0;7.84.0;7.83.1;7.86.0;7.87.0;7.88.0,6,
CVE-2022-42915,0,0,0,0,0,,,7.85.0;7.84.0;7.83.1;7.86.0;7.87.0;7.88.0,6,
CVE-2020-8284,0,0,0,0,0,,,7.73.0;7.72.0;7.71.1;7.74.0;7.75.0;7.76.0,6,
CVE-2020-8177,3,3,0,3,0,,7.71.0;7.71.1;7.72.0,,6,
CVE-2019-5435,3,3,0,0,0,,,7.65.0;7.65.1;7.65.2,6,
CVE-2018-1000007,0,0,0,0,0,,,7.57.0;7.56.1;7.56.0;7.58.0;7.59.0;7.60.0,6,
CVE-2018-1000120,0,0,0,0,0,,,7.58.0;7.57.0;7.56.1;7.59.0;7.60.0;7.61.0,6,
CVE-2017-8818,0,0,0,0,0,,,7.56.1;7.56.0;7.57.0;7.58.0;7.59.0,5,
CVE-2017-8816,3,0,3,0,3,7.56.1;7.56.0;7.55.1,,,6,
CVE-2016-8625,3,3,0,0,0,,,7.51.0;7.52.0;7.52.1,6,
CVE-2016-8623,3,3,0,3,0,,7.51.0;7.52.0;7.52.1,,6,
