cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2017-12893,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12894,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12895,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12896,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12897,2,2,0,1,0,,4.9.3,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-12898,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12899,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12901,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12985,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12987,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12988,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12989,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12990,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12991,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-12993,3,3,0,1,0,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12994,4,2,2,1,1,4.8.1,4.9.3,,6,
CVE-2017-12995,3,3,0,1,0,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12996,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12997,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12998,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12999,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13000,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13001,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13002,1,0,1,2,0,,4.99.0-bp;4.99-bp,4.9.1;4.9.0;4.8.1,6,
CVE-2017-13003,5,3,2,1,0,,4.9.3,,6,
CVE-2017-13004,3,3,0,1,0,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-13005,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13006,0,0,0,0,0,,,,6,true
CVE-2017-13007,5,3,2,0,0,,,4.9.3,6,
CVE-2017-13008,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13009,3,0,3,0,3,4.9.1;4.9.0;4.8.1,,,6,
CVE-2017-13011,6,3,3,0,0,,,,6,
CVE-2017-13012,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13013,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13014,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13015,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-13016,3,0,3,0,0,,,4.9.1;4.9.0;4.8.1,6,
CVE-2017-13017,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13018,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13019,4,3,1,0,0,,,4.99.0-bp;4.99-bp,6,
CVE-2017-13020,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13021,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-13022,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13023,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13024,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13025,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13026,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13027,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13028,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13029,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13030,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13031,3,2,1,0,0,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13032,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13033,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13034,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13035,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13036,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13037,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13038,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13039,3,3,0,2,0,,4.99.0-bp;4.99-bp,4.9.3,6,
CVE-2017-13040,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13041,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13042,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13043,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13044,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13045,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13046,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13047,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13048,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13049,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13050,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13051,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3,4,
CVE-2017-13052,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13053,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13054,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13055,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13687,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13688,2,2,0,0,0,,,4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13689,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13690,3,2,1,0,0,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13725,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14461,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14462,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14463,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14464,2,1,1,2,0,,4.99.0-bp;4.99-bp,4.9.1;4.9.0,6,
CVE-2018-14465,1,0,1,0,3,4.9.2;4.9.1;4.9.0,,,4,
CVE-2018-14466,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14467,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14468,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14469,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2018-14470,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14881,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
