CVE,succeed,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2020-20446,3,4.2,,,4,
CVE-2020-20448,0,,,4.1.3;4.0.5;3.4.7;4.2.2,4,
CVE-2020-20453,2,,,4.2;3.4.9,4,
CVE-2020-20896,0,,,4.2.1;4.1.9;4.2.6;4.3,4,
CVE-2020-20898,1,,,4.3,2,
CVE-2020-21697,1,,,4.3.3,2,
CVE-2020-22015,2,,,4.1.7;3.4.9,4,
CVE-2020-22017,1,,4.1.8;4.3,,3,
CVE-2020-22019,4,,,,4,
CVE-2020-22024,1,,,4.3,2,
CVE-2020-22029,0,,,,3,true
CVE-2020-22037,2,,4.1.7;4.2.5,,4,
CVE-2020-22038,2,,,,2,
CVE-2020-22039,2,,,,2,
CVE-2020-22041,0,,,,4,true
CVE-2020-22042,1,,4.3.3;4.4,,3,
CVE-2020-22043,0,,,4.2;4.3,2,
CVE-2020-22044,0,,,4.2;4.1.10;4.2.7;4.3,4,
CVE-2020-22046,1,,,4.2;4.1.10;4.3,4,
CVE-2020-24020,1,,,4.4,2,
CVE-2021-38291,0,,,,6,true
CVE-2022-1475,4,,4.4.2;5.1,,6,
CVE-2020-22020,0,,,,4,true
CVE-2020-22022,0,,,,4,true
CVE-2020-22023,0,,,,4,true
CVE-2020-22026,0,,,4.2;4.1.8;4.2.7;4.3,4,
CVE-2020-22027,0,,,,4,true
CVE-2020-22030,0,,,,3,true
CVE-2020-22031,0,,,,4,true
CVE-2020-22034,0,,,,3,true
CVE-2020-22035,0,,,,3,true
CVE-2020-22036,0,,,4.2;4.1.8;4.2.7;4.3,4,
CVE-2020-22048,0,,,,4,true
CVE-2020-23906,3,4.2,,,4,
CVE-2020-35965,0,,,,5,true
