cve,succeed,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2009-0946,7,,,,7,
CVE-2010-2497,6,,,,6,
CVE-2010-2498,6,,,,6,
CVE-2010-2500,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6,
CVE-2010-2499,6,,,,6,
CVE-2010-2519,0,,,,6,true
CVE-2010-2520,6,,,,6,
CVE-2010-2805,6,,,,6,
CVE-2010-2806,6,,,,6,
CVE-2010-2808,3,2.4.1;2.4.0;2.3.12,,,6,
CVE-2010-3814,3,2.4.3;2.4.2;2.4.1,,,6,
CVE-2010-3855,0,,,2.4.3;2.4.2;2.4.1;2.4.4;2.4.5;2.4.6,6,
CVE-2012-5668,3,2.4.10;2.4.9;2.4.8,,,6,
CVE-2012-5669,0,,,2.4.10;2.4.9;2.4.8;2.4.11;2.4.12;2.5.0-1,6,
CVE-2012-5670,0,,,,6,true
CVE-2014-9746,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9745,3,2.5.2;2.5.1;2.5.0,,,6,
CVE-2014-2241,0,,,,6,true
CVE-2014-9670,6,,,,6,
CVE-2014-9671,4,,2.5.5;2.6,,6,
CVE-2014-9666,6,,,,6,
CVE-2014-9667,5,,,2.6,6,
CVE-2014-9668,6,,,,6,
CVE-2014-9669,0,,,,6,true
CVE-2014-9664,6,,,,6,
CVE-2014-9665,3,,2.5.4;2.5.5;2.6,,6,
CVE-2014-9660,6,,,,6,
CVE-2014-9661,2,,2.6,2.5.3;2.5.2;2.5.1,6,
CVE-2014-9662,6,,,,6,
CVE-2014-9663,4,,2.5.5;2.6,,6,
CVE-2014-9656,6,,,,6,
CVE-2014-9657,6,,,,6,
CVE-2014-9658,6,,,,6,
CVE-2014-9673,3,,2.5.4;2.5.5;2.6,,6,
CVE-2014-9674,6,,,,6,
CVE-2014-9659,3,,2.5.4;2.5.5;2.6,,6,
CVE-2015-9382,6,,,,6,
CVE-2015-9290,6,,,,6,
CVE-2015-9381,3,2.5.5;2.5.4;2.5.3,,,6,
CVE-2015-9383,6,,,,6,
CVE-2016-10328,6,,,,6,
CVE-2017-7864,5,,2.9,,6,
CVE-2017-7858,3,,2.8;2.8.1;2.9,,6,
CVE-2017-7857,0,,,,5,true
CVE-2017-8105,5,,,2.9,6,
CVE-2017-8287,6,,,,6,
