CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2012-5134,xmlParseAttValueComplex,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.9.0;2.8.0;2.8.0-rc2;2.9.1;2.9.2-rc1;2.9.2-rc2,,6,
CVE-2013-0338,xmlParserEntityCheck,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2013-0339,xmlParseReference__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2013-1969,htmlParseChunk__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2014-3660,xmlParseReference__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-5312,xmlStringLenDecodeEntities__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7497,xmlDictComputeFastQKey,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2015-7498,xmlParseXMLDecl__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7498,xmlParseDocument__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7498,xmlSwitchEncoding__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7499,xmlHaltParser,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7499,xmlStopParser__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7500,xmlParseStartTag2,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-7941,xmlParseConditionalSections,1,1,0,3,0,0.2500,1.0000,0.4000,,2.9.3;2.9.4;2.9.5-rc1,,,4,
CVE-2015-8241,xmlParseMarkupDecl__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-8242,htmlParseTryOrFinish,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-8317,xmlParseEncodingDecl__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2015-8710,htmlParseComment,3,0,3,0,3,0.0000,0.0000,0.0000,2.9.2;2.9.2-rc2;2.9.2-rc1,,,,6,
CVE-2016-1762,xmlParseInternalSubset,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.5-rc1;2.9.5-rc2,,6,
CVE-2016-1833,xmlNextChar__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-1834,xmlStrncatNew__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
