cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2018-20847,3,3,0,1,0,,2.3.1,2.4.0;2.5.0,6,
CVE-2015-8871,0,0,0,0,0,,,2.0;2.1;2.0.1;2.1.1;2.1.2;2.2.0,6,
CVE-2016-4797,0,0,0,0,0,,,2.0;2.1;2.0.1;2.1.1;2.1.2;2.2.0,6,
CVE-2016-7163,3,0,3,0,1,2.1.2,,2.1.1;2.0,6,
CVE-2016-10506,3,3,0,3,0,,2.2.0;2.3.0;2.3.1,,6,
CVE-2016-10504,3,2,1,0,0,,,2.0;2.3.0;2.3.1,6,
CVE-2017-14151,3,1,2,0,0,,,2.4.0,4,
CVE-2017-14152,1,1,0,0,0,,,2.3.0;2.3.1;2.4.0,4,
CVE-2017-14039,6,3,3,0,0,,,,6,
CVE-2017-14164,6,3,3,0,0,,,,6,
