CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2018-20847,opj_get_all_encoding_parameters,4,3,1,0,0,1.0000,1.0000,1.0000,,,2.4.0;2.5.0,,6,
CVE-2018-20847,opj_tcd_init_tile,0,0,0,3,0,0.0000,0.0000,0.0000,,2.3.1;2.4.0;2.5.0,2.0;2.1;2.0.1,,6,
CVE-2015-8871,opj_j2k_write_mco,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.0;2.1;2.0.1;2.1.1;2.1.2;2.2.0,,6,
CVE-2016-4797,opj_tcd_init_tile,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.1.1;2.1.2;2.2.0,2.0;2.1;2.0.1,6,
CVE-2016-7163,opj_pi_create_decode,3,0,3,0,1,0.0000,0.0000,0.0000,2.1.2,,2.1.1;2.0,,6,
CVE-2016-10506,opj_pi_next_rpcl,3,3,0,3,0,0.5000,1.0000,0.6667,,2.2.0;2.3.0;2.3.1,,,6,
CVE-2016-10506,opj_pi_next_pcrl,3,3,0,3,0,0.5000,1.0000,0.6667,,2.2.0;2.3.0;2.3.1,,,6,
CVE-2016-10506,opj_pi_next_cprl,3,3,0,3,0,0.5000,1.0000,0.6667,,2.2.0;2.3.0;2.3.1,,,6,
CVE-2016-10504,opj_tcd_code_block_enc_allocate_data,3,2,1,0,0,1.0000,1.0000,1.0000,,,2.3.0;2.3.1,2.0,6,
CVE-2017-14151,opj_tcd_code_block_enc_allocate_data,3,1,2,0,0,1.0000,1.0000,1.0000,,,2.4.0,,4,
CVE-2017-14152,opj_j2k_set_cinema_parameters,1,1,0,0,0,1.0000,1.0000,1.0000,,,2.3.0;2.3.1;2.4.0,,4,
CVE-2017-14039,opj_j2k_write_sod,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2017-14039,opj_t2_encode_packet,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2017-14164,opj_j2k_write_sot,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2017-14164,opj_j2k_write_first_tile_part,3,0,3,0,3,0.0000,0.0000,0.0000,2.2.0;2.1.2;2.1.1,,,,6,
CVE-2017-14164,opj_j2k_write_all_tile_parts,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
