cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2019-19242,0,0,0,0,0,,,3.30.1;3.31.0;3.31.1;3.32.0,4,
CVE-2019-19244,1,1,0,3,0,,3.31.0;3.31.1;3.32.0,,4,
CVE-2019-19317,3,1,2,1,0,,3.32.0,,4,
CVE-2019-19645,3,3,0,3,0,,3.31.0;3.31.1;3.32.0,,6,
CVE-2019-19646,6,3,3,0,0,,,,6,
CVE-2019-19880,4,1,3,0,0,,,,4,
CVE-2019-19923,0,0,0,3,1,3.30.1,3.31.0;3.31.1;3.32.0,,4,
CVE-2019-19924,1,1,0,0,0,,,3.31.0;3.31.1;3.32.0,4,
CVE-2019-19926,4,1,3,0,0,,,,4,
CVE-2019-20218,3,0,3,0,0,,,3.30.1,4,
CVE-2023-7104,3,0,3,0,3,3.43.0;3.42.0;3.41.2,,,6,
