cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2017-12893,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12894,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12895,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12896,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12897,2,2,0,1,0,,4.9.3,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-12898,3,3,0,1,0,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12899,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12901,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12902,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12985,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12987,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-12988,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-12989,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12990,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12991,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-12992,6,3,3,0,0,,,,6,
CVE-2017-12993,3,3,0,1,0,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12994,6,3,3,0,0,,,,6,
CVE-2017-12995,4,3,1,0,0,,,4.99.0-bp;4.99-bp,6,
CVE-2017-12996,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-12997,3,3,0,1,0,,4.9.3,4.99.0-bp;4.99-bp,6,
CVE-2017-12998,2,2,0,0,0,,,4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-12999,2,2,0,3,1,4.9.1,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13000,1,0,1,0,3,4.9.1;4.9.0;4.8.1,,4.99.0-bp;4.99-bp,6,
CVE-2017-13001,6,3,3,0,0,,,,6,
CVE-2017-13002,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13003,6,3,3,0,0,,,,6,
CVE-2017-13004,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13005,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13006,0,0,0,0,0,,,,6,true
CVE-2017-13007,6,3,3,0,0,,,,6,
CVE-2017-13008,3,0,3,0,0,,,4.9.1;4.9.0;4.8.1,6,
CVE-2017-13009,5,2,3,0,1,4.8.1,,,6,
CVE-2017-13011,6,3,3,0,0,,,,6,
CVE-2017-13012,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13013,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13014,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13015,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-13016,3,0,3,0,0,,,4.9.1;4.9.0;4.8.1,6,
CVE-2017-13017,1,0,1,2,3,4.9.1;4.9.0;4.8.1,4.99.0-bp;4.99-bp,,6,
CVE-2017-13018,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13019,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13020,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13021,2,1,1,2,2,4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2017-13022,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13023,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13024,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13025,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13026,3,3,0,3,0,,4.9.3;4.99.0-bp;4.99-bp,,6,
CVE-2017-13027,4,3,1,0,0,,,4.99.0-bp;4.99-bp,6,
CVE-2017-13028,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13029,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13030,5,2,3,0,0,,,4.8.1,6,
CVE-2017-13031,3,2,1,0,0,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13032,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13033,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13034,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13035,6,3,3,0,0,,,,6,
CVE-2017-13036,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13037,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13038,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13039,6,3,3,0,0,,,,6,
CVE-2017-13040,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13041,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
