cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2020-20446,3,0,3,0,1,4.2,,,4,
CVE-2020-20448,0,0,0,0,0,,,4.1.3;4.0.5;3.4.7;4.2.2,4,
CVE-2020-20453,2,0,2,0,0,,,4.2;3.4.9,4,
CVE-2020-20896,0,0,0,0,0,,,4.2.1;4.1.9;4.2.6;4.3,4,
CVE-2020-20898,2,1,1,0,0,,,,2,
CVE-2020-22015,1,0,1,0,0,,,4.1.7;3.4.9,3,
CVE-2020-22017,3,1,2,0,0,,,,3,
CVE-2020-22019,4,1,3,0,0,,,,4,
CVE-2020-22021,4,1,3,0,0,,,,4,
CVE-2020-22024,2,1,1,0,0,,,,2,
CVE-2020-22029,0,0,0,0,0,,,,3,true
CVE-2020-22037,2,1,1,2,0,,4.1.7;4.2.5,,4,
CVE-2020-22038,2,1,1,0,0,,,,2,
CVE-2020-22039,2,1,1,0,0,,,,2,
CVE-2020-22041,0,0,0,0,0,,,,4,true
CVE-2020-22042,1,1,0,2,0,,4.3.3;4.4,,3,
CVE-2020-22043,0,0,0,0,0,,,4.2;4.3,2,
CVE-2020-22044,0,0,0,0,0,,,4.2;4.1.10;4.2.7;4.3,4,
CVE-2020-22046,3,0,3,0,0,,,4.2,4,
CVE-2020-24020,1,1,0,0,0,,,4.4,2,
CVE-2021-38291,0,0,0,0,0,,,,6,true
CVE-2022-1475,4,3,1,2,0,,4.4.2;5.1,,6,
CVE-2020-22020,0,0,0,0,0,,,,4,true
CVE-2020-22022,0,0,0,0,0,,,,4,true
CVE-2020-22023,0,0,0,0,0,,,,4,true
CVE-2020-22026,0,0,0,0,0,,,4.2;4.1.8;4.2.7;4.3,4,
CVE-2020-22027,0,0,0,0,0,,,,4,true
CVE-2020-22030,0,0,0,0,0,,,,3,true
CVE-2020-22031,0,0,0,0,0,,,,4,true
CVE-2020-22034,0,0,0,0,0,,,,3,true
CVE-2020-22035,0,0,0,0,0,,,,3,true
CVE-2020-22036,0,0,0,0,0,,,4.2;4.1.8;4.2.7;4.3,4,
CVE-2020-22048,0,0,0,0,0,,,,4,true
CVE-2020-23906,3,0,3,0,1,4.2,,,4,
CVE-2020-35965,0,0,0,0,0,,,,5,true
