cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2014-3572,0,0,0,0,0,,,OpenSSL_1_0_1j;OpenSSL_0_9_8zc;OpenSSL_1_0_0o;OpenSSL_1_0_0p;OpenSSL_0_9_8zd;OpenSSL_1_0_1k,6,
CVE-2015-0205,0,0,0,0,0,,,OpenSSL_1_0_1j;OpenSSL_1_0_0o;OpenSSL_0_9_8ze,3,
CVE-2015-0206,0,0,0,0,0,,,,3,true
CVE-2015-0209,0,0,0,0,0,,,OpenSSL_1_0_2;OpenSSL_0_9_8ze;OpenSSL_1_0_0r;OpenSSL_0_9_8zf,4,
CVE-2015-0288,5,3,2,0,0,,,,5,
CVE-2015-1791,1,1,0,2,0,,OpenSSL_1_0_0s;OpenSSL_1_0_1n,OpenSSL_1_0_2b,4,
CVE-2015-1788,0,0,0,0,0,,,OpenSSL_1_0_0r;OpenSSL_0_9_8zf;OpenSSL_1_0_1o;OpenSSL_1_0_2d,4,
CVE-2015-1789,2,0,2,0,2,OpenSSL_1_0_0r;OpenSSL_0_9_8zf,,,4,
CVE-2015-1790,0,0,0,0,0,,,OpenSSL_1_0_0r;OpenSSL_0_9_8zf;OpenSSL_1_0_1o;OpenSSL_1_0_2d,4,
CVE-2015-3196,6,3,3,0,0,,,,6,
CVE-2015-1793,3,0,3,0,0,,,OpenSSL_1_0_1o;OpenSSL_1_0_1n,5,
CVE-2015-3194,3,2,1,0,0,,,,3,
CVE-2015-3195,0,0,0,0,0,,,OpenSSL_1_0_2d;OpenSSL_1_0_1p;OpenSSL_1_0_1o;OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL-fips-2_0_12,6,
CVE-2015-3197,3,3,0,3,0,,OpenSSL-fips-2_0_12;OpenSSL-fips-2_0_10;OpenSSL-fips-2_0_11,,6,
CVE-2016-0705,3,3,0,3,0,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0798,3,3,0,0,0,,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,6,
CVE-2016-0799,6,3,3,0,0,,,,6,
CVE-2016-2842,6,3,3,0,0,,,,6,
CVE-2016-0797,0,0,0,0,0,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,6,
CVE-2016-0702,0,0,0,0,0,,,,6,true
CVE-2016-2109,0,0,0,0,0,,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2f;OpenSSL_1_0_2h;OpenSSL_1_0_1t;OpenSSL_1_0_2i,6,
CVE-2016-2105,6,3,3,0,0,,,,6,
CVE-2016-2106,0,0,0,0,0,,,,6,true
CVE-2016-2107,5,3,2,0,0,,,OpenSSL_1_0_1u,6,
CVE-2016-2108,0,0,0,0,0,,,,6,true
CVE-2016-2176,0,0,0,0,0,,,,6,true
CVE-2016-2177,5,3,2,0,0,,,OpenSSL_1_0_1u,6,
CVE-2016-6304,4,3,1,0,0,,,,4,
CVE-2016-6306,4,3,1,1,0,,OpenSSL_1_0_2j,,5,
CVE-2016-7052,1,1,0,0,0,,,,1,
CVE-2018-0737,4,3,1,1,0,,OpenSSL_1_0_2p,,5,
CVE-2018-0732,3,2,1,0,0,,,OpenSSL_1_1_0h;OpenSSL_1_1_0i;OpenSSL_1_1_1,6,
CVE-2019-1559,1,0,1,0,0,,,OpenSSL_1_0_2q;OpenSSL_1_0_2p;OpenSSL_1_0_2o;OpenSSL_1_1_0k;OpenSSL_1_1_1c,6,
CVE-2019-1543,3,3,0,0,0,,,OpenSSL_1_0_2s;OpenSSL_1_1_0k;OpenSSL_1_1_1c,6,
CVE-2019-1547,0,0,0,0,0,,,,6,true
CVE-2019-1563,0,0,0,0,0,,,OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2s;OpenSSL_1_0_2u;OpenSSL_1_1_1e;OpenSSL_1_1_1f,6,
CVE-2020-1967,3,3,0,3,0,,openssl-3.0.0-alpha2;openssl-3.0.0-alpha3;openssl-3.0.0-alpha4,,6,
CVE-2021-23840,6,3,3,0,0,,,,6,
CVE-2021-4044,3,3,0,0,0,,,openssl-3.0.2;openssl-3.0.3,5,
CVE-2022-1473,2,0,2,0,0,,,openssl-3.0.2;openssl-3.0.1;openssl-3.0.0;OpenSSL_1_1_1o,6,
CVE-2022-1343,0,0,0,0,0,,,openssl-3.0.2;openssl-3.0.1;openssl-3.0.0;openssl-3.0.4;OpenSSL_1_1_1p;openssl-3.0.5,6,
CVE-2022-2274,1,0,1,0,0,,,openssl-3.0.4;OpenSSL_1_1_1q;OpenSSL_1_1_1r,4,
CVE-2022-3358,5,3,2,0,0,,,OpenSSL_1_1_1r,6,
CVE-2022-3602,6,3,3,0,0,,,,6,
CVE-2022-3786,0,0,0,0,0,,,openssl-3.0.6;openssl-3.0.5;openssl-3.0.4;openssl-3.1.0-alpha1;openssl-3.1.0-beta1;openssl-3.0.8,6,
CVE-2022-3996,5,3,2,0,0,,,OpenSSL_1_1_1t,6,
CVE-2022-4203,3,0,3,0,3,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5,,,6,
CVE-2023-0215,4,3,1,2,0,,OpenSSL_1_1_1t;openssl-3.1.0,,6,
CVE-2023-0216,2,0,2,0,0,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5;OpenSSL_1_1_1t,6,
CVE-2023-0401,5,3,2,0,0,,,OpenSSL_1_1_1t,6,
CVE-2023-2650,0,0,0,0,0,,,,6,true
