CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2023-7104,sessionReadRecord,3,0,3,0,3,,,,3.43.0;3.42.0;3.41.2,,,,6,
CVE-2019-20218,selectExpander,3,0,3,0,0,,,,,,3.30.1,,4,
CVE-2019-19317,lookupName,3,1,2,1,0,,,,,3.32.0,,,4,
CVE-2019-19645,renameUnmapSelectCb,3,3,0,3,0,,,,,3.31.0;3.31.1;3.32.0,,,6,
CVE-2019-19645,renameColumnFunc,3,0,3,0,3,,,,3.30.1;3.30.0;3.29.0,,,,6,
CVE-2019-19645,renameTableSelectCb,3,3,0,3,0,,,,,3.31.0;3.31.1;3.32.0,,,6,
CVE-2019-19645,renameTableFunc,3,3,0,3,0,,,,,3.31.0;3.31.1;3.32.0,,,6,
CVE-2019-19645,sqlite3CreateView,0,0,0,0,0,,,,,,3.30.1;3.30.0;3.29.0;3.31.0;3.31.1;3.32.0,,6,
CVE-2019-19880,exprListAppendList,4,1,3,0,0,,,,,,,,4,
CVE-2019-19926,multiSelect,4,1,3,0,0,,,,,,,,4,
CVE-2019-19646,sqlite3CreateColumnExpr,6,3,3,0,0,,,,,,,,6,
CVE-2019-19923,flattenSubquery,0,0,0,3,1,,,,3.30.1,3.31.0;3.31.1;3.32.0,,,4,
CVE-2019-19924,codeCompare,4,1,3,0,0,,,,,,,,4,
CVE-2019-19924,sqlite3WindowRewrite,0,0,0,0,0,,,,,,3.30.1;3.31.0;3.31.1;3.32.0,,4,
CVE-2019-19244,sqlite3Select,1,1,0,3,0,,,,,3.31.0;3.31.1;3.32.0,,,4,
CVE-2019-19242,sqlite3ExprCodeTarget,0,0,0,0,0,,,,,,3.30.1;3.31.0;3.31.1;3.32.0,,4,
CVE-2019-19242,whereIndexExprTransColumn,3,0,3,0,0,,,,,,3.30.1,,4,
