cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2009-0946,0,0,0,0,0,,,2.3.9;2.3.8;2.3.7;2.3.10;2.3.11;2.3.12,6,
CVE-2010-2497,3,3,0,3,0,,2.4.0;2.4.1;2.4.2,,6,
CVE-2010-2498,0,0,0,0,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6,
CVE-2010-2500,0,0,0,0,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6,
CVE-2010-2499,0,0,0,0,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6,
CVE-2010-2519,0,0,0,0,0,,,,6,true
CVE-2010-2520,0,0,0,0,0,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,6,
CVE-2010-2805,3,0,3,0,2,2.4.1;2.4.0,,2.3.12,6,
CVE-2010-2806,3,0,3,0,3,2.4.1;2.4.0;2.3.12,,,6,
CVE-2010-2808,0,0,0,0,0,,,2.4.1;2.4.0;2.3.12;2.4.3;2.4.4;2.4.5,6,
CVE-2010-3814,0,0,0,0,0,,,2.4.3;2.4.2;2.4.1;2.4.4;2.4.5;2.4.6,6,
CVE-2010-3855,0,0,0,0,0,,,2.4.3;2.4.2;2.4.1;2.4.4;2.4.5;2.4.6,6,
CVE-2012-5668,3,0,3,0,3,2.4.10;2.4.9;2.4.8,,,6,
CVE-2012-5669,0,0,0,0,0,,,2.4.10;2.4.9;2.4.8;2.4.11;2.4.12;2.5.0-1,6,
CVE-2012-5670,0,0,0,0,0,,,,6,true
CVE-2014-9746,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9745,3,0,3,0,3,2.5.2;2.5.1;2.5.0,,,6,
CVE-2014-2241,0,0,0,0,0,,,,6,true
CVE-2014-9670,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9671,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9666,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9667,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9668,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9669,0,0,0,0,0,,,,6,true
CVE-2014-9664,3,0,3,0,3,2.5.3;2.5.2;2.5.1,,,6,
CVE-2014-9665,3,3,0,3,0,,2.5.4;2.5.5;2.6,,6,
CVE-2014-9660,6,3,3,0,0,,,,6,
CVE-2014-9661,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9662,6,3,3,0,0,,,,6,
CVE-2014-9663,4,3,1,2,0,,2.5.5;2.6,,6,
CVE-2014-9656,3,3,0,3,0,,2.5.4;2.5.5;2.6,,6,
CVE-2014-9657,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9658,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9673,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9674,0,0,0,0,0,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,6,
CVE-2014-9659,3,3,0,3,0,,2.5.4;2.5.5;2.6,,6,
CVE-2015-9382,3,3,0,3,0,,2.6.1;2.6.2;2.6.3,,6,
CVE-2015-9290,0,0,0,0,0,,,2.5.5;2.5.4;2.5.3;2.6.1;2.6.2;2.6.3,6,
CVE-2015-9381,0,0,0,0,0,,,2.5.5;2.5.4;2.5.3;2.6.1;2.6.2;2.6.3,6,
CVE-2015-9383,3,0,3,0,3,2.6.1;2.5.5;2.5.4,,,6,
CVE-2016-10328,6,3,3,0,0,,,,6,
CVE-2017-7864,3,3,0,3,0,,2.8;2.8.1;2.9,,6,
CVE-2017-7858,3,3,0,3,0,,2.8;2.8.1;2.9,,6,
CVE-2017-7857,0,0,0,0,0,,,,5,true
CVE-2017-8105,3,3,0,2,0,,2.8;2.8.1,2.9,6,
CVE-2017-8287,3,3,0,3,0,,2.8;2.8.1;2.9,,6,
