CVE,funcname,succeed,false_positive,false_negative,failed_versions,func_not_found,targets,no_sig
CVE-2016-0705,dsa_priv_decode,3,,OpenSSL_1_1_0-pre3;OpenSSL-fips-2_0_10;OpenSSL-fips-2_0_12,,,6,
CVE-2016-0798,ssl_srp_server_param_cb,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-0798,sv_body,1,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0798,init_ssl_connection,1,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0798,www_body,1,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0798,rev_body,1,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0799,_dopr,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-0799,fmtint,2,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0799,fmtfp,3,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q,,,,6,
CVE-2016-0799,doapr_outch,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-0799,BIO_vprintf,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-0799,BIO_vsnprintf,2,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_1_0-pre3,,6,
CVE-2016-2842,_dopr,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-2842,fmtint,2,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_1_0-pre3,,6,
CVE-2016-2842,fmtfp,3,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q,,,,6,
CVE-2016-2842,doapr_outch,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-2842,BIO_vprintf,5,,OpenSSL_1_1_0-pre3,,,6,
CVE-2016-2842,BIO_vsnprintf,2,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0797,BN_hex2bn,0,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,,6,
CVE-2016-0797,BN_dec2bn,0,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,,6,
CVE-2016-2109,asn1_d2i_read_bio,0,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_1r;OpenSSL_1_0_2h;OpenSSL_1_0_1t,,5,
CVE-2016-2105,EVP_EncodeUpdate,5,,,,,5,
CVE-2016-2106,EVP_EncryptUpdate,0,,,,,5,true
CVE-2016-2107,aesni_cbc_hmac_sha1_cipher,5,,,,,5,
CVE-2016-2107,aesni_cbc_hmac_sha256_cipher,1,OpenSSL_1_0_2g,,OpenSSL_1_0_1s;OpenSSL_1_0_1r;OpenSSL_1_0_1t,,5,
CVE-2016-2108,ASN1_TYPE_cmp,0,,,,,3,true
CVE-2016-2108,asn1_ex_c2i,0,,,,,3,true
CVE-2016-2108,asn1_ex_i2c,0,,,,,3,true
CVE-2016-2176,X509_NAME_oneline,0,,,,,5,true
CVE-2016-2177,ssl3_get_client_hello,4,,,,,4,
CVE-2016-2177,ssl_get_prev_session,4,,,,,4,
CVE-2016-2177,ssl_check_for_safari,4,,,,,4,
CVE-2016-2177,ssl_scan_clienthello_tlsext,3,,,OpenSSL_1_0_1t,,4,
CVE-2016-2177,ssl_scan_clienthello_custom_tlsext,3,,,OpenSSL_1_0_1t,,4,
CVE-2016-2177,ssl_scan_serverhello_tlsext,3,,,OpenSSL_1_0_1t,,4,
CVE-2016-2177,tls1_process_ticket,4,,,,,4,
CVE-2016-6304,ssl_parse_clienthello_tlsext,3,,OpenSSL_1_0_2i,,,4,
CVE-2016-6306,ssl3_get_server_certificate,5,,,,,5,
CVE-2016-6306,ssl3_get_certificate_request,4,,OpenSSL_1_0_2i,,,5,
CVE-2016-6306,ssl3_get_client_certificate,5,,,,,5,
