CVE,funcname,succeed,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2013-0338,xmlStringLenDecodeEntities,3,,2.9.1;2.9.2-rc1;2.9.2-rc2,,,,6
CVE-2013-0338,xmlCtxtReset,3,,2.9.1;2.9.2-rc1;2.9.2-rc2,,,,6
CVE-2013-0338,xmlParserEntityCheck,3,2.9.0;2.8.0;2.8.0-rc2,,,,,6
CVE-2013-0338,xmlInitParserCtxt,3,,2.9.1;2.9.2-rc1;2.9.2-rc2,,,,6
CVE-2013-0338,xmlParseReference,3,2.9.0;2.8.0;2.8.0-rc2,,,,,6
CVE-2013-0339,xmlParseReference,3,2.9.0-rc2;2.9.0;2.8.0,,,,,6
CVE-2013-1969,htmlParseChunk,3,2.9.0,,,,,4
CVE-2014-3660,xmlParseReference,3,2.9.1;2.9.0;2.9.0-rc2,,,,,6
CVE-2015-5312,xmlStringLenDecodeEntities,3,2.9.2;2.9.1;2.9.0,,,,,6
CVE-2015-7497,xmlDictComputeFastQKey,3,,2.9.4;2.9.5-rc1;2.9.5-rc2,,,,6
CVE-2015-7498,xmlParseXMLDecl,3,2.9.2;2.9.1;2.9.0,,,,,6
CVE-2015-7498,xmlParseDocument,3,2.9.2;2.9.1;2.9.0,,,,,6
CVE-2015-7498,xmlSwitchEncoding,3,2.9.2;2.9.1;2.9.0,,,,,6
CVE-2015-7499,xmlHaltParser,0,,,2.9.2;2.9.1;2.9.0;2.9.4;2.9.5-rc1;2.9.5-rc2,,,6
CVE-2015-7499,xmlStopParser,6,,,,,,6
CVE-2015-7500,xmlParseStartTag2,3,2.9.2;2.9.1;2.9.0,,,,,6
CVE-2015-7941,xmlParseConditionalSections,1,,2.9.3;2.9.4;2.9.5-rc1,,,,4
CVE-2015-8241,xmlParseMarkupDecl,3,2.9.2;2.9.1;2.9.0,,,,,6
CVE-2015-8317,xmlParseEncodingDecl,3,,2.9.3;2.9.4;2.9.5-rc1,,,,6
CVE-2015-8710,htmlParseComment,3,,2.9.3;2.9.4;2.9.5-rc1,,,,6
CVE-2016-1762,xmlParseInternalSubset,3,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-1833,xmlNextChar,3,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-1834,xmlStrncatNew,6,,,,,,6
CVE-2016-1834,xmlStrncat,3,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-1836,spacePop,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-1837,htmlNodeInfoPop,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-1837,htmlParseSystemLiteral,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-1838,xmlParseEndTag2,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4449,xmlStringLenDecodeEntities,3,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-4483,xmlBufAttrSerializeTxtContent,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewCollapsedRange,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodeObject,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodes,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangePoints,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangePointNode,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodePoint,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRange,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangeInternal,0,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2017-16932,xmlPushInput,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-16932,xmlParsePEReference,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-5130,xmlReallocLoc,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-5130,xmlMallocLoc,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-5130,xmlMemStrdupLoc,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-7375,xmlParsePEReference,3,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2018-14404,xmlXPathCompOpEval,3,2.9.8;2.9.7;2.9.7-rc1,,,,,6
CVE-2019-19956,xmlParseBalancedChunkMemoryRecover,3,2.9.9;2.9.9-rc2;2.9.9-rc1,,,,,6
CVE-2020-7595,xmlStringLenDecodeEntities,3,2.9.10,,,,,4
CVE-2022-23308,xmlAddRef,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlRemoveID,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlAddID,5,,2.10.0,,,,6
CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue,4,,2.9.13;2.9.14,,,,6
CVE-2022-23308,xmlValidNormalizeAttributeValue,5,,2.10.0,,,,6
CVE-2022-23308,xmlIsStreaming,0,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14;2.10.0,,,6
CVE-2022-23308,xmlValidNormalizeString,0,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14;2.10.0,,,6
CVE-2022-29824,xmlBufAdd,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufferCreateSize,6,,,,,,6
CVE-2022-29824,xmlBufferCreateStatic,6,,,,,,6
CVE-2022-29824,xmlBufferResize,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufCreateSize,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufGrowInternal,0,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,,6
CVE-2022-29824,xmlBufResize,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufCCat,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufferGrow,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufferCCat,0,2.9.13;2.9.11;2.9.12,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-40303,xmlParseCDSect,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseStringName,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseEntityValue,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseSystemLiteral,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlFatalErr,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseAttValueInternal,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseNCName,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseName,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParsePI,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseNmtoken,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParsePubidLiteral,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseComment,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40304,xmlFreeEntity,3,2.10.2;2.10.1;2.10.0,,,,,6
CVE-2022-40304,xmlCreateEntity,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2023-28484,xmlSchemaFixupComplexType,3,2.10.3;2.10.2;2.10.1,,,,,6
