CVE,funcname,succeed,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-12893,name_len,4,,,,,,4
CVE-2017-12894,lookup_bytestring,4,,,,,,4
CVE-2017-12894,le64addr_string,0,,3059f3581287;f477e59db0cc;db3f9f277f42;d8bf24c8743e,,,,4
CVE-2017-12894,linkaddr_string,0,,3059f3581287;f477e59db0cc;db3f9f277f42;d8bf24c8743e,,,,4
CVE-2017-12894,lookup_emem,0,,3059f3581287;f477e59db0cc;db3f9f277f42;d8bf24c8743e,,,,4
CVE-2017-12895,icmp_print,4,,,,,,4
CVE-2017-12896,isakmp_rfc3948_print,4,,,,,,4
CVE-2017-12897,fr_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,handle_ppp,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,ethertype_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,juniper_atm1_print,0,,,,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,4
CVE-2017-12897,gre_print_0,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,atm_if_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,juniper_atm2_print,0,,,,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,4
CVE-2017-12897,null_if_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,llc_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,chdlc_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12897,juniper_mfr_print,0,,,,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,4
CVE-2017-12897,juniper_mlppp_print,0,,,,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,4
CVE-2017-12897,juniper_mlfr_print,0,,,,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,4
CVE-2017-12897,isoclns_print,4,,,,,,4
CVE-2017-12897,mpls_print,0,,e2982e7f6f0b;1a04b92e365f;ee68aa36460d;6e1fdd00a653,,,,4
CVE-2017-12898,parserep,1,,21b12733b62c;e2982e7f6f0b;279bd14fc59e,,,,4
CVE-2017-12898,nfsreq_print_noaddr,0,,,,,577621026df8;21b12733b62c;e2982e7f6f0b;279bd14fc59e,4
CVE-2017-12898,interp_reply,0,,577621026df8;21b12733b62c;e2982e7f6f0b;279bd14fc59e,,,,4
CVE-2017-12899,print_decnet_ctlmsg,0,,8bbad56e3761;5c2027db8817;bef667db65b1;ee68aa36460d,,,,4
CVE-2017-12899,decnet_print,4,,,,,,4
CVE-2017-12901,eigrp_print,4,,,,,,4
CVE-2017-12902,zephyr_print,2,,676778970d1c;29973d83e8ce,,,,4
CVE-2017-12985,ip6_print,4,,,,,,4
CVE-2017-12985,mobility_print,0,,db7a7633e65e;e2982e7f6f0b;2055e39f2af0;ca71c847281b,,,,4
CVE-2017-12987,parse_elements,0,,ee68aa36460d;e2982e7f6f0b;cb9b66505924;39c8c55aa9ff,,,,4
CVE-2017-12988,telnet_parse,4,,,,,,4
CVE-2017-12989,resp_get_length,2,,abc8c2d61c65;ee68aa36460d,,,,4
CVE-2017-12990,ikev1_n_print,4,,,,,,4
CVE-2017-12990,isakmp_rfc3948_print,0,,d526e47658b6;e2982e7f6f0b;794a259a335c;e9b059b7a948,,,,4
CVE-2017-12990,ikev2_n_print,4,,,,,,4
CVE-2017-12990,ikev1_nonce_print,0,,d526e47658b6;e2982e7f6f0b;794a259a335c;e9b059b7a948,,,,4
CVE-2017-12990,ikev2_auth_print,0,,d526e47658b6;e2982e7f6f0b;794a259a335c;e9b059b7a948,,,,4
CVE-2017-12991,bgp_attr_print,3,,24df77f09e26,,,,4
CVE-2017-12992,ripng_print,4,,,,,,4
CVE-2017-12993,juniper_es_print,0,,,,,21b12733b62c;e2982e7f6f0b;61c422a88cae;3712d818767d,4
