cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2017-13710,4,4,100.00%,,,
CVE-2017-13757,4,4,100.00%,,,
CVE-2017-14128,2,4,50.00%,,,2.31;2.30
CVE-2017-14129,2,4,50.00%,,,2.31;2.30
CVE-2017-14130,3,4,75.00%,,2.29,
CVE-2017-14529,4,4,100.00%,,,
CVE-2017-14729,2,2,100.00%,,,
CVE-2017-14932,4,4,100.00%,,,
CVE-2017-14933,4,4,100.00%,,,
CVE-2017-14934,4,4,100.00%,,,
CVE-2017-14938,3,4,75.00%,,,2.29.1
CVE-2017-14939,3,4,75.00%,,,2.29.1
CVE-2017-14940,3,4,75.00%,,,2.29.1
CVE-2017-14974,1,4,25.00%,,,2.31;2.30;2.29.1
CVE-2017-15020,4,4,100.00%,,,
CVE-2017-15021,3,4,75.00%,,,2.29.1
CVE-2017-15022,4,4,100.00%,,,
CVE-2017-15024,2,4,50.00%,2.31,,2.29.1
CVE-2017-15025,3,4,75.00%,,,2.29.1
CVE-2017-15225,4,4,100.00%,,,
CVE-2017-15938,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2017-15939,4,4,100.00%,,,
CVE-2017-15996,4,4,100.00%,,,
CVE-2017-16828,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2017-16829,4,4,100.00%,,,
CVE-2017-16830,4,4,100.00%,,,
CVE-2017-16831,4,4,100.00%,,,
CVE-2017-17122,4,4,100.00%,,,
CVE-2017-17124,4,4,100.00%,,,
CVE-2017-17126,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2017-9043,0,3,0.00%,,,2.30;2.29.1;2.29
CVE-2018-1000876,6,6,100.00%,,,
CVE-2018-18605,4,4,100.00%,,,
CVE-2018-18606,4,4,100.00%,,,
CVE-2018-18607,4,4,100.00%,,,
CVE-2018-19932,6,6,100.00%,,,
CVE-2018-20002,4,4,100.00%,,,
CVE-2018-20651,4,4,100.00%,,,
CVE-2018-20671,6,6,100.00%,,,
CVE-2018-6872,4,4,100.00%,,,
CVE-2018-7570,3,4,75.00%,,2.30,
CVE-2019-17451,2,4,50.00%,,2.32,2.33.1
CVE-2020-16590,1,4,25.00%,,,2.36.1;2.35.2;2.35.1
CVE-2020-16591,3,4,75.00%,,2.35,
CVE-2020-16593,3,4,75.00%,,2.35,
CVE-2020-16599,3,4,75.00%,,2.35,
CVE-2020-19724,5,6,83.33%,,2.31.1,
CVE-2020-35448,3,4,75.00%,,,2.35.2
CVE-2021-20294,5,5,100.00%,,,
CVE-2021-45078,3,6,50.00%,,,2.38;2.39;2.40
CVE-2022-38533,0,6,0.00%,2.38;2.41;2.39;2.42;2.37;2.40,,
CVE-2022-48063,6,6,100.00%,,,
CVE-2022-48064,6,6,100.00%,,,
CVE-2022-48065,3,6,50.00%,,,2.41;2.42;2.40
CVE-2023-1579,1,4,25.00%,,,2.40;2.41;2.42
CVE-2023-25586,3,4,75.00%,,2.40,
