cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-7299,3,4,3,0,1,0,,,2.28,
CVE-2017-7303,3,4,3,0,1,0,,,2.28,
CVE-2017-7304,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-6965,0,3,0,0,0,3,,,,2.29;2.29.1;2.30
CVE-2017-6966,0,3,0,0,0,3,,,,2.29;2.29.1;2.30
CVE-2017-7209,3,3,3,0,0,0,,,,
CVE-2017-6969,0,3,0,0,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9038,3,3,3,0,0,0,,,,
CVE-2017-9039,0,3,0,0,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9040,0,3,0,0,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9043,0,3,0,0,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8392,3,4,3,0,1,0,,,2.28,
CVE-2017-8394,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8395,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8397,3,4,3,0,1,0,,,2.28,
CVE-2017-8398,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8396,0,4,0,0,1,3,,,2.28,2.29;2.29.1;2.30
CVE-2017-8421,3,4,3,0,1,0,,,2.28,
CVE-2017-9954,0,4,0,0,1,3,,,2.28,2.29;2.29.1;2.30
CVE-2017-9955,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-13710,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-12967,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-13757,3,4,3,0,1,0,,,2.29,
CVE-2017-14129,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-12799,3,4,3,0,1,0,,,2.29,
CVE-2017-14128,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-14130,3,4,3,0,1,0,,,2.29,
CVE-2017-12448,3,5,3,0,2,0,,,2.28;2.29,
CVE-2017-14529,3,4,3,0,1,0,,,2.29,
CVE-2017-14745,2,2,2,0,0,0,,,,
CVE-2017-14729,3,4,3,0,1,0,,,2.29,
CVE-2017-14974,3,4,3,0,1,0,,,2.29,
CVE-2017-14930,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-14938,3,4,3,0,1,0,,,2.29,
CVE-2017-14939,3,4,3,0,1,0,,,2.29,
CVE-2017-14940,3,4,3,0,1,0,,,2.29,
CVE-2017-15021,3,4,2,1,0,1,,,,2.29.1
CVE-2017-15024,0,4,0,0,1,3,,,2.29,2.29.1;2.30;2.31
CVE-2017-15025,3,4,3,0,1,0,,,2.29,
CVE-2017-15020,4,4,3,1,0,0,,,,
CVE-2017-15022,3,4,3,0,1,0,,,2.29,
CVE-2017-15023,3,4,3,0,1,0,,,2.29,
CVE-2017-14932,3,4,3,0,1,0,,,2.29,
CVE-2017-14933,3,4,3,0,1,0,,,2.29,
CVE-2017-15938,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-15939,3,4,3,0,1,0,,,2.29,
CVE-2017-14934,0,4,0,0,1,3,,,2.29,2.30;2.31;2.31.1
CVE-2017-15225,3,4,3,0,1,0,,,2.29,
CVE-2017-16829,0,4,0,0,1,3,,,2.29.1,2.30;2.31;2.31.1
CVE-2017-15996,0,4,0,0,1,3,,,2.29,2.30;2.31;2.31.1
CVE-2017-16830,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-16828,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-16831,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-17080,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-17124,4,4,3,1,0,0,,,,
CVE-2017-17122,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
