cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-12893,3,3,0,3,0,0,,,,
CVE-2017-12894,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12895,6,6,3,3,0,0,,,,
CVE-2017-12896,6,6,3,3,0,0,,,,
CVE-2017-12897,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12898,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12899,3,6,1,2,1,2,,,4.9.1,4.99-bp;4.99.0-bp
CVE-2017-12901,6,6,3,3,0,0,,,,
CVE-2017-12902,4,6,1,3,0,2,,,,4.99-bp;4.99.0-bp
CVE-2017-12985,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12987,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12988,5,6,3,2,1,0,,,4.8.1,
CVE-2017-12989,3,5,1,2,0,2,,,,4.99-bp;4.99.0-bp
CVE-2017-12990,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12991,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12992,6,6,3,3,0,0,,,,
CVE-2017-12993,4,6,1,3,0,2,,,,4.99-bp;4.99.0-bp
CVE-2017-12994,6,6,3,3,0,0,,,,
CVE-2017-12995,4,4,1,3,0,0,,,,
CVE-2017-12996,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-12997,6,6,3,3,0,0,,,,
CVE-2017-12998,6,6,3,3,0,0,,,,
CVE-2017-12999,4,6,1,3,0,2,,,,4.99-bp;4.99.0-bp
CVE-2017-13000,3,6,3,0,3,0,,,4.8.1;4.9.0;4.9.1,
CVE-2017-13001,6,6,3,3,0,0,,,,
CVE-2017-13002,6,6,3,3,0,0,,,,
CVE-2017-13003,6,6,3,3,0,0,,,,
CVE-2017-13004,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13005,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13006,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13007,6,6,3,3,0,0,,,,
CVE-2017-13008,4,6,1,3,0,2,,,,4.99-bp;4.99.0-bp
CVE-2017-13009,6,6,3,3,0,0,,,,
CVE-2017-13011,6,6,3,3,0,0,,,,
CVE-2017-13012,3,6,3,0,3,0,,,4.8.1;4.9.0;4.9.1,
CVE-2017-13013,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13014,4,6,1,3,0,2,,,,4.99-bp;4.99.0-bp
CVE-2017-13015,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13016,6,6,3,3,0,0,,,,
CVE-2017-13017,6,6,3,3,0,0,,,,
CVE-2017-13018,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13019,6,6,3,3,0,0,,,,
CVE-2017-13020,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13021,6,6,3,3,0,0,,,,
CVE-2017-13022,3,6,0,3,0,3,,,,4.9.3;4.99-bp;4.99.0-bp
CVE-2017-13023,6,6,3,3,0,0,,,,
CVE-2017-13024,3,6,1,2,1,2,,,4.8.1,4.99-bp;4.99.0-bp
CVE-2017-13025,5,6,3,2,1,0,,,4.8.1,
