cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2016-6153,2,5,0,2,0,3,,,,3.13.0;3.14.1;3.14.2
CVE-2018-20346,0,6,0,0,3,3,,,3.25.0;3.25.1;3.25.2,3.25.3;3.26.0;3.27.0
CVE-2019-19242,3,4,3,0,1,0,,,3.30.1,
CVE-2019-19244,3,4,3,0,1,0,,,3.30.1,
CVE-2019-19317,1,4,0,1,0,3,,,,3.31.0;3.31.1;3.32.0
CVE-2019-19645,0,6,0,0,3,3,,,3.29.0;3.30.0;3.30.1,3.31.0;3.31.1;3.32.0
CVE-2019-19646,3,6,3,0,3,0,,,3.29.0;3.30.0;3.30.1,
CVE-2019-19880,1,4,0,1,0,3,,,,3.31.0;3.31.1;3.32.0
CVE-2019-19923,3,4,3,0,1,0,,,3.30.1,
CVE-2019-19924,0,4,0,0,1,3,,,3.30.1,3.31.0;3.31.1;3.32.0
CVE-2019-19925,3,4,3,0,1,0,,,3.30.1,
CVE-2019-19926,1,4,0,1,0,3,,,,3.31.0;3.31.1;3.32.0
CVE-2019-19959,3,4,3,0,1,0,,,3.30.1,
CVE-2019-20218,3,4,3,0,1,0,,,3.30.1,
CVE-2019-8457,6,6,3,3,0,0,,,,
CVE-2020-11655,3,6,0,3,0,3,,,,3.32.0;3.32.1;3.32.2
CVE-2020-11656,0,6,0,0,0,3,,3.30.1;3.31.0;3.31.1;3.32.0;3.32.1;3.32.2,,3.32.0;3.32.1;3.32.2
CVE-2020-13434,0,6,0,0,3,3,,,3.31.0;3.31.1;3.32.0,3.32.1;3.32.2;3.32.3
CVE-2020-13630,3,6,0,3,0,3,,,,3.32.0;3.32.1;3.32.2
CVE-2020-13632,3,6,3,0,3,0,,,3.30.1;3.31.0;3.31.1,
CVE-2020-15358,0,6,0,0,3,3,,,3.32.0;3.32.1;3.32.2,3.32.3;3.33.0;3.34.0
CVE-2020-35525,3,4,3,0,1,0,,,3.31.1,
CVE-2020-35527,3,4,3,0,1,0,,,3.31.1,
CVE-2021-31239,1,4,0,1,0,3,,,,3.35.5;3.36.0;3.37.0
CVE-2021-36690,3,4,3,0,1,0,,,3.36.0,
CVE-2022-46908,3,6,0,3,0,3,,,,3.40.1;3.41.0;3.41.1
CVE-2023-7104,3,6,3,0,3,0,,,3.41.2;3.42.0;3.43.0,
