cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2009-0946,3,6,0,3,0,3,,,,2.3.10;2.3.11;2.3.12
CVE-2010-2497,3,6,0,3,0,3,,,,2.4.0;2.4.1;2.4.2
CVE-2010-2498,0,0,0,0,0,0,,,,
CVE-2010-2500,3,6,0,3,0,3,,,,2.4.0;2.4.1;2.4.2
CVE-2010-2499,0,0,0,0,0,0,,,,
CVE-2010-2519,0,0,0,0,0,0,,,,
CVE-2010-2520,0,0,0,0,0,0,,,,
CVE-2010-2805,3,6,0,3,0,3,,,,2.4.2;2.4.3;2.4.4
CVE-2010-2806,3,6,3,0,3,0,,,2.3.12;2.4.0;2.4.1,
CVE-2010-2808,0,0,0,0,0,0,,,,
CVE-2010-3814,0,0,0,0,0,0,,,,
CVE-2010-3855,3,6,3,0,3,0,,,2.4.1;2.4.2;2.4.3,
CVE-2012-5668,3,6,0,3,0,3,,,,2.4.11;2.4.12;2.5.0-1
CVE-2012-5669,3,6,0,3,0,3,,,,2.4.11;2.4.12;2.5.0-1
CVE-2012-5670,3,6,3,0,3,0,,,2.4.10;2.4.8;2.4.9,
CVE-2014-9746,0,6,0,0,3,3,,,2.5.1;2.5.2;2.5.3,2.5.4;2.5.5;2.6
CVE-2014-9745,3,6,3,0,3,0,,,2.5.0;2.5.1;2.5.2,
CVE-2014-2241,0,0,0,0,0,0,,,,
CVE-2014-9670,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9671,0,0,0,0,0,0,,,,
CVE-2014-9666,0,0,0,0,0,0,,,,
CVE-2014-9667,4,6,1,3,0,2,,,,2.5.4;2.5.5
CVE-2014-9668,0,0,0,0,0,0,,,,
CVE-2014-9669,0,6,0,0,3,3,,,2.5.1;2.5.2;2.5.3,2.5.4;2.5.5;2.6
CVE-2014-9664,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9665,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9660,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9661,3,6,0,3,0,3,,,,2.5.4;2.5.5;2.6
CVE-2014-9662,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9663,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9656,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2014-9657,0,6,0,0,3,3,,,2.5.1;2.5.2;2.5.3,2.5.4;2.5.5;2.6
CVE-2014-9658,3,6,0,3,0,3,,,,2.5.4;2.5.5;2.6
CVE-2014-9673,0,0,0,0,0,0,,,,
CVE-2014-9674,0,0,0,0,0,0,,,,
CVE-2014-9659,3,6,3,0,3,0,,,2.5.1;2.5.2;2.5.3,
CVE-2015-9382,3,6,3,0,3,0,,,2.5.3;2.5.4;2.5.5,
CVE-2015-9290,0,0,0,0,0,0,,,,
CVE-2015-9381,0,0,0,0,0,0,,,,
CVE-2015-9383,3,6,3,0,3,0,,,2.5.4;2.5.5;2.6.1,
CVE-2016-10328,3,6,3,0,3,0,,,2.6.4;2.6.5;2.7,
CVE-2017-7864,6,6,3,3,0,0,,,,
CVE-2017-7858,3,6,3,0,3,0,,,2.6.5;2.7;2.7.1,
CVE-2017-7857,3,5,3,0,2,0,,,2.7;2.7.1,
CVE-2017-8105,2,5,2,0,3,0,,,2.6.4;2.6.5;2.7,
CVE-2017-8287,3,6,3,0,3,0,,,2.6.5;2.7;2.7.1,
