CVE,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2017-2629,3,6,50.00%,,,7.53.0;7.54.0;7.53.1
CVE-2013-1944,4,4,100.00%,,,
CVE-2018-16840,6,6,100.00%,,,
CVE-2018-1000301,6,6,100.00%,,,
CVE-2016-9586,6,6,100.00%,,,
CVE-2017-9502,6,6,100.00%,,,
CVE-2017-7407,1,4,25.00%,,,7.54.1;7.54.0;7.55.0
CVE-2018-16839,6,6,100.00%,,,
CVE-2018-1000300,6,6,100.00%,,,
CVE-2023-46219,3,6,50.00%,,,8.5.0;8.7.1;8.6.0
CVE-2016-8621,6,6,100.00%,,,
CVE-2018-0500,5,6,83.33%,,,7.62.0
CVE-2013-0249,3,3,100.00%,,,
CVE-2014-0015,6,6,100.00%,,,
CVE-2020-8169,3,6,50.00%,,,7.71.0;7.71.1;7.72.0
CVE-2017-8817,6,6,100.00%,,,
CVE-2021-22898,6,6,100.00%,,,
CVE-2019-5482,6,6,100.00%,,,
CVE-2016-8624,6,6,100.00%,,,
CVE-2016-8618,6,6,100.00%,,,
CVE-2023-46218,6,6,100.00%,,,
CVE-2016-8617,3,6,50.00%,,,7.51.0;7.52.1;7.52.0
CVE-2017-1000101,5,6,83.33%,,7.55.0,
CVE-2016-9594,4,4,100.00%,,,
CVE-2018-1000122,6,6,100.00%,,,
CVE-2018-16842,6,6,100.00%,,,
CVE-2022-42916,4,6,66.67%,,,7.87.0;7.88.0
CVE-2022-42915,4,6,66.67%,,,7.87.0;7.88.0
CVE-2020-8284,3,6,50.00%,,,7.75.0;7.74.0;7.76.0
CVE-2020-8177,4,6,66.67%,,,7.71.1;7.72.0
CVE-2019-5435,6,6,100.00%,,,
CVE-2018-1000007,0,6,0.00%,7.56.0;7.57.0;7.56.1,,7.59.0;7.58.0;7.60.0
CVE-2018-1000120,3,6,50.00%,,,7.59.0;7.60.0;7.61.0
CVE-2017-8818,3,5,60.00%,,,7.59.0;7.58.0
CVE-2017-8816,6,6,100.00%,,,
CVE-2016-8625,0,6,0.00%,7.50.2;7.50.3;7.50.1,,7.51.0;7.52.1;7.52.0
CVE-2016-8623,0,6,0.00%,7.50.2;7.50.3;7.50.1,,7.51.0;7.52.1;7.52.0
