cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2009-0946,6,6,100.00%,,,
CVE-2010-2497,6,6,100.00%,,,
CVE-2010-2498,6,6,100.00%,,,
CVE-2010-2500,6,6,100.00%,,,
CVE-2010-2499,6,6,100.00%,,,
CVE-2010-2519,3,6,50.00%,,2.3.11;2.3.12;2.3.10,
CVE-2010-2520,6,6,100.00%,,,
CVE-2010-2805,3,6,50.00%,,,2.4.4;2.4.2;2.4.3
CVE-2010-2806,6,6,100.00%,,,
CVE-2010-2808,5,6,83.33%,,2.3.12,
CVE-2010-3814,6,6,100.00%,,,
CVE-2010-3855,6,6,100.00%,,,
CVE-2012-5668,6,6,100.00%,,,
CVE-2012-5669,6,6,100.00%,,,
CVE-2012-5670,5,6,83.33%,,2.4.8,
CVE-2014-9746,5,6,83.33%,,2.5.3,
CVE-2014-9745,6,6,100.00%,,,
CVE-2014-2241,3,6,50.00%,,,2.5.4;2.5.3;2.5.5
CVE-2014-9670,6,6,100.00%,,,
CVE-2014-9671,6,6,100.00%,,,
CVE-2014-9666,6,6,100.00%,,,
CVE-2014-9667,6,6,100.00%,,,
CVE-2014-9668,6,6,100.00%,,,
CVE-2014-9669,6,6,100.00%,,,
CVE-2014-9664,6,6,100.00%,,,
CVE-2014-9665,6,6,100.00%,,,
CVE-2014-9660,6,6,100.00%,,,
CVE-2014-9661,3,6,50.00%,,,2.5.4;2.6;2.5.5
CVE-2014-9662,6,6,100.00%,,,
CVE-2014-9663,6,6,100.00%,,,
CVE-2014-9656,6,6,100.00%,,,
CVE-2014-9657,6,6,100.00%,,,
CVE-2014-9658,6,6,100.00%,,,
CVE-2014-9673,3,6,50.00%,,,2.5.4;2.6;2.5.5
CVE-2014-9674,3,6,50.00%,,,2.5.4;2.6;2.5.5
CVE-2014-9659,6,6,100.00%,,,
CVE-2015-9382,6,6,100.00%,,,
CVE-2015-9290,6,6,100.00%,,,
CVE-2015-9381,6,6,100.00%,,,
CVE-2015-9383,6,6,100.00%,,,
CVE-2016-10328,5,6,83.33%,,,2.8.1
CVE-2017-7864,6,6,100.00%,,,
CVE-2017-7858,3,6,50.00%,,,2.8.1;2.9;2.8
CVE-2017-7857,2,5,40.00%,,,2.8.1;2.9;2.8
CVE-2017-8105,3,5,60.00%,,,2.8.1;2.8
CVE-2017-8287,6,6,100.00%,,,
