cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-2629,allocate_conn,3,0,3,,7.53.0;7.53.1;7.54.0,,,,6
CVE-2013-1944,tailmatch,4,3,1,,,,,,4
CVE-2018-16840,Curl_close,6,3,3,,,,,,6
CVE-2018-1000301,Curl_http_readwrite_headers,6,3,3,,,,,,6
CVE-2016-9586,_string_check,0,0,0,,,7.51.0;7.50.3;7.50.2;7.52.0;7.52.1;7.53.0,,,6
CVE-2016-9586,_strlen_check,0,0,0,,,7.51.0;7.50.3;7.50.2;7.52.0;7.52.1;7.53.0,,,6
CVE-2016-9586,dprintf_formatf,6,3,3,,,,,,6
CVE-2016-9586,string_check,0,0,0,,,7.51.0;7.50.3;7.50.2;7.52.0;7.52.1;7.53.0,,,6
CVE-2016-9586,test,0,0,0,,,7.51.0;7.50.3;7.50.2;7.52.0;7.52.1;7.53.0,,,6
CVE-2016-9586,test_float_formatting,0,0,0,,,7.51.0;7.50.3;7.50.2;7.52.0;7.52.1;7.53.0,,,6
CVE-2017-9502,parseurlandfillconn,6,3,3,,,,,,6
CVE-2017-7407,ourWriteOut,4,3,1,,,,,,4
CVE-2018-16839,Curl_auth_create_plain_message,6,3,3,,,,,,6
CVE-2018-1000300,Curl_pp_readresp,6,3,3,,,,,,6
CVE-2023-46219,Curl_fopen,3,0,3,,8.5.0;8.6.0;8.7.1,,,,6
CVE-2023-46219,dirslash,0,0,0,,,8.4.0;8.2.1;8.2.0;8.5.0;8.6.0;8.7.1,,,6
CVE-2016-8621,parsedate,6,3,3,,,,,,6
CVE-2018-0500,Curl_smtp_escape_eob,5,2,3,,7.62.0,,,,6
CVE-2013-0249,Curl_sasl_create_digest_md5_message,3,3,0,,,,,,3
CVE-2014-0015,ConnectionExists,6,3,3,,,,,,6
CVE-2020-8169,override_login,3,0,3,,7.71.0;7.71.1;7.72.0,,,,6
CVE-2017-8817,setcharset,6,3,3,,,,,,6
CVE-2021-22898,suboption,6,3,3,,,,,,6
CVE-2019-5482,tftp_connect,6,3,3,,,,,,6
CVE-2016-8624,parseurlandfillconn,6,3,3,,,,,,6
CVE-2016-8618,alloc_addbyter,6,3,3,,,,,,6
CVE-2023-46218,Curl_cookie_add,6,3,3,,,,,,6
CVE-2016-8617,base64_encode,3,0,3,,7.51.0;7.52.0;7.52.1,,,,6
CVE-2017-1000101,glob_range,5,3,2,7.55.0,,,,,6
CVE-2016-9594,randit,4,3,1,,,,,7.51.0;7.50.3,6
CVE-2018-1000122,readwrite_data,6,3,3,,,,,,6
CVE-2018-16842,voutf,6,3,3,,,,,,6
CVE-2022-42916,parseurlandfillconn,4,1,3,,7.87.0;7.88.0,,,,6
CVE-2022-42916,create_conn,6,3,3,,,,,,6
CVE-2022-42915,Curl_connect_done,4,1,3,,,,,7.87.0;7.88.0,6
CVE-2022-42915,conn_shutdown,4,1,3,,7.87.0;7.88.0,,,,6
CVE-2020-8284,config_init,6,3,3,,,,,,6
CVE-2020-8284,Curl_init_userdefined,3,0,3,,7.74.0;7.75.0;7.76.0,,,,6
CVE-2020-8177,tool_header_cb,4,1,3,,7.71.1;7.72.0,,,,6
CVE-2020-8177,getparameter,6,3,3,,,,,,6
CVE-2019-5435,Curl_setstropt,6,3,3,,,,,,6
CVE-2019-5435,curl_url_set,6,3,3,,,,,,6
CVE-2019-5435,seturl,6,3,3,,,,,,6
CVE-2019-5435,test,0,0,0,,,7.64.1;7.64.0;7.63.0;7.65.0;7.65.1;7.65.2,,,6
CVE-2018-1000007,Curl_vsetopt,0,0,0,,7.58.0;7.59.0;7.60.0,,,7.57.0;7.56.1;7.56.0,6
CVE-2018-1000007,Curl_add_custom_headers,6,3,3,,,,,,6
CVE-2018-1000007,Curl_http_output_auth,3,0,3,,7.58.0;7.59.0;7.60.0,,,,6
CVE-2018-1000120,ftp_done,3,0,3,,7.59.0;7.60.0;7.61.0,,,,6
CVE-2018-1000120,ftp_parse_url_path,3,0,3,,7.59.0;7.60.0;7.61.0,,,,6
CVE-2018-1000120,ftp_state_list,3,0,3,,7.59.0;7.60.0;7.61.0,,,,6
CVE-2017-8818,allocate_conn,3,1,2,,7.58.0;7.59.0,,,,5
CVE-2017-8816,Curl_ntlm_core_mk_ntlmv2_hash,6,3,3,,,,,,6
CVE-2016-8625,Curl_idn_strerror,0,0,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8625,create_conn,6,3,3,,,,,,6
CVE-2016-8625,curl_version,6,3,3,,,,,,6
CVE-2016-8625,curl_version_info,6,3,3,,,,,,6
CVE-2016-8625,fix_hostname,6,3,3,,,,,,6
CVE-2016-8625,free_fixed_hostname,6,3,3,,,,,,6
CVE-2016-8625,global_init,3,0,3,,7.51.0;7.52.0;7.52.1,,,,6
CVE-2016-8625,idna_init,0,0,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8625,tld_check_name,0,0,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8623,Curl_cookie_cleanup,3,0,3,,7.51.0;7.52.0;7.52.1,,,,6
CVE-2016-8623,Curl_cookie_clearall,3,0,3,,7.51.0;7.52.0;7.52.1,,,,6
CVE-2016-8623,Curl_cookie_freelist,6,3,3,,,,,,6
CVE-2016-8623,Curl_cookie_getlist,6,3,3,,,,,,6
CVE-2016-8623,Curl_http,6,3,3,,,,,,6
CVE-2016-8623,dup_cookie,0,0,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
