cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2015-8958,0,3,0,0,0,3,,,,7.0.1-1;7.0.1-2;7.0.1-3
CVE-2015-8900,6,6,3,3,0,0,,,,
CVE-2015-8895,0,6,0,0,3,4,,,7.0.1-0;7.0.1-1;7.0.1-2,7.0.1-2;7.0.5-1;7.0.5-2;7.0.5-3
CVE-2015-8896,0,6,0,0,3,3,,,7.0.1-0;7.0.1-1;7.0.1-2,7.1.0-0;7.1.0-1;7.1.0-2
CVE-2016-7515,3,3,3,0,0,0,,,,
CVE-2016-7514,3,3,3,0,0,0,,,,
CVE-2016-7534,0,3,0,0,0,3,,,,7.0.1-1;7.0.1-2;7.0.1-3
CVE-2016-10065,0,3,0,0,0,3,,,,7.0.1-1;7.0.1-2;7.0.1-3
CVE-2016-5689,6,6,3,3,0,0,,,,
CVE-2016-5690,6,6,3,3,0,0,,,,
CVE-2016-5691,6,6,3,3,0,0,,,,
CVE-2016-10060,3,6,0,3,0,3,,,,7.0.11-0;7.0.11-1;7.0.11-2
CVE-2016-6491,6,6,3,3,0,0,,,,
CVE-2016-7101,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-1;7.1.0-2
CVE-2016-9556,3,4,3,0,1,0,,,7.0.3-8,
CVE-2017-9098,6,6,3,3,0,0,,,,
CVE-2017-9499,1,4,0,1,0,3,,,,7.0.5-10;7.0.5-8;7.0.5-9
CVE-2017-11523,6,6,3,3,0,0,,,,
CVE-2017-15277,1,4,0,1,0,3,,,,7.0.6-3;7.0.6-4;7.0.6-5
CVE-2017-14174,0,4,0,0,1,3,,,7.0.7-0,7.0.7-1;7.0.7-2;7.0.7-3
CVE-2017-15032,1,4,0,1,0,3,,,,7.0.7-3;7.0.7-4;7.0.7-5
CVE-2017-15033,1,4,0,1,0,3,,,,7.0.7-3;7.0.7-4;7.0.7-5
CVE-2019-12974,3,4,3,0,1,0,,,7.0.8-34,
CVE-2019-12979,1,4,0,1,0,3,,,,7.0.8-35;7.0.8-36;7.0.8-37
CVE-2019-10131,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-1;7.1.0-2
CVE-2018-16643,4,4,3,1,0,0,,,,
CVE-2018-16644,3,4,3,0,1,0,,,7.0.8-11,
CVE-2018-16645,3,4,3,0,1,0,,,7.0.8-11,
CVE-2018-20467,6,6,3,3,0,0,,,,
CVE-2019-12978,1,4,0,1,0,3,,,,7.0.8-35;7.0.8-36;7.0.8-37
CVE-2019-7175,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-1;7.1.0-2
CVE-2019-7395,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-1;7.1.0-2
CVE-2019-7396,3,6,0,3,0,3,,,,7.1.0-0;7.1.0-1;7.1.0-2
