cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2016-6153,5,5,3,2,0,0,,,,
CVE-2018-20346,6,6,3,3,0,0,,,,
CVE-2019-19242,4,4,3,1,0,0,,,,
CVE-2019-19244,4,4,3,1,0,0,,,,
CVE-2019-19317,1,4,0,1,0,3,,,,3.31.0;3.31.1;3.32.0
CVE-2019-19645,3,6,0,3,0,3,,,,3.31.0;3.31.1;3.32.0
CVE-2019-19646,3,6,0,3,0,3,,,,3.31.0;3.31.1;3.32.0
CVE-2019-19880,4,4,3,1,0,0,,,,
CVE-2019-19923,4,4,3,1,0,0,,,,
CVE-2019-19924,4,4,3,1,0,0,,,,
CVE-2019-19925,4,4,3,1,0,0,,,,
CVE-2019-19926,4,4,3,1,0,0,,,,
CVE-2019-19959,4,4,3,1,0,0,,,,
CVE-2019-20218,4,4,3,1,0,0,,,,
CVE-2019-8457,6,6,3,3,0,0,,,,
CVE-2020-11655,6,6,3,3,0,0,,,,
CVE-2020-11656,0,6,0,0,1,3,,3.30.1;3.31.0;3.31.1;3.32.0;3.32.1;3.32.2,3.31.0,3.32.0;3.32.1;3.32.2
CVE-2020-13434,0,0,0,0,0,0,,,,
CVE-2020-13630,6,6,3,3,0,0,,,,
CVE-2020-13632,6,6,3,3,0,0,,,,
CVE-2020-15358,6,6,3,3,0,0,,,,
CVE-2020-35525,4,4,3,1,0,0,,,,
CVE-2020-35527,4,4,3,1,0,0,,,,
CVE-2021-31239,3,4,2,1,0,1,,,,3.35.5
CVE-2021-36690,4,4,3,1,0,0,,,,
CVE-2022-46908,3,6,0,3,0,3,,,,3.40.1;3.41.0;3.41.1
CVE-2023-7104,6,6,3,3,0,0,,,,
