cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-7299,3,4,3,0,1,0,,,2.28,
CVE-2017-7303,3,4,3,0,1,0,,,2.28,
CVE-2017-7304,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-6965,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-6966,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-7209,3,4,3,0,1,0,,,2.28,
CVE-2017-6969,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9038,4,4,3,1,0,0,,,,
CVE-2017-9039,3,4,3,0,1,0,,,2.28,
CVE-2017-9040,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9043,0,0,0,0,0,0,,,,
CVE-2017-8392,3,4,3,0,1,0,,,2.28,
CVE-2017-8394,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8395,3,4,3,0,1,0,,,2.28,
CVE-2017-8397,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8398,0,1,0,0,0,1,,,,2.30
CVE-2017-8396,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-8421,3,4,3,0,1,0,,,2.28,
CVE-2017-9954,1,4,0,1,0,3,,,,2.29;2.29.1;2.30
CVE-2017-9955,0,4,0,0,1,3,,,2.28,2.29;2.29.1;2.30
CVE-2017-13710,0,0,0,0,0,0,,,,
CVE-2017-12967,0,4,0,0,1,3,,,2.29,2.29.1;2.30;2.31
CVE-2017-13757,3,4,3,0,1,0,,,2.29,
CVE-2017-14129,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-12799,0,0,0,0,0,0,,,,
CVE-2017-14128,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-14130,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-12448,3,5,3,0,2,0,,,2.28;2.29,
CVE-2017-14529,0,0,0,0,0,0,,,,
CVE-2017-14745,2,2,2,0,0,0,,,,
CVE-2017-14729,3,4,3,0,1,0,,,2.29,
CVE-2017-14974,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-14930,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-14938,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-14939,3,4,3,0,1,0,,,2.29,
CVE-2017-14940,3,4,3,0,1,0,,,2.29,
CVE-2017-15021,2,4,2,0,1,1,,,2.29,2.30
CVE-2017-15024,1,4,0,1,0,3,,,,2.29.1;2.30;2.31
CVE-2017-15025,3,4,3,0,1,0,,,2.29,
CVE-2017-15020,3,4,3,0,1,0,,,2.29,
CVE-2017-15022,3,4,3,0,1,0,,,2.29,
CVE-2017-15023,3,4,3,0,1,0,,,2.29,
CVE-2017-14932,3,4,3,0,1,0,,,2.29,
CVE-2017-14933,3,4,3,0,1,0,,,2.29,
CVE-2017-15938,1,2,1,0,1,0,,,2.29,
CVE-2017-15939,0,4,0,0,1,3,,,2.29,2.30;2.31;2.31.1
CVE-2017-14934,0,4,0,0,1,3,,,2.29,2.30;2.31;2.31.1
CVE-2017-15225,3,4,3,0,1,0,,,2.29,
CVE-2017-16829,4,4,3,1,0,0,,,,
CVE-2017-15996,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-16830,0,0,0,0,0,0,,,,
CVE-2017-16828,0,4,0,0,1,3,,,2.29.1,2.30;2.31;2.31.1
CVE-2017-16831,0,4,0,0,1,3,,,2.29.1,2.30;2.31;2.31.1
CVE-2017-17080,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2017-17124,3,4,3,0,1,0,,,2.29.1,
CVE-2017-17122,4,4,3,1,0,0,,,,
CVE-2017-17126,1,4,0,1,0,3,,,,2.30;2.31;2.31.1
CVE-2018-7208,0,0,0,0,0,0,,,,
