cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-12893,name_len,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-12894,lookup_bytestring,0,0,0,,4.99.0-bp;4.99-bp,,,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-12894,le64addr_string,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12894,linkaddr_string,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12894,lookup_emem,0,0,0,,4.99.0-bp;4.99-bp,,,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-12895,icmp_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12896,isakmp_rfc3948_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12897,fr_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,handle_ppp,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,ethertype_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,juniper_atm1_print,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-12897,gre_print_0,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-12897,atm_if_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,juniper_atm2_print,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-12897,null_if_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,llc_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,chdlc_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12897,juniper_mfr_print,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-12897,juniper_mlppp_print,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-12897,juniper_mlfr_print,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-12897,isoclns_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12897,mpls_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12898,parserep,6,3,3,,,,,,6
CVE-2017-12898,nfsreq_print_noaddr,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-12898,interp_reply,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-12899,print_decnet_ctlmsg,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-12899,decnet_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12901,eigrp_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12902,zephyr_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12985,ip6_print,6,3,3,,,,,,6
CVE-2017-12985,mobility_print,6,3,3,,,,,,6
CVE-2017-12987,parse_elements,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12988,telnet_parse,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12989,resp_get_length,3,3,0,4.9.1;4.9.0,,,,4.8.1,6
CVE-2017-12990,ikev1_n_print,6,3,3,,,,,,6
CVE-2017-12990,isakmp_rfc3948_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12990,ikev2_n_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12990,ikev1_nonce_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12990,ikev2_auth_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12991,bgp_attr_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12992,ripng_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-12993,juniper_es_print,1,1,0,4.9.1;4.9.0;4.8.1,,,,4.99.0-bp;4.99-bp,6
CVE-2017-12993,juniper_atm1_print,1,1,0,4.9.1;4.9.0;4.8.1,,,,4.99.0-bp;4.99-bp,6
CVE-2017-12993,juniper_monitor_print,1,1,0,4.9.1;4.9.0;4.8.1,,,,4.99.0-bp;4.99-bp,6
CVE-2017-12993,juniper_services_print,1,1,0,4.9.1;4.9.0;4.8.1,,,,4.99.0-bp;4.99-bp,6
CVE-2017-12993,juniper_parse_header,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-12993,juniper_ggsn_print,1,1,0,4.9.1;4.9.0;4.8.1,,,,4.99.0-bp;4.99-bp,6
