cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2014-8484,srec_scan,1,0,1,,2.25;2.25.1;2.26,,,,4
CVE-2014-8485,setup_group,0,0,0,,,,,2.24;2.25;2.25.1;2.26,4
CVE-2014-8738,_bfd_slurp_extended_name_table,3,3,0,2.24,,,,,4
CVE-2017-7299,bfd_elf_final_link,3,3,0,2.28,,,,,4
CVE-2017-7303,find_link,3,3,0,2.28,,,,,4
CVE-2017-7304,copy_special_section_fields,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-6965,process_syminfo,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-6965,apply_relocations,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-6965,target_specific_reloc_handling,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-6966,process_syminfo,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-6966,apply_relocations,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-6966,target_specific_reloc_handling,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-7209,dump_section_as_bytes,2,2,0,2.28,2.29,,,,4
CVE-2017-6969,process_syminfo,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-6969,target_specific_reloc_handling,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9038,get_unwind_section_word,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9039,get_program_headers,0,0,0,2.28,,,,2.29;2.29.1;2.30,4
CVE-2017-9039,process_mips_specific,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9040,print_symbol_for_build_attribute,2,2,0,,,,,2.28;2.30,4
CVE-2017-9040,process_dynamic_section,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9040,print_gnu_build_attribute_name,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9040,process_mips_specific,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9040,process_arch_specific,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9043,print_gnu_build_attribute_name,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-8392,_bfd_dwarf2_find_nearest_line,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-8394,_bfd_elf_get_synthetic_symtab,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-8395,bfd_init_section_compress_status,3,3,0,2.28,,,,,4
CVE-2017-8397,bfd_perform_relocation,3,3,0,2.28,,,,,4
CVE-2017-8398,process_extended_line_op,1,0,1,,,,,2.29;2.29.1;2.30,4
CVE-2017-8398,fetch_indexed_string,3,3,0,,,,,2.28,4
CVE-2017-8396,_bfd_final_link_relocate,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-8396,bfd_check_overflow,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-8396,bfd_perform_relocation,2,1,1,,2.29;2.29.1,,,,4
CVE-2017-8396,bfd_install_relocation,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-8421,dump_relocs_in_section,3,3,0,2.28,,,,,4
CVE-2017-9954,pass_over,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9954,getvalue,0,0,0,,,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-9955,_bfd_generic_get_section_contents,1,0,1,,2.29;2.29.1;2.30,,,,4
CVE-2017-9955,bfd_get_full_section_contents,3,3,0,2.28,,,,,4
CVE-2017-13710,setup_group,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-12967,getsym,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-13757,elf_x86_64_get_synthetic_symtab,3,3,0,2.29,,,,,4
CVE-2017-13757,elf_i386_get_synthetic_symtab,3,3,0,2.29,,,,,4
CVE-2017-14129,read_section,4,3,1,,,,,,4
CVE-2017-12799,elf_read_notes,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-14128,decode_line_info,1,0,1,,2.29.1;2.30;2.31,,,,4
CVE-2017-14130,_bfd_elf_parse_attributes,1,0,1,,2.29.1;2.30;2.31,,,,4
CVE-2017-12448,bfd_generic_archive_p,3,3,0,2.29;2.28;2.27,,,,,6
CVE-2017-14529,pe_print_idata,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-14745,_bfd_x86_elf_get_synthetic_symtab,2,2,0,,,,,2.29;2.29.1,4
CVE-2017-14729,elf_x86_64_get_synthetic_symtab,3,2,1,,2.29.1,,,,4
CVE-2017-14729,elf_i386_get_synthetic_symtab,3,3,0,2.29,,,,,4
CVE-2017-14974,elf_x86_64_get_synthetic_symtab,1,0,1,,2.29.1;2.30;2.31,,,,4
CVE-2017-14974,elf_i386_get_synthetic_symtab,1,0,1,,2.29.1;2.30;2.31,,,,4
CVE-2017-14930,decode_line_info,1,0,1,,2.30;2.31,,,,3
CVE-2017-14938,_bfd_elf_slurp_version_tables,1,0,1,,2.30;2.31,,,,3
CVE-2017-14939,decode_line_info,3,3,0,2.29,,,,,4
CVE-2017-14940,scan_unit_for_symbols,3,3,0,2.29,,,,,4
CVE-2017-15021,bfd_get_debug_link_info_1,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-15024,scan_unit_for_symbols,1,0,1,,2.30;2.31,,,,3
CVE-2017-15024,find_abstract_instance_name,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-15024,lookup_symbol_in_variable_table,0,0,0,,,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-15025,decode_line_info,3,3,0,2.29,,,,,4
CVE-2017-15020,parse_line_table,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-15020,parse_die,4,3,1,,,,,,4
CVE-2017-15022,scan_unit_for_symbols,3,3,0,2.29,,,,,4
CVE-2017-15022,parse_comp_unit,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-15023,read_formatted_entries,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-14932,decode_line_info,3,3,0,2.29,,,,,4
CVE-2017-14933,read_formatted_entries,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-15938,find_abstract_instance_name,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-15938,parse_comp_unit,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-15939,read_formatted_entries,0,0,0,,,,,2.29;2.30;2.31;2.31.1,4
CVE-2017-15939,concat_filename,3,3,0,2.29,,,,,4
CVE-2017-15939,decode_line_info,3,3,0,2.29,,,,,4
CVE-2017-14934,process_debug_info,3,3,0,2.29,,,,,4
CVE-2017-15225,_bfd_dwarf2_cleanup_debug_info,3,3,0,2.29,,,,,4
CVE-2017-16829,_bfd_elf_parse_gnu_properties,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2017-15996,get_archive_member_name,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2017-15996,process_archive_index_and_symbols,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2017-15996,setup_archive,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2017-16830,print_gnu_property_note,0,0,0,,2.30;2.31;2.31.1,,,2.29.1,4
CVE-2017-16828,display_debug_frames,3,3,0,2.29.1,,,,,4
CVE-2017-16828,read_cie,0,0,0,,,,,2.29.1;2.30;2.31;2.31.1,4
CVE-2017-16828,frame_display_row,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2017-16831,coff_get_normalized_symtab,3,3,0,2.29.1,,,,,4
CVE-2017-16831,_bfd_coff_get_external_symbols,3,3,0,2.29.1,,,,,4
CVE-2017-17080,elfcore_grok_nto_status,0,0,0,,,,,2.29.1;2.30;2.31;2.31.1,4
CVE-2017-17080,elfcore_grok_freebsd_psinfo,0,0,0,,,,,2.29.1;2.30;2.31;2.31.1,4
CVE-2017-17080,elfcore_grok_netbsd_note,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2017-17080,elfcore_netbsd_get_lwpid,0,0,0,,,,,2.29.1;2.30;2.31;2.31.1,4
CVE-2017-17124,_bfd_coff_read_string_table,3,3,0,2.29.1,,,,,4
CVE-2017-17122,dump_relocs_in_section,4,3,1,,,,,,4
CVE-2017-17126,load_debug_section,1,0,1,,2.30;2.31;2.31.1,,,,4
CVE-2018-7208,coff_pointerize_aux,0,0,0,,,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-6543,load_specific_debug_section,0,0,0,,,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-6759,bfd_get_alt_debug_link_info,4,3,1,,,,,,4
CVE-2018-6759,bfd_get_debug_link_info_1,0,0,0,,,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-6872,elf_parse_notes,3,3,0,2.30,,,,,4
CVE-2018-7570,assign_file_positions_for_non_load_sections,0,0,0,,,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-7568,parse_die,3,3,0,2.30,,,,,4
CVE-2018-7569,read_8_bytes,0,0,0,,,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-7569,read_attribute_value,3,3,0,2.30,,,,,4
CVE-2018-7643,read_uleb128,1,0,1,,2.31;2.31.1;2.32,,,,4
CVE-2018-7643,display_debug_ranges,3,3,0,2.30,,,,,4
CVE-2018-7643,display_debug_ranges_list,1,0,1,,2.31;2.31.1;2.32,,,,4
CVE-2018-10372,process_cu_tu_index,1,0,1,,2.31;2.31.1;2.32,,,,4
CVE-2018-10373,concat_filename,3,3,0,2.30,,,,,4
CVE-2018-8945,_bfd_elf_parse_attributes,3,3,0,2.30,,,,,4
CVE-2018-8945,bfd_elf_get_str_section,0,0,0,,,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-17360,pe_print_edata,0,0,0,,,,,2.31.1;2.32;2.33.1;2.34,4
CVE-2018-18605,_bfd_add_merge_section,3,3,0,2.31,,,,,4
CVE-2018-18606,_bfd_add_merge_section,4,3,1,,,,,,4
CVE-2018-18607,elf_link_input_bfd,1,0,1,,2.32;2.33.1;2.34,,,,4
CVE-2018-19932,rewrite_elf_program_header,0,0,0,,,,,2.31;2.30;2.29.1;2.32;2.33.1;2.34,6
CVE-2018-20002,_bfd_generic_read_minisymbols,3,3,0,2.31,,,,,4
CVE-2018-20002,display_rel_file,2,2,0,2.31,2.32,,,,4
CVE-2018-1000876,_bfd_elf_canonicalize_dynamic_symtab,3,0,3,,2.32;2.33.1;2.34,,,,6
CVE-2018-1000876,swap_out_syms,0,0,0,,,,,2.31.1;2.31;2.30;2.32;2.33.1;2.34,6
CVE-2018-1000876,_bfd_elf_get_dynamic_symtab_upper_bound,3,3,0,2.31.1;2.31;2.30,,,,,6
CVE-2018-1000876,_bfd_elf_get_dynamic_reloc_upper_bound,6,3,3,,,,,,6
CVE-2018-1000876,_bfd_elf_get_symtab_upper_bound,3,0,3,,2.32;2.33.1;2.34,,,,6
CVE-2018-20651,elf_link_add_object_symbols,0,0,0,,,,,2.31.1;2.32;2.33.1;2.34,4
CVE-2018-20671,load_specific_debug_section,0,0,0,,,,,2.31.1;2.31;2.30;2.32;2.33.1;2.34,6
CVE-2019-17451,_bfd_dwarf2_slurp_debug_info,3,3,0,2.32,,,,,4
CVE-2020-19724,display_rel_file,3,3,0,2.33.1;2.32;2.31.1,,,,,6
CVE-2020-16590,get_num_dynamic_syms,0,0,0,,,,,2.35;2.35.1;2.35.2;2.36.1,4
CVE-2020-16591,get_num_dynamic_syms,0,0,0,,,,,2.35;2.35.1;2.35.2;2.36.1,4
CVE-2020-16593,scan_unit_for_symbols,3,3,0,2.35,,,,,4
CVE-2020-16599,_bfd_elf_get_symbol_version_string,3,3,0,2.35,,,,,4
CVE-2020-35448,_bfd_elf_slurp_secondary_reloc_section,3,3,0,2.35.1,,,,,4
CVE-2021-20294,print_dynamic_symbol,2,0,2,,2.35.2;2.36.1;2.37,,,,5
CVE-2021-45078,stab_record_type,0,0,0,,,,,2.37;2.36.1;2.35.2;2.38;2.39,5
CVE-2021-45078,stab_xcoff_builtin_type,2,2,0,2.37;2.36.1;2.35.2,,,,,5
CVE-2021-45078,stab_find_type,0,0,0,,,,,2.37;2.36.1;2.35.2;2.38;2.39,5
CVE-2022-38533,rewrite_elf_program_header,0,0,0,,,,,2.39;2.38;2.37;2.41;2.42,5
CVE-2022-38533,_bfd_elf_symbol_from_bfd_symbol,3,0,3,,2.41;2.42,,,,5
CVE-2023-25586,bfd_init_section_decompress_status,0,0,0,,2.41;2.42;2.43,,,,3
CVE-2022-48063,load_specific_debug_section,0,0,0,,,,,2.39;2.38;2.37;2.41;2.42,5
CVE-2022-48064,find_debug_info,2,2,0,2.39;2.38;2.37,,,,,5
CVE-2022-48065,scan_unit_for_symbols,3,0,3,,2.41;2.42,,,,5
CVE-2022-48065,find_abstract_instance,2,2,0,2.39;2.38;2.37,,,,,5
CVE-2023-1579,read_indexed_address,1,0,1,,2.41;2.42,,,,3
CVE-2018-17358,_bfd_stab_section_find_nearest_line,1,0,1,,2.41;2.42;2.43,,,,4
