cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2017-2629,0,0,0,0,0,0,,,,
CVE-2013-1944,0,0,0,0,0,0,,,,
CVE-2018-16840,3,6,3,0,3,0,,,7.60.0;7.61.0;7.61.1,
CVE-2018-1000301,3,6,0,3,0,3,,,,7.60.0;7.61.0;7.61.1
CVE-2016-9586,3,6,0,3,0,3,,,,7.52.0;7.52.1;7.53.0
CVE-2017-9502,0,0,0,0,0,0,,,,
CVE-2017-7407,3,4,3,0,1,0,,,7.53.1,
CVE-2018-16839,3,6,0,3,0,3,,,,7.62.0;7.63.0;7.64.0
CVE-2018-1000300,6,6,3,3,0,0,,,,
CVE-2023-46219,3,6,3,0,3,0,,,8.2.0;8.2.1;8.4.0,
CVE-2016-8621,0,0,0,0,0,0,,,,
CVE-2018-0500,3,6,0,3,0,3,,,,7.61.0;7.61.1;7.62.0
CVE-2013-0249,0,3,0,0,0,3,,,,7.30.0;7.31.0;7.32.0
CVE-2014-0015,0,0,0,0,0,0,,,,
CVE-2020-8169,0,0,0,0,0,0,,,,
CVE-2017-8817,0,0,0,0,0,0,,,,
CVE-2021-22898,4,6,1,3,0,2,,,,7.78.0;7.79.0
CVE-2019-5482,3,6,3,0,3,0,,,7.65.1;7.65.2;7.65.3,
CVE-2016-8624,0,0,0,0,0,0,,,,
CVE-2016-8618,3,6,0,3,0,3,,,,7.51.0;7.52.0;7.52.1
CVE-2023-46218,3,6,0,3,0,3,,,,8.5.0;8.6.0;8.7.1
CVE-2016-8617,0,0,0,0,0,0,,,,
CVE-2017-1000101,0,0,0,0,0,0,,,,
CVE-2016-9594,0,0,0,0,0,0,,,,
CVE-2018-1000122,0,0,0,0,0,0,,,,
CVE-2018-16842,3,6,0,3,0,3,,,,7.62.0;7.63.0;7.64.0
CVE-2022-42916,0,0,0,0,0,0,,,,
CVE-2022-42915,3,4,0,3,0,1,,,,7.86.0
CVE-2020-8284,3,6,0,3,0,3,,,,7.74.0;7.75.0;7.76.0
CVE-2020-8177,3,6,0,3,0,3,,,,7.71.0;7.71.1;7.72.0
CVE-2019-5435,3,6,3,0,3,0,,,7.63.0;7.64.0;7.64.1,
CVE-2018-1000007,0,6,0,0,3,3,,,7.56.0;7.56.1;7.57.0,7.58.0;7.59.0;7.60.0
CVE-2018-1000120,3,6,0,3,0,3,,,,7.59.0;7.60.0;7.61.0
CVE-2017-8818,0,0,0,0,0,0,,,,
CVE-2017-8816,3,6,3,0,3,0,,,7.55.1;7.56.0;7.56.1,
CVE-2016-8625,3,6,3,0,3,0,,,7.50.1;7.50.2;7.50.3,
CVE-2016-8623,0,6,0,0,3,3,,,7.50.1;7.50.2;7.50.3,7.51.0;7.52.0;7.52.1
