cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2016-1833,3,6,3,0,3,0,,,2.9.2;2.9.2-rc2;2.9.3,
CVE-2016-1834,3,6,3,0,3,0,,,2.9.2;2.9.2-rc2;2.9.3,
CVE-2016-1836,0,0,0,0,0,0,,,,
CVE-2016-1837,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-1838,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-4449,3,6,3,0,3,0,,,2.9.2;2.9.2-rc2;2.9.3,
CVE-2016-4483,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-4658,0,6,0,0,3,3,,2.9.2;2.9.3;2.9.4;2.9.5;2.9.5-rc1;2.9.5-rc2,2.9.2;2.9.3;2.9.4,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2017-16932,3,6,3,0,3,0,,,2.9.2;2.9.3;2.9.4,
CVE-2017-5130,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2017-7375,0,6,0,0,3,3,,,2.9.2;2.9.3;2.9.4,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2018-14404,0,0,0,0,0,0,,,,
CVE-2019-19956,3,6,3,0,3,0,,,2.9.9;2.9.9-rc1;2.9.9-rc2,
CVE-2020-7595,3,4,3,0,1,0,,,2.9.10,
CVE-2022-23308,0,6,0,0,0,3,,2.10.0;2.9.10;2.9.11;2.9.12;2.9.13;2.9.14,,2.10.0;2.9.13;2.9.14
CVE-2022-29824,0,6,0,0,0,3,,2.10.0;2.10.1;2.10.2;2.9.11;2.9.12;2.9.13,,2.10.0;2.10.1;2.10.2
CVE-2022-40303,3,6,0,3,0,3,,,,2.10.4;2.11.0;2.11.1
CVE-2022-40304,0,6,0,0,3,3,,,2.10.0;2.10.1;2.10.2,2.10.4;2.11.0;2.11.1
CVE-2023-28484,3,6,3,0,3,0,,,2.10.1;2.10.2;2.10.3,
