cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2016-1833,xmlNextChar,3,3,0,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-1834,xmlStrncatNew,3,3,0,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-1834,xmlStrncat,3,3,0,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-1836,spacePop,0,0,0,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2016-1837,htmlNodeInfoPop,0,0,0,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2016-1837,htmlParseSystemLiteral,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-1838,xmlParseEndTag2,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4449,xmlStringLenDecodeEntities,3,3,0,2.9.3;2.9.2;2.9.2-rc2,,,,,6
CVE-2016-4483,xmlBufAttrSerializeTxtContent,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewCollapsedRange,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodeObject,3,3,0,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodes,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangePoints,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangePointNode,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodePoint,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRange,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewRangeInternal,0,0,0,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2017-16932,xmlPushInput,3,3,0,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-16932,xmlParsePEReference,3,3,0,2.9.4;2.9.3;2.9.2,,,,,6
CVE-2017-5130,xmlReallocLoc,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2017-5130,xmlMallocLoc,6,3,3,,,,,,6
CVE-2017-5130,xmlMemStrdupLoc,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2017-7375,xmlParsePEReference,0,0,0,2.9.4;2.9.3;2.9.2,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2018-14404,xmlXPathCompOpEval,0,0,0,,,,,2.9.8;2.9.7;2.9.7-rc1;2.9.9-rc1;2.9.9-rc2;2.9.9,6
CVE-2019-19956,xmlParseBalancedChunkMemoryRecover,3,3,0,2.9.9;2.9.9-rc2;2.9.9-rc1,,,,,6
CVE-2020-7595,xmlStringLenDecodeEntities,3,3,0,2.9.10,,,,,4
CVE-2022-23308,xmlAddRef,3,0,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlRemoveID,3,0,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlAddID,3,0,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue,3,0,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlValidNormalizeAttributeValue,3,0,3,,2.9.13;2.9.14;2.10.0,,,,6
CVE-2022-23308,xmlIsStreaming,0,0,0,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14;2.10.0,,,6
CVE-2022-23308,xmlValidNormalizeString,0,0,0,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14;2.10.0,,,6
CVE-2022-29824,xmlBufAdd,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufferCreateSize,6,3,3,,,,,,6
CVE-2022-29824,xmlBufferCreateStatic,6,3,3,,,,,,6
CVE-2022-29824,xmlBufferResize,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufCreateSize,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufGrowInternal,0,0,0,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,,6
CVE-2022-29824,xmlBufResize,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufCCat,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufferGrow,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-29824,xmlBufferCCat,3,0,3,,2.10.0;2.10.1;2.10.2,,,,6
CVE-2022-40303,xmlParseCDSect,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseStringName,6,3,3,,,,,,6
CVE-2022-40303,xmlParseEntityValue,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseSystemLiteral,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlFatalErr,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseAttValueInternal,0,0,0,,,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,6
CVE-2022-40303,xmlParseNCName,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseName,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParsePI,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseNmtoken,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParsePubidLiteral,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40303,xmlParseComment,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2022-40304,xmlFreeEntity,3,3,0,2.10.2;2.10.1;2.10.0,,,,,6
CVE-2022-40304,xmlCreateEntity,3,0,3,,2.10.4;2.11.0;2.11.1,,,,6
CVE-2023-28484,xmlSchemaFixupComplexType,3,3,0,2.10.3;2.10.2;2.10.1,,,,,6
