CVE,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2016-0705,6,6,100.00%,,,
CVE-2016-0798,0,6,0.00%,OpenSSL_1_0_1q;OpenSSL_1_0_2f;OpenSSL_1_0_1r,,OpenSSL_1_0_1s;OpenSSL_1_0_2h;OpenSSL_1_0_2g
CVE-2016-0799,6,6,100.00%,,,
CVE-2016-2842,6,6,100.00%,,,
CVE-2016-0797,6,6,100.00%,,,
CVE-2016-2109,6,6,100.00%,,,
CVE-2016-2105,6,6,100.00%,,,
CVE-2016-2106,3,6,50.00%,,,OpenSSL_1_0_1u;OpenSSL_1_0_2j;OpenSSL_1_0_2i
CVE-2016-2107,2,6,33.33%,OpenSSL_1_0_1s,,OpenSSL_1_0_2j;OpenSSL_1_0_1u;OpenSSL_1_0_2i
CVE-2016-2108,3,6,50.00%,,,OpenSSL_1_0_1u;OpenSSL_1_0_2j;OpenSSL_1_0_2i
CVE-2016-2176,6,6,100.00%,,,
CVE-2016-2177,4,6,66.67%,OpenSSL_1_0_1u;OpenSSL_1_0_1t,,
CVE-2016-6304,4,6,66.67%,,,OpenSSL_1_0_2j;OpenSSL_1_0_2i
CVE-2016-6306,6,6,100.00%,,,
CVE-2016-7052,1,2,50.00%,,,OpenSSL-fips-2_0_13
CVE-2018-0737,3,6,50.00%,,,OpenSSL_1_1_1;OpenSSL_1_1_0i;OpenSSL_1_0_2p
CVE-2018-0732,4,4,100.00%,,,
CVE-2019-1559,4,5,80.00%,,,OpenSSL_1_1_1c
CVE-2019-1543,4,5,80.00%,,,OpenSSL_1_1_1c
CVE-2019-1563,2,6,33.33%,,OpenSSL_1_0_2s,OpenSSL_1_0_2u;OpenSSL_1_1_1f;OpenSSL_1_1_1e
CVE-2020-1967,6,6,100.00%,,,
CVE-2021-23840,6,6,100.00%,,,
CVE-2021-4044,1,6,16.67%,OpenSSL_1_0_1u;OpenSSL_1_0_1t,,OpenSSL_1_1_1n;openssl-3.0.3;openssl-3.0.2
CVE-2022-1473,5,5,100.00%,,,
CVE-2022-1343,3,5,60.00%,,,openssl-3.0.4;openssl-3.0.5
CVE-2022-2274,1,2,50.00%,,,openssl-3.0.5
CVE-2022-3358,5,5,100.00%,,,
CVE-2022-3602,6,6,100.00%,,,
CVE-2022-3786,3,6,50.00%,,,openssl-3.1.0-alpha1;openssl-3.0.8;openssl-3.1.0-beta1
CVE-2022-3996,5,5,100.00%,,,
CVE-2022-4203,5,6,83.33%,,,OpenSSL_1_1_1t
CVE-2023-0215,6,6,100.00%,,,
CVE-2023-0216,5,5,100.00%,,,
CVE-2023-0401,5,6,83.33%,OpenSSL_1_1_1t,,
CVE-2023-2650,3,6,50.00%,,,openssl-3.1.1;openssl-3.0.9;OpenSSL_1_1_1u
CVE-2023-2975,5,5,100.00%,,,
CVE-2023-5678,3,6,50.00%,,,openssl-3.2.0;openssl-3.1.5;openssl-3.2.1
CVE-2024-0727,6,6,100.00%,,,
