Work,CWE_ID,Matched_CVEs,Total_CVEs,Total_Succeed,Total_Target,Total_FP_FN,Accuracy_Succeed_Target,Accuracy_Succeed_FP_FN
PS3,CWE-119,286,293,788,1539,259,0.5120,0.7526
PS3,CWE-190,43,45,113,235,36,0.4809,0.7584
PS3,CWE-754,39,42,130,181,31,0.7182,0.8075
PS3,CWE-401,28,28,41,130,29,0.3154,0.5857
PS3,CWE-369,20,20,48,107,19,0.4486,0.7164
PS3,CWE-20,16,17,43,86,9,0.5000,0.8269
PS3,CWE-834,14,14,23,74,15,0.3108,0.6053
PS3,CWE-200,12,12,21,67,3,0.3134,0.8750
PS3,CWE-400,7,7,15,33,5,0.4545,0.7500
PS3,CWE-772,6,6,17,24,5,0.7083,0.7727
PS3,CWE-399,6,6,6,32,3,0.1875,0.6667
PS3,CWE-665,5,6,14,24,8,0.5833,0.6364
BinXray,CWE-119,292,293,1088,1542,362,0.7056,0.7503
BinXray,CWE-190,45,45,150,244,94,0.6148,0.6148
BinXray,CWE-754,42,42,130,191,53,0.6806,0.7104
BinXray,CWE-401,28,28,89,128,35,0.6953,0.7177
BinXray,CWE-369,20,20,59,104,38,0.5673,0.6082
BinXray,CWE-20,17,17,62,90,23,0.6889,0.7294
BinXray,CWE-834,14,14,48,71,20,0.6761,0.7059
BinXray,CWE-200,12,12,41,62,10,0.6613,0.8039
BinXray,CWE-400,7,7,20,30,10,0.6667,0.6667
BinXray,CWE-772,6,6,23,24,1,0.9583,0.9583
BinXray,CWE-399,6,6,16,30,14,0.5333,0.5333
BinXray,CWE-665,6,6,23,27,4,0.8519,0.8519
PatchDiscovery,CWE-119,293,293,1130,1560,398,0.7244,0.7395
PatchDiscovery,CWE-190,45,45,168,243,68,0.6914,0.7119
PatchDiscovery,CWE-754,42,42,157,194,34,0.8093,0.8220
PatchDiscovery,CWE-401,28,28,80,130,50,0.6154,0.6154
PatchDiscovery,CWE-369,20,20,67,104,37,0.6442,0.6442
PatchDiscovery,CWE-20,17,17,62,90,25,0.6889,0.7126
PatchDiscovery,CWE-834,14,14,54,71,15,0.7606,0.7826
PatchDiscovery,CWE-200,12,12,35,63,22,0.5556,0.6140
PatchDiscovery,CWE-400,7,7,23,33,10,0.6970,0.6970
PatchDiscovery,CWE-772,6,6,17,24,7,0.7083,0.7083
PatchDiscovery,CWE-399,6,6,22,31,7,0.7097,0.7586
PatchDiscovery,CWE-665,6,6,21,28,7,0.7500,0.7500
React,CWE-119,263,293,491,1449,321,0.3389,0.6047
React,CWE-190,40,45,71,226,18,0.3142,0.7978
React,CWE-754,35,42,53,172,35,0.3081,0.6023
React,CWE-401,23,28,49,115,31,0.4261,0.6125
React,CWE-369,20,20,31,108,9,0.2870,0.7750
React,CWE-20,14,17,35,79,6,0.4430,0.8537
React,CWE-834,14,14,28,76,9,0.3684,0.7568
React,CWE-200,6,12,7,32,3,0.2188,0.7000
React,CWE-400,6,7,8,28,0,0.2857,1.0000
React,CWE-772,5,6,5,20,0,0.2500,1.0000
React,CWE-399,3,6,7,16,9,0.4375,0.4375
React,CWE-665,6,6,7,30,6,0.2333,0.5385
Robin,CWE-119,49,293,218,267,0,0.8165,1.0000
Robin,CWE-190,6,45,26,32,0,0.8125,1.0000
Robin,CWE-754,8,42,34,36,0,0.9444,1.0000
Robin,CWE-401,3,28,8,9,0,0.8889,1.0000
Robin,CWE-20,2,17,6,10,0,0.6000,1.0000
Robin,CWE-834,2,14,8,10,0,0.8000,1.0000
Robin,CWE-200,1,12,4,4,0,1.0000,1.0000
Robin,CWE-400,1,7,6,6,0,1.0000,1.0000
Robin,CWE-399,1,6,4,4,0,1.0000,1.0000
Robin,CWE-665,2,6,6,10,0,0.6000,1.0000
